Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
EST,93,106,104,107,124,125,133,153,135,117,116,126
FRA,5046,5278,5212,5336,5167,5362,5376,5517,5440,5591,,
ISR,427,433,432,439,447,468,460,470,458,462,543,
ITA,5238,5489,5555,5561,,,5626,5773,5926,5940,5848,
SVK,327,341,367,347,340,349,373,330,343,325,316,
CHL,516,579,581,610,583,580,607,621,611,599,,
DNK,453,414,488,410,432,461,434,510,457,441,442,510
NZL,260,252,236,269,291,307,299,306,287,266,,
PRT,675,655,760,770,,,,722,747,782,796,802
USA,21339,21451,21498,21535,21395,21623,21944,21827,22335,22610,22573,
BEL,,,,878,865,873,876,836,1001,937,,
CZE,916,898,846,878,906,832,846,794,816,812,803,853
GBR,,4228,4330,4376,4267,4334,4311,4372,4390,4472,4530,
CHE,479,521,471,514,512,544,493,509,538,550,551,
ESP,2881,2885,2915,3055,3099,3009,3152,3087,3047,3084,3273,3306
GRC,1009,1138,981,1184,1136,1200,1191,1227,1388,1277,1091,
KOR,1363,1451,1442,1451,1475,1438,1410,1447,1507,1543,1619,1557
AUT,607,687,669,694,726,695,711,724,737,707,743,758
CAN,2048,2093,2077,2303,2256,2255,2281,2300,2395,2463,,
FIN,334,332,300,329,317,335,325,327,339,318,310,342
HUN,948,1047,987,965,1041,900,894,872,949,889,912,948
ISL,15,17,9,6,13,11,17,16,20,17,,
POL,2276,2441,2447,2520,2548,2578,2685,2707,2629,2660,2644,2790
TUR,,,,,,,,,,,,
JPN,6766,6940,6969,7018,7048,7283,7429,7607,7675,7896,8078,8156
LUX,38,32,33,26,43,32,42,39,37,47,44,42
MEX,3301,3212,3413,3554,3499,3726,3621,3712,3774,3864,3901,
NLD,1098,1126,1101,1127,1179,1107,1121,1101,1145,1235,1218,1247
NOR,293,306,292,316,318,270,323,320,324,291,297,298
SWE,717,692,689,749,693,724,713,764,694,712,684,
AUS,1363,1364,1441,1384,1445,,1391,1472,1501,1597,1639,1629
DEU,6849,6693,6877,6859,7065,7193,7107,6962,7308,7107,7248,7618
IRL,248,247,267,247,293,277,273,239,250,239,216,
SVN,136,134,120,138,131,127,146,153,166,178,168,
