Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
GBR,,5.3,5.4,5.2,5.2,5.1,4.8,4.9,4.9,4.9,5,
NOR,5.3,5,5.4,5.1,5.1,4.5,5.2,4.5,5.2,4.8,4.5,4.6
HUN,7.4,8.3,7.8,8.1,8,6.9,6.9,6.9,6.7,6.5,6.4,7.1
ISR,8.6,7.9,7.6,7.5,7.8,7.8,7.5,7.3,7.7,6.9,7.5,
NZL,5.4,6.3,5.9,5.8,7.6,7.5,6.3,6.5,6.2,5.6,,
SVN,6.3,5.6,4.3,5.3,5.2,5,5.7,5.4,5.3,5.8,6.4,
BEL,,,,6.1,5.7,5.8,5.9,5.6,6.5,6.1,,
FIN,5.3,5.1,4.5,5.1,4.8,4.6,4.3,4.3,4,3.9,3.8,4.2
FRA,6.3,6.3,6.3,6.3,6.1,6,5.8,5.8,5.6,5.7,,
IRL,6.1,6.8,6.5,5.7,6.2,6.4,5.7,5.6,5.9,4.4,4.3,
USA,6.7,6.6,6.4,6.3,6.2,6.1,6.1,6,5.8,5.7,5.7,
CAN,5.7,5.8,5.5,6.2,5.7,5.6,5.8,5.4,5.7,5.7,,
POL,5.7,5.9,5.9,6,5.8,5.9,6.1,5.9,5.5,5.6,5.4,5.6
DNK,6.7,5.5,7.4,5.7,5.5,6.3,5.9,6.5,5.7,5.9,5.3,6.2
ESP,5.2,5.2,5,5.3,5,4.8,4.8,4.8,4.5,4.4,4.8,4.7
KOR,2.9,3.2,3.1,3.3,3.1,3.1,2.7,2.9,2.9,3,3,2.8
SVK,5.5,6.4,6.7,6.2,5.4,6.4,6.1,5.9,5.6,5.5,4.8,
SWE,5.5,5,5.4,5.4,5.1,5.4,5.5,5.5,4.7,4.7,4.8,
AUS,6.2,6.2,6,5.9,6.1,,5.7,5.3,5.4,5.6,5.8,5.8
MEX,4.2,4.2,4,4.2,4.2,4.5,4.3,4.3,4.2,4.2,4.2,
PRT,4.7,4.9,5.8,5.4,,,,5,4.6,5.1,4.8,4.9
CHE,5.2,5.3,4.8,5.3,5,5.2,4.4,4.5,4.8,4.9,4.8,
CZE,7.5,7.7,6.7,6.5,7,6.2,6.5,6.2,6.1,6,5.9,6
DEU,6.2,5.9,6.1,6,5.9,6,5.8,5.5,5.6,5.4,5.3,5.6
ISL,5.2,5.9,2.9,1.6,3.9,3.7,2.8,3.8,4.7,5.5,,
LUX,8.4,6.6,6.7,4.2,8.8,4.6,9.1,8.8,4.9,7.9,6.1,6
TUR,,,,,,,,,,,,
AUT,5.8,6.6,6,6,6.7,5.9,6.3,6.1,6.2,6,5.6,6
CHL,4.4,5,4.6,4.8,4.6,4.6,4.6,4.5,4.7,3.9,,
EST,5.6,7.3,6.1,4.9,6.9,6.4,8,7.7,7.9,5.1,5.4,7.4
GRC,6.9,7.5,6.4,7.7,7.5,7.5,7.9,7.5,7.8,7,6,
ITA,6.3,6.3,6.4,6.3,,,5.8,5.8,5.7,5.8,5.7,
JPN,3.6,3.6,3.5,3.5,3.4,3.4,3.4,3.3,3.2,3.2,3.2,3.3
NLD,6,5.9,5.6,5.7,6.3,5.5,5.5,5.3,5.2,5.8,5.5,5.6
