Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
CAN,475,507,532,556,536,579,616,648,671,694,,
CHL,280,299,326,337,365,357,385,421,458,461,,
FRA,1600,1664,1760,1820,1814,1882,1938,1900,2079,2044,,
GRC,36,41,35,44,49,52,46,44,48,56,88,
KOR,2343,2452,2683,2717,2664,2689,2644,2755,2780,2817,2855,2720
NLD,199,222,199,192,223,226,212,233,248,268,270,286
NOR,47,52,36,37,70,76,59,66,80,84,86,92
POL,1078,1084,1028,992,970,917,945,954,1013,952,957,936
PRT,93,,234,218,,,,243,237,254,284,286
SVK,145,144,158,134,153,149,154,117,153,131,136,
CHE,156,141,153,173,176,162,173,203,185,182,185,
EST,41,37,37,39,34,36,39,32,37,46,42,40
ISL,5,,3,2,1,2,3,5,7,7,,
TUR,,,,,,,,,,,,
BEL,,,,293,269,275,295,289,313,327,,
LUX,9,10,10,9,12,17,11,10,14,24,13,10
MEX,2272,2301,2362,2523,2542,2540,2739,2506,2702,2802,2746,
CZE,379,384,372,404,373,342,328,325,296,274,281,276
ESP,1469,1500,1528,1514,1517,1465,1506,1516,1534,1601,1624,1603
HUN,383,347,334,361,356,315,292,218,278,262,248,280
SVN,45,48,57,66,50,40,61,68,69,51,62,
IRL,7,8,7,12,11,15,23,94,83,95,97,
ISR,91,119,107,117,106,121,116,128,114,116,125,
JPN,10379,10715,10822,10713,11089,11065,11086,11299,11333,11088,11255,10903
USA,4740,4868,5036,5224,5489,5528,5767,5803,5911,6319,6650,
DNK,106,105,83,94,78,106,105,91,109,110,145,125
GBR,,1026,1061,1029,1122,1165,1199,1287,1362,1467,1544,
AUS,228,239,301,288,329,,335,391,416,440,449,443
ITA,1611,1598,1650,3469,,,3385,3498,3384,3371,3362,
NZL,44,44,59,48,56,45,77,59,66,77,,
SWE,239,274,243,275,237,233,267,233,232,254,237,
AUT,107,101,245,273,260,270,289,286,255,266,273,264
DEU,2029,1961,2101,2197,2202,2225,2351,2358,2539,2493,2534,2551
FIN,180,182,160,158,162,170,177,155,161,193,174,163
