Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
EST,52,42,56,39,49,50,40,43,51,51,61,45
ITA,3879,3567,3601,6372,,,6295,6227,6089,6368,6057,
JPN,23602,23596,23815,23376,23421,23203,22576,22300,22332,21637,21510,20972
SVN,97,83,89,96,90,93,98,114,121,131,129,
FRA,5019,5215,5182,5271,5297,5457,5516,5474,5488,5661,,
GBR,,1347,1449,1558,1596,1697,1884,1933,2047,2175,2262,
ISL,4,4,2,3,7,9,8,5,7,3,,
PRT,249,,457,467,,,,536,567,607,611,693
USA,8176,8483,9011,9482,9832,10548,10759,11344,12302,13038,13663,
AUS,513,538,548,603,567,,689,718,797,888,888,980
BEL,,,,364,401,408,400,436,462,452,,
CHE,345,367,376,357,374,366,412,445,453,440,419,
CHL,353,321,382,442,398,452,482,453,488,518,,
DNK,150,172,151,155,156,215,205,171,188,183,234,246
CAN,816,899,899,945,974,1107,1081,1174,1227,1256,,
DEU,3460,3485,3604,3819,3923,3917,4329,4469,4523,4738,4856,5011
POL,993,1042,1014,1047,1027,921,1045,995,993,1044,1058,1005
TUR,,,,,,,,,,,,
CZE,557,554,581,629,586,528,553,497,497,458,574,490
NZL,99,76,94,100,117,95,132,144,124,130,,
AUT,257,269,459,511,502,519,533,488,529,554,566,529
HUN,563,546,582,626,614,527,432,436,487,514,499,516
IRL,18,19,18,22,25,33,43,110,106,151,147,
ISR,140,139,151,143,144,146,158,161,147,149,158,
KOR,7697,7675,8349,8199,8197,8188,8240,8389,8512,8429,8350,8226
LUX,17,17,21,24,18,21,20,22,31,30,35,27
MEX,1914,1899,2098,2226,2266,2298,2353,2209,2313,2441,2542,
NLD,279,291,333,342,343,360,340,414,377,425,452,468
SVK,202,224,195,224,196,205,214,229,220,203,218,
ESP,2787,2890,2917,2883,2918,2881,2934,3028,2994,3009,3143,3313
FIN,169,195,190,205,216,216,244,240,240,271,255,260
GRC,139,143,139,171,162,175,134,149,143,153,210,
NOR,65,62,50,63,65,95,89,78,83,102,117,118
SWE,287,322,369,354,407,377,367,355,360,380,403,
