Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
BEL,,,,7.40,7.90,8.20,8.10,8.50,8.80,8.50,,
FIN,8.50,10.10,9.00,9.60,9.70,9.60,10.40,10.00,9.70,10.70,9.50,9.70
LUX,9.10,10.90,11.80,12.90,9.50,11.10,11.50,13.20,15.50,15.00,16.00,11.50
NLD,4.60,4.60,5.00,5.30,5.20,5.30,4.90,5.70,5.10,5.60,5.70,5.80
POL,8.00,8.30,7.80,7.90,7.60,6.80,7.50,6.90,6.80,7.00,7.00,6.60
DEU,9.60,9.30,9.30,9.60,9.70,9.40,10.20,10.30,10.20,10.50,10.40,10.50
HUN,14.50,13.40,14.00,15.00,14.60,12.20,9.90,10.00,10.90,11.70,11.20,11.50
SVK,12.10,13.30,10.60,12.30,10.80,11.40,11.30,12.40,11.50,10.40,11.60,
ISR,7.50,7.60,7.80,7.20,7.20,7.20,7.60,7.40,6.70,6.40,6.60,
PRT,5.30,,9.60,9.60,,,,10.40,10.90,11.40,11.40,12.40
CHL,10.50,9.10,10.60,11.90,10.30,11.20,11.50,10.50,10.90,10.90,,
ISL,4.50,3.90,1.90,2.80,7.80,7.60,7.10,4.30,5.50,2.00,,
NOR,3.40,3.20,2.60,3.20,3.30,4.60,4.20,3.70,3.80,4.70,5.10,5.10
AUS,6.90,7.00,7.10,7.40,6.90,,8.30,8.00,8.70,9.50,9.10,9.70
EST,10.30,8.90,10.50,6.60,10.70,10.00,7.30,8.10,9.10,9.50,11.80,8.10
JPN,36.40,35.50,35.00,33.40,32.90,31.70,30.20,29.20,28.60,27.10,26.40,25.30
KOR,57.90,56.00,59.20,55.60,53.60,52.40,50.70,50.20,49.90,47.10,45.80,43.40
CAN,7.00,7.50,7.30,7.50,7.60,8.40,7.90,8.10,8.50,8.40,,
CHE,11.10,11.40,11.40,10.80,10.90,10.60,11.60,12.30,12.10,11.50,10.70,
DNK,6.20,7.20,6.30,6.30,6.30,8.40,7.90,6.40,6.80,6.50,8.20,8.30
FRA,19.60,19.80,19.40,19.40,19.10,19.40,19.20,18.70,18.50,18.60,,
ITA,13.60,12.30,12.10,21.20,,,19.90,19.30,18.50,19.00,17.70,
MEX,11.60,11.00,11.80,12.00,11.90,11.50,11.40,10.40,10.50,10.70,10.80,
CZE,14.30,13.70,14.80,15.40,14.60,12.40,12.90,11.30,11.10,9.80,12.20,10.10
GBR,,5.20,5.40,5.70,5.80,6.10,6.70,6.70,6.90,7.30,7.40,
IRL,1.40,1.40,1.30,1.60,1.90,2.30,2.90,7.40,6.80,9.70,8.70,
NZL,6.90,5.10,6.20,6.30,7.40,5.70,7.80,8.30,6.80,7.20,,
SVN,13.00,10.70,11.40,10.80,10.40,10.70,11.40,13.10,13.40,14.20,13.10,
SWE,6.50,7.30,8.20,7.80,8.80,8.00,7.80,7.40,7.40,7.70,8.00,
USA,7.90,8.00,8.20,8.50,8.50,9.00,8.90,9.20,9.60,9.90,10.10,
AUT,7.70,7.70,13.30,14.50,13.90,14.40,14.30,12.80,13.50,13.90,13.70,12.60
ESP,15.20,15.30,15.10,14.80,14.50,14.00,14.00,14.20,13.70,13.50,13.90,14.10
GRC,2.60,2.60,2.40,3.10,2.80,3.00,2.30,2.50,2.30,2.50,3.30,
