Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
CHE,1337,1333,1340,1392,1379,1294,1324,1268,1392,1438,1411,
EST,277,257,256,235,234,242,231,217,233,236,227,253
FIN,822,849,787,816,808,827,856,852,825,819,886,836
AUS,2521,2594,2681,2710,2664,,2505,2683,2775,2772,2842,2914
GRC,1603,1720,1761,1667,1821,1794,1870,1970,1927,1914,2028,
ISR,925,918,949,931,945,942,922,925,971,939,963,
MEX,3468,3574,3837,3874,4160,4220,4451,4518,4840,4805,4969,
SWE,1526,1487,1482,1505,1572,1541,1506,1477,1512,1378,1395,
TUR,,,,,,,,,,,,
BEL,,,,2232,2282,2268,2268,2365,2364,2360,,
CZE,1939,1893,1965,1939,1998,1916,1909,1680,1660,1607,1655,1725
HUN,2316,2304,2234,2309,2285,2085,2059,2045,2108,2169,2011,2138
ITA,11354,11525,11309,11461,,,11476,11916,12195,12193,12115,
KOR,1148,1194,1345,1404,1484,1573,1598,1670,1718,1877,1858,1999
NZL,622,615,625,647,642,648,617,643,618,658,,
CAN,4857,4968,4977,5060,4964,4990,4842,5066,4955,4944,,
FRA,10950,10953,11172,11127,11199,11308,11441,11379,11634,11618,,
IRL,668,671,604,646,663,696,678,611,736,676,634,
SVK,799,805,744,721,795,707,708,781,751,746,785,
ISL,31,25,37,34,40,31,35,49,46,36,,
NLD,3425,3458,3474,3361,3315,3301,3335,3180,3327,3180,3213,3261
SVN,365,380,425,372,374,389,399,399,436,434,416,
LUX,80,86,73,79,68,60,82,66,74,85,92,83
PRT,1524,1653,1550,1556,,,,1579,1592,1620,1661,1638
CHL,1027,1024,1049,1070,1096,1169,1145,1123,1184,1338,,
DEU,17814,17504,17780,17173,17592,17455,17286,16780,17209,17066,17466,17815
GBR,,13035,12866,12642,12366,12434,12349,12014,12069,11678,11575,
NOR,761,746,735,715,694,695,675,662,615,671,673,605
AUT,1671,1572,1593,1599,1530,1583,1563,1531,1490,1594,1502,1481
DNK,1329,1333,1391,1281,1271,1259,1246,1233,1170,1203,1213,1200
ESP,5677,5914,5772,5913,5833,5727,5956,5983,6051,6129,6295,6314
JPN,9171,9654,9604,9806,10524,10721,11177,11323,11797,11918,12455,12731
POL,4712,4825,4825,4942,4887,5112,5212,5255,5362,5242,5226,5437
USA,41872,41394,41514,41620,40954,41116,40822,40601,40589,40686,41007,
