Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
NOR,2411,2312,2392,2227,2132,1790,1789,1814,1736,1600,1540,1571
SVN,435,423,396,410,477,362,304,308,375,402,395,
AUS,7094,6981,6778,6499,6065,,5434,5513,5598,5146,4886,4792
CHE,,,,,,,,,,,,
ESP,10094,10028,10143,10331,9863,9806,9184,9043,8585,8113,7777,7481
POL,10568,10344,9356,9495,9260,8985,8705,8422,8223,7382,6767,6242
SVK,1044,867,823,866,785,738,656,1018,1632,1491,1394,
CZE,4830,4591,4279,3945,3472,3203,3052,2930,2970,2970,2771,2890
FIN,3403,3219,3269,3056,2652,2685,2451,2423,2318,2120,2091,1963
ISL,75,62,78,79,72,62,68,42,54,56,,
LUX,77,71,69,93,71,90,99,106,82,73,68,99
SWE,5040,4966,4927,4685,4293,4218,4305,3904,3813,3529,3183,
TUR,,,,,,,,,,,,
CAN,8638,8355,8200,8019,7893,7742,7038,6785,6820,6544,,
DEU,32949,31781,31164,31406,30346,29896,29165,28078,27609,26590,26132,24556
ISR,901,846,766,870,758,801,832,763,690,655,647,
JPN,20925,20952,20620,21217,20283,21431,20513,19853,19858,19296,19132,19299
NLD,5668,5265,5148,4893,4469,4141,3855,3598,3434,3078,2983,2805
NZL,1394,1527,1592,1535,1512,1460,1347,1326,1271,1216,,
GRC,3249,3227,3259,3311,3269,2920,2843,2947,2793,2669,2584,
HUN,4890,4849,4625,4544,4253,4352,3849,3627,3437,3306,3224,3072
KOR,3456,3418,3846,3754,4150,4701,4861,4850,4259,4194,4307,4290
PRT,2682,2705,2803,3017,,,,2437,2273,2216,2235,2038
CHL,2305,2333,2381,2493,2308,2333,2339,2483,2152,2104,,
GBR,,24997,24512,23399,20948,19452,17698,16716,15577,14246,13562,
USA,92592,88882,85684,81049,73907,70925,65376,61260,61511,56677,54659,
EST,345,316,400,406,397,381,365,323,309,275,303,270
FRA,10757,10860,10642,10594,9522,9289,8674,8489,8223,7661,,
IRL,1762,1651,1626,1418,1379,1289,1312,1248,1187,1128,988,
ITA,14411,14406,15644,15355,,,14212,14275,13775,13377,12651,
AUT,3540,3459,3111,3158,2873,2634,2727,2608,2421,2383,2280,2191
BEL,,,,3218,3024,2952,2579,2591,2533,2373,,
DNK,1901,2046,1783,1675,1580,1423,1346,1276,1123,1074,1025,860
MEX,15349,15927,17156,18142,18023,19149,19658,18520,20618,22873,26200,
