Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AUT,1296,1205,1182,1248,1141,1150,1119,1032,1015,969,1029,1007
DEU,15329,14947,14854,14598,14034,13843,13469,13048,12936,12504,12510,12439
GBR,,7653,7633,7573,7501,7464,7463,7546,7517,7327,7320,
ISL,28,20,23,32,23,26,23,25,21,22,,
NLD,2160,2207,2192,2195,2169,2333,2300,2370,2360,2313,2420,2508
SVN,277,264,292,333,296,317,308,343,361,318,343,
TUR,,,,,,,,,,,,
ISR,648,671,638,640,602,627,652,654,613,669,707,
JPN,16201,16808,17211,18039,18373,18814,18834,19162,19762,19835,20495,21072
KOR,1962,2069,2288,2485,2619,2762,2812,2889,3016,3153,3351,3344
NZL,563,571,545,555,603,614,629,609,587,610,,
SVK,713,688,755,722,730,720,755,760,747,720,701,
CHE,791,819,791,820,761,720,720,815,740,756,734,
CHL,699,671,681,731,789,796,843,828,886,977,,
CZE,1885,1911,1893,2035,1946,1783,1734,1638,1618,1572,1608,1565
GRC,872,929,944,950,939,994,964,1040,1096,1029,1064,
AUS,2149,2153,2187,2019,1896,,1622,1889,1891,1814,1816,1839
DNK,1081,1068,985,980,974,1033,1039,897,993,943,941,958
FIN,563,498,509,559,484,544,516,524,535,565,546,589
LUX,57,58,57,54,36,61,62,63,51,73,55,67
MEX,1306,1391,1376,1519,1600,1661,1686,1853,1944,1732,1892,
NOR,817,868,788,858,780,753,806,813,795,784,816,781
POL,4144,4344,4303,4364,4377,4500,4462,4498,4730,4749,4861,4787
ESP,5189,5216,5299,5378,5559,5462,5498,5646,5829,5873,6067,6388
EST,204,190,230,186,235,210,216,208,213,213,209,229
FRA,7605,7511,7570,7870,7641,7851,7723,7674,8024,8045,,
ITA,7839,7958,8072,8005,,,8315,8625,8621,8582,8684,
PRT,1265,1395,1356,1443,,,,1457,1559,1541,1538,1653
CAN,3094,3166,3269,3227,3437,3431,3327,3620,3588,3607,,
IRL,411,359,388,426,400,402,419,377,424,381,401,
BEL,,,,1450,1411,1412,1430,1433,1414,1509,,
HUN,2372,2258,2185,2311,2261,2095,2141,2158,2190,2187,2261,2219
SWE,1270,1316,1257,1216,1289,1218,1307,1367,1330,1278,1281,
USA,29015,28662,28240,27951,26842,26409,26628,26462,26227,25424,25340,
