Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AUS,20665,21052,21440,21396,21851,,21388,22798,23913,23693,24560,24742
BEL,,,,15285,15126,15557,15292,15397,15828,15601,,
SVK,7015,7025,6768,6822,6812,6944,6815,6881,6877,6782,7064,
SWE,11407,11511,11427,11862,11680,11846,11835,11586,11673,11686,11677,
CAN,34096,34736,35130,35440,35864,36201,36313,37301,37796,38190,,
FRA,89860,90436,90989,91311,90688,92106,91779,92425,92412,93402,,
GBR,,82119,82728,82267,81917,81451,82469,82998,83675,83940,84363,
IRL,4136,4079,4119,4050,4226,4067,4303,4298,4400,4708,4291,
PRT,12974,13137,13467,13794,,,,14179,14608,14690,15215,15402
AUT,9685,9698,9949,10238,10252,10218,10347,10239,10825,10772,10741,10915
CHE,8780,8874,8566,8732,8690,8832,8854,9040,9120,9008,9298,
CZE,15948,15603,16058,16278,16280,15680,15492,15341,15537,15673,15866,15180
FIN,5312,5471,5470,5499,5619,5616,5853,5803,5782,5953,6241,6226
ITA,91866,94187,93398,96127,,,96416,97355,97773,98566,98847,
NZL,4193,4248,4225,4307,4283,4215,4167,4563,4583,4429,,
SVN,2705,2726,2851,2863,2848,2839,2961,3179,3157,3246,3245,
USA,292641,293810,295304,294677,293594,297242,297056,300122,302720,304364,308830,
DEU,112061,110657,112245,113157,113361,114542,115176,115938,118874,119406,121064,122799
ESP,59212,61202,61106,62326,62937,62664,63147,64334,64358,64936,66111,66991
JPN,183901,186326,188997,192028,198266,201728,203181,207947,211504,211480,216629,218506
LUX,549,492,496,527,530,503,497,564,509,553,588,590
NOR,5645,5688,5780,5681,5694,5708,5583,5773,5798,5753,5919,5940
POL,48886,50155,51371,51189,52340,52052,52990,53845,53543,53866,53682,53556
TUR,,,,,,,,,,,,
GRC,14672,14977,14792,15281,15648,15998,15723,16403,16690,16822,16418,
ISL,246,281,268,240,269,294,277,296,283,317,,
ISR,4582,4679,4814,4888,4799,4892,4874,5047,5083,5132,5350,
KOR,37460,38049,40279,40407,41402,41481,42247,43157,44264,44347,45746,45419
NLD,21172,21263,21473,21614,21765,21720,21756,22174,22397,23001,23686,23481
CHL,9702,9774,10176,10533,10683,11034,11162,11104,11188,12180,,
DNK,8060,7981,7756,7788,8074,7981,8242,7768,7879,7820,8073,8121
EST,1818,1807,1878,1856,1907,1957,1944,1963,1927,1929,1969,1946
MEX,27841,28249,29831,30842,31207,32550,32649,32805,34686,34813,35975,
HUN,18914,19013,18915,19063,19100,17918,18217,18342,18236,18523,18337,18283
