Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AUT,234.30,227.90,226.50,230.80,228.70,222.70,217.50,212.50,218.50,213.10,209.70,209.40
DNK,294.50,291.80,280.00,277.50,279.00,277.70,279.00,259.80,256.80,248.50,251.40,246.20
NZL,251.00,251.90,246.60,243.30,242.50,231.40,229.40,234.50,229.60,220.70,,
SWE,213.20,215.80,211.30,213.20,211.90,210.50,209.00,204.90,201.90,198.90,195.80,
BEL,,,,239.40,233.90,234.30,228.50,228.50,228.90,223.80,,
FIN,204.20,202.80,197.30,197.40,194.70,191.70,190.20,186.70,184.70,182.00,187.40,183.30
AUS,226.10,224.50,223.20,217.50,217.40,,207.40,208.00,213.40,205.50,206.40,202.50
ITA,244.70,246.10,237.20,238.30,,,226.40,225.20,222.10,220.30,216.40,
JPN,214.60,211.60,207.80,205.10,206.30,202.80,199.60,197.70,196.00,191.40,191.40,189.30
CHE,216.10,211.20,202.80,204.00,200.80,196.50,196.10,196.20,191.10,188.20,187.50,
IRL,269.40,264.10,255.80,252.80,254.80,246.60,252.10,246.80,248.40,248.00,227.30,
SVN,265.00,264.30,267.50,264.80,259.00,257.40,258.70,264.60,265.40,260.40,259.10,
USA,236.70,232.30,229.10,225.30,220.30,218.00,214.70,212.00,203.60,200.10,198.70,
CHL,237.60,227.60,229.20,228.40,223.40,223.20,218.10,209.80,205.80,214.50,,
CZE,302.30,297.30,300.90,301.30,297.10,280.20,274.60,264.70,260.70,256.80,254.00,243.20
FRA,246.80,245.20,243.90,241.20,235.50,234.80,228.30,224.30,224.70,220.60,,
HUN,349.80,332.40,327.30,329.90,326.30,302.80,302.60,303.10,300.90,301.40,297.90,296.60
POL,272.90,274.70,274.50,273.70,271.80,269.10,268.40,268.40,262.70,259.80,253.40,248.80
CAN,244.50,243.50,242.40,239.10,236.00,231.90,226.50,226.00,222.70,218.50,,
GRC,213.90,217.50,212.80,212.90,215.10,213.30,205.30,209.70,208.90,203.50,196.60,
ISL,230.20,222.60,228.10,216.60,220.20,217.20,201.30,227.00,216.80,214.90,,
KOR,220.80,219.10,227.10,222.10,216.50,212.60,206.90,206.10,202.50,196.80,196.90,188.20
LUX,236.60,229.60,220.70,233.00,215.00,211.20,211.70,227.60,206.20,220.70,214.10,210.70
NLD,265.80,262.60,263.10,260.20,258.40,254.80,250.80,247.60,248.00,245.70,246.80,244.30
NOR,234.00,233.80,234.50,228.40,226.40,224.90,219.40,220.90,218.30,213.80,217.10,212.90
ISR,220.90,220.00,218.50,219.80,208.30,209.90,204.70,204.10,201.90,192.10,195.00,
DEU,241.30,233.60,233.10,229.40,225.50,223.40,219.20,215.40,216.30,212.80,211.80,211.10
ESP,225.90,227.70,222.80,222.40,218.70,212.90,211.00,209.50,206.50,204.60,204.70,200.10
EST,246.80,241.00,248.00,240.70,249.40,247.90,251.40,244.60,243.20,241.80,240.10,242.30
GBR,,256.10,254.50,250.90,246.30,243.40,241.50,240.30,238.30,233.50,231.40,
MEX,140.20,137.70,138.60,138.30,136.80,137.20,133.90,129.80,131.60,127.90,128.40,
PRT,211.50,211.30,211.30,210.90,,,,204.60,206.10,205.50,203.30,199.30
SVK,282.20,276.30,265.30,263.40,259.60,261.30,255.40,257.10,253.70,249.00,249.50,
