Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
SVK,7.6,8.7,9.6,10.3,9.7,11.9,10.6,13.2,11.8,11.9,12.8,
SWE,16.5,18.7,20.6,21.2,23.2,23.7,24.8,26.4,26.3,26.5,29.3,
GBR,,23.2,23.5,25,23,23.4,23.3,24.8,26,25.6,26.7,
MEX,11.7,11.4,11.7,12.7,12.1,13.8,13,12.9,12.9,12.8,13.4,
NLD,18.5,20.1,22.8,22.5,21.1,20.9,22.5,21.6,23.8,24.1,26.1,26.7
AUT,11.7,12.1,24,26.9,20.1,19.2,19.9,20.7,22.9,23,22.4,22.3
CHE,27.5,31.6,32,33.3,30.7,32.3,31.4,30.5,31.2,31.8,32.5,
ESP,23.9,26,27.4,32.4,29.7,32.2,31.1,32.5,32.8,34.1,33.6,34.5
EST,10.7,11.7,11.8,9.5,13.3,13.8,14.2,15.2,12.8,12.1,15.7,13.4
KOR,8.7,9,14.7,14.7,14.6,13.6,14.3,17.2,17.9,16.9,17.9,19.4
NZL,23.4,26.9,26.3,25.5,28.4,26.5,28.4,27.8,29.1,28.9,,
ISL,44.7,37,42.5,52.3,44.9,57,54.3,57.1,59.7,55.9,,
ITA,18.6,19.4,19.2,25.6,,,23.1,24.4,24.6,24.9,24.4,
PRT,12.3,15.3,16.9,20.5,,,,19.9,20.8,21.8,22.2,21.3
AUS,23.7,24,24.6,23.7,24.3,,24.1,26.1,27.7,26.1,27.6,29
DEU,15.5,15.9,17,17.4,16.2,16.8,17.2,15.7,16.9,17.4,17.5,18.2
HUN,16.9,15,14.4,15.5,15,13,12.2,13.9,13.7,13,13.4,13
ISR,21.9,21.3,20.6,22.5,20.1,21.8,21.7,22,19.8,20.1,20.3,
LUX,26,23.7,25.7,30.2,24.7,32.1,29.5,25,24.6,19.3,27.9,26.6
USA,36.1,37.5,39.4,41.3,41.4,43.6,43.2,44.2,45.9,43.6,45.3,
CZE,14.2,16.4,16.6,20,18.7,19.5,19.7,11.1,10.9,9.3,8.9,17.7
DNK,18.2,21.1,23.2,22.2,23,23.3,24.1,25,25.5,25.7,28.7,28.2
FIN,28.8,31.6,38.9,40.8,42.7,45.1,52.3,57.6,65.1,71.9,80.9,85
FRA,28.5,30,32.1,36.1,32.4,35.3,35.2,35.9,37.8,37.3,,
GRC,11,11,9.4,10.2,10,9.5,10,10.5,10.6,11,10.5,
NOR,19.9,22,21.6,23.9,24.6,25.1,25.3,25,27.5,28.5,29.1,30.1
POL,9.6,10.1,10.3,10,10.9,12.3,11.9,12.2,11.9,12.8,12.4,12.8
SVN,7.8,8.3,11.6,12.1,10.8,10.6,9.5,9.4,11.8,12.2,12,
TUR,,,,,,,,,,,,
BEL,,,,31.5,26.6,30.5,30,30.8,33.1,33,,
CAN,36.5,38.6,37.9,36.8,36.2,36.4,35,35.1,36.2,34.3,,
CHL,14.3,19.4,19.5,19.5,20.9,22.6,23.1,25.9,24.5,26.1,,
IRL,20.8,22.9,20.6,22.3,21.6,21.1,21.1,27.1,24.3,28.6,26.9,
JPN,5.7,5.7,5.8,6,6.3,6.6,7,7.2,7.8,7.6,8.4,9.2
