Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
DNK,21.1,23,24.5,24.7,24.7,25.1,26.4,28,27.5,27.4,31.1,29.6
MEX,13.8,13.3,13.6,14.5,14,15.8,15.3,14.8,15.3,14.9,15.5,
NZL,26.8,29.7,29.2,27.3,29.4,29.2,30.8,31,30.7,31,,
AUT,13.9,14.1,27.6,30.1,22.3,21.9,23.2,23.7,25,25.2,25.1,24.3
SVN,10.6,11.5,15.6,14.6,12.8,11.4,11.4,10.7,13.1,14.6,13.9,
AUS,25.9,26.1,27.5,25.1,26.1,,26,28.5,30.2,28.9,29.5,31.1
BEL,,,,33.3,29.9,32.5,32.6,32.8,35.8,35.3,,
ESP,25.2,27.5,28.7,33,30.6,32.9,31.9,32.9,33.4,34.8,34.7,35.1
FIN,31.4,35.8,42.4,44,47,51.4,57.5,63,69.3,76.6,85.7,89.4
JPN,7,7.2,7.2,7.4,7.7,8.1,8.6,8.9,9.3,9.4,10.2,11.2
KOR,10.6,11.4,16.5,16.4,16.2,15.5,16.2,19.1,19.7,19.3,20.2,21.6
SWE,18.1,20.1,21.3,22.1,24.9,25.3,26,27.3,27.7,28,30.4,
EST,13.6,17.4,17.2,15.6,17.4,18.8,20.4,19.4,16.5,18.4,17.3,18.2
GRC,12.5,11.6,10.9,10.4,10.6,9.9,10.2,11.3,10.9,11.5,11.3,
PRT,14.8,17,19.1,22.5,,,,22.6,22.9,24.1,24.7,23.2
TUR,,,,,,,,,,,,
CAN,38.3,40.2,39.3,38,36.9,37.5,36.1,36.5,37.5,35.8,,
USA,38,39.2,40.8,42.6,42.5,44.7,44.6,45.7,47.2,45.3,47,
DEU,18.6,18.8,19.9,20.5,19.3,19.8,20.2,18.5,19.7,20.3,20.7,21.1
IRL,23.2,24.3,23.6,23.7,23.8,23.5,22.5,28.9,28.1,30.1,29.4,
ISL,43,35.4,43,47.4,47.4,57.5,50.6,59.5,61.6,61.9,,
ITA,20.9,21.3,20.8,27.8,,,25.6,26.6,26.7,27,26.5,
CHL,16,21.5,21.6,22.2,23.4,24.4,24.7,27.8,26.4,27.9,,
ISR,25.2,24.5,23.6,25.8,22.5,24.2,23.7,22.9,22.7,22.1,22,
NLD,20.4,21.5,24.2,25,23,23.4,24.8,23.9,25.7,26.9,27.5,29
NOR,21.5,24.7,23.7,26.2,27.5,26.3,27.3,27.2,29.3,29.8,31,30.9
POL,11.1,11.8,11.9,11.9,12.5,14.4,14,14,14,14.4,14,14.4
SVK,10.7,12.1,12.4,13.3,13.1,14.6,14.1,16.2,15.3,14.1,15.3,
CHE,30.8,33.4,33.8,36,32.9,33.8,33.4,32.4,33.9,33.8,35,
CZE,15.8,18.3,19.6,22.3,21.2,22,21.5,12.6,12.5,10.4,10,20.2
FRA,32.3,34,35.5,39.6,35.7,38.9,38.5,38.8,40.8,40.1,,
GBR,,26,26.6,27.9,25.7,26.3,26,27.5,28.9,28.3,29.4,
HUN,20.1,18.5,17.9,18.2,18.4,17,15.9,17.8,16.7,16.6,16.2,15.6
LUX,26.8,28.5,28.7,32.8,26.7,36.4,30.9,27.3,28.7,21.2,31,32.1
