Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
CHL,275,315,318,344,404,365,377,380,346,357,,
EST,27,50,53,37,37,50,22,39,48,33,34,25
GRC,148,201,196,243,221,208,219,246,199,221,299,
HUN,222,221,218,196,203,265,271,278,297,308,264,301
IRL,114,106,109,97,134,141,138,162,152,149,125,
CZE,21,26,19,21,14,28,36,36,53,35,32,82
ESP,2249,2357,2445,2495,2474,2497,2329,2311,2315,2366,2293,2341
SWE,371,354,323,313,289,325,305,336,333,313,320,
USA,9729,9986,10206,10197,10045,10057,9681,9564,9454,9073,8971,
FIN,201,195,201,205,151,217,203,169,188,154,172,165
ITA,1530,1485,1530,2231,,,2229,2341,2650,2422,2230,
NOR,174,175,206,166,169,175,169,161,187,161,170,174
NZL,145,156,163,154,143,167,181,155,156,154,,
ISL,5,6,6,8,8,6,11,5,5,4,,
JPN,2981,2951,2954,2905,2943,3037,3147,3182,3293,3258,3513,3603
MEX,1894,1910,1867,1987,2035,2263,2245,2771,3021,2994,3163,
TUR,,,,,,,,,,,,
AUS,578,610,665,698,693,,711,759,770,765,800,790
AUT,96,82,163,157,164,222,201,209,200,189,179,191
BEL,,,,292,268,282,259,257,298,306,,
DNK,226,282,280,278,252,259,252,206,242,237,228,210
LUX,5,8,13,7,12,11,10,12,8,7,14,12
GBR,,3654,3698,3703,3462,3397,3254,3356,3348,3130,3122,
PRT,145,165,170,193,,,,158,150,181,205,191
CHE,319,349,385,384,398,354,347,333,317,324,376,
KOR,1524,1534,1915,1605,1154,1111,1188,1350,1155,1252,1257,1156
POL,446,426,396,450,456,419,390,370,387,375,350,407
CAN,973,1046,1108,1124,1024,1150,1108,1029,1050,1035,,
DEU,1286,1331,1338,1360,1334,1338,1464,1446,1467,1744,1914,2019
FRA,2609,2502,2607,2566,2255,2343,2279,2285,2360,2369,,
ISR,120,85,113,133,126,123,85,142,147,140,153,
NLD,583,666,677,625,554,546,629,542,555,536,604,573
SVK,48,36,52,48,32,30,42,40,34,34,41,
SVN,24,21,42,62,44,34,36,38,57,50,59,
