Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AUS,278,287,348,312,335,,314,346,401,313,379,380
AUT,29,35,66,53,49,84,81,81,73,61,80,74
ESP,909,995,1052,1063,1072,1099,1034,1073,1089,1095,1034,1046
ISL,,1,2,4,5,2,1,3,3,1,,
LUX,4,1,7,5,3,1,6,2,3,,2,4
MEX,828,831,854,893,872,1030,1048,1412,1518,1586,1748,
NOR,84,79,82,85,90,77,68,57,72,79,88,95
PRT,65,73,92,105,,,,80,115,123,129,142
USA,4035,4071,4194,4292,4239,4361,4250,4354,4417,4261,4356,
CHL,106,112,110,116,143,115,134,142,116,132,,
SVK,17,13,18,16,16,21,19,20,20,14,21,
IRL,45,53,59,57,58,55,65,68,75,63,56,
NZL,68,75,86,73,71,68,76,83,80,81,,
CZE,19,16,13,11,11,12,18,27,32,26,29,64
DEU,546,577,588,661,647,686,818,743,836,918,1023,1037
DNK,91,87,108,97,106,90,133,125,133,96,122,118
NLD,229,267,276,247,236,252,263,255,242,253,273,265
SVN,13,11,10,20,13,8,10,23,32,17,22,
SWE,118,131,141,137,130,137,126,164,141,123,149,
HUN,84,90,100,83,89,119,127,128,125,132,148,136
ISR,67,60,95,74,93,92,69,112,103,103,110,
ITA,502,511,489,862,,,837,910,1006,950,851,
FIN,84,81,84,60,69,76,84,74,77,67,62,65
GRC,141,159,151,175,152,146,173,175,150,205,249,
KOR,605,580,548,476,393,414,468,550,511,594,614,616
CAN,421,421,429,444,409,431,471,510,476,489,,
EST,18,11,24,12,19,16,19,16,20,8,15,11
GBR,,1398,1391,1375,1393,1418,1418,1414,1487,1438,1489,
JPN,1438,1471,1465,1451,1520,1566,1701,1831,1926,1937,2093,2172
TUR,,,,,,,,,,,,
BEL,,,,151,145,134,155,144,162,168,,
CHE,132,144,166,150,136,131,136,154,143,132,147,
FRA,1228,1371,1303,1271,1226,1231,1219,1116,1323,1385,,
POL,147,139,120,175,121,137,110,152,124,142,123,131
