Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
EST,4.4,2.2,4.8,3.1,3.8,3.4,4.8,3.5,4.8,1.4,2.6,2.1
HUN,2.3,2.4,2.7,2,2.4,2.9,3.2,3.2,3.1,3.3,3.6,3.3
KOR,8.8,8.4,7.9,6.3,4.4,4.4,5,5.8,5.2,6,5.5,5.4
MEX,5.8,5.6,5.4,5.3,4.9,5.9,5.5,7.1,7.2,7.4,7.8,
POL,1,1,0.8,1.3,0.9,1,0.8,1,0.7,0.9,0.7,0.8
AUS,4.5,4.4,5.2,4.5,4.9,,4.4,4.4,5,3.7,4.3,4.2
ESP,6.3,6.7,6.9,6.8,6.7,6.5,5.9,5.8,5.7,5.5,5,4.8
IRL,4.1,4.7,5.3,4.7,5,4.8,5.4,5.1,5.7,5,3.7,
ISR,3.9,3.5,5.1,4,5,4.7,3.4,5.5,4.9,4.5,4.8,
SWE,2.8,3,3.3,3.2,2.9,3.1,2.8,3.6,3,2.6,3.1,
CHE,5,5.3,5.6,5.3,4.5,4.4,4.3,4.8,4.3,3.8,4.2,
GRC,3,3.4,3.3,3.8,3.1,2.8,3.5,3.2,2.6,3.4,4.1,
AUT,1,1.1,2.1,1.6,1.6,2.5,2.6,2.4,2.1,1.7,2.2,2
BEL,,,,3.6,3.4,3.1,3.4,3,3.4,3.4,,
DNK,4.4,4,5.1,4.4,5,4.1,5.9,5.4,5.4,3.9,5,4.7
SVK,0.8,0.7,1,0.6,0.9,1.3,1.1,0.9,1.1,0.7,0.9,
DEU,1.7,1.8,1.7,1.9,1.8,1.9,2.2,1.9,2.1,2.2,2.4,2.4
FIN,4.7,4.2,4.2,3,3.1,3.9,3.9,3.1,3.7,2.9,2.6,2.7
ITA,2.1,2,1.9,3.3,,,3,3.2,3.4,3.1,2.7,
NZL,5.6,6.1,6.5,5.4,5.4,5.1,5.5,5.4,5.1,5.1,,
CZE,0.4,0.4,0.3,0.2,0.2,0.3,0.3,0.6,0.7,0.6,0.6,1.5
LUX,2.5,0.7,5.1,2.5,2.1,0.5,4.5,2.3,2,,1.4,2.2
NLD,4.3,5.1,5.1,4.8,4.1,4.5,4.4,4.2,3.9,4,4.1,3.9
SVN,1.5,1.4,1.2,2.9,1.8,0.8,1.1,2.3,3.5,2.2,2.5,
TUR,,,,,,,,,,,,
CAN,4.2,4,4.1,4,3.7,3.7,3.9,4,3.6,3.5,,
GBR,,6.1,6,5.8,5.7,5.7,5.5,5.4,5.5,5.2,5.2,
ISL,,1.5,1.8,3.8,4.7,2.3,1,3.1,1.9,0.8,,
NOR,4.5,4.3,4.4,4.6,4.8,4,3.5,2.8,3.5,3.8,4.2,4.5
PRT,1.7,1.8,2.1,2.4,,,,1.8,2.4,2.6,2.6,2.7
USA,4.2,4.1,4.1,4.1,4,4,3.8,3.8,3.7,3.5,3.5,
CHL,2.9,3.2,2.9,2.8,3.3,2.7,3.1,3.1,2.6,2.8,,
FRA,5.4,6.1,5.8,5.5,5.2,5,4.7,4.2,4.9,4.9,,
JPN,2.5,2.5,2.4,2.3,2.3,2.3,2.5,2.6,2.7,2.5,2.7,2.7
