Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
FRA,9.30,9.20,9.30,9.10,8.80,8.90,8.70,8.60,8.60,8.10,,
ISL,21.40,12.50,12.70,12.70,11.40,8.90,9.00,12.30,7.90,9.00,,
NLD,10.90,11.20,10.90,10.60,10.90,10.60,11.10,9.80,10.80,10.50,10.90,10.50
DNK,15.50,14.60,14.10,13.90,13.10,12.90,13.30,11.10,11.90,10.50,11.20,10.80
ISR,10.60,9.90,9.70,9.30,9.90,9.90,9.00,8.80,9.00,8.20,10.20,
JPN,5.20,5.30,5.10,5.20,5.30,5.30,5.20,5.10,5.20,5.20,5.10,5.10
LUX,6.90,13.30,10.00,14.40,11.30,7.90,9.30,9.60,10.50,12.90,7.50,12.60
SWE,12.00,11.70,11.70,11.40,11.00,10.30,10.70,10.40,10.20,11.30,10.60,
AUS,8.70,9.10,9.00,8.10,8.80,,7.60,8.10,8.30,7.70,8.10,7.80
AUT,11.30,11.50,10.20,11.00,11.00,10.30,9.60,9.00,9.90,8.80,7.90,8.60
FIN,8.90,8.40,8.60,9.60,9.80,9.50,9.70,8.90,8.60,8.70,10.10,10.10
NZL,10.40,9.80,9.70,9.10,9.90,9.90,10.80,10.00,8.90,10.10,,
CHE,9.90,9.40,8.90,10.30,10.40,9.10,9.60,8.90,8.80,9.40,8.60,
CZE,12.60,14.00,12.70,13.70,12.70,12.50,12.60,11.30,10.90,10.30,10.00,10.40
EST,13.50,14.20,12.10,13.50,11.50,12.90,10.80,12.10,9.80,12.30,9.50,11.10
GRC,6.60,6.60,7.80,7.00,7.10,7.30,7.00,8.20,7.10,7.20,6.60,
HUN,11.10,10.20,9.90,11.00,10.70,9.50,9.50,10.20,10.50,10.60,10.20,10.50
IRL,14.70,15.20,13.30,14.80,14.60,14.40,15.20,14.90,13.00,12.00,14.20,
USA,10.30,10.40,10.40,10.30,10.10,10.00,9.90,9.50,9.00,8.80,8.80,
BEL,,,,10.80,10.20,10.00,9.90,10.50,9.60,9.80,,
ESP,6.90,7.20,7.10,7.20,6.80,6.80,6.70,6.90,6.70,6.60,6.90,6.60
MEX,4.80,4.80,5.10,5.20,5.20,5.20,5.50,5.30,5.30,5.30,5.30,
SVN,10.20,9.80,10.40,10.30,11.40,9.70,10.20,10.50,12.20,13.00,11.30,
CAN,9.40,9.50,10.30,9.90,9.80,9.50,9.20,8.80,9.20,8.70,,
GBR,,13.40,13.50,13.00,12.50,12.40,12.10,11.70,11.60,11.30,11.10,
KOR,3.30,3.70,3.60,3.30,3.60,3.90,3.50,3.90,3.90,3.80,3.90,3.70
POL,10.70,11.10,11.00,11.40,11.20,11.50,11.40,11.80,11.70,11.50,11.50,11.40
CHL,6.80,6.60,5.60,5.90,5.80,6.30,6.10,5.30,5.20,5.80,,
DEU,11.30,10.80,10.90,10.50,9.80,9.90,9.90,9.60,9.50,9.50,9.40,9.70
ITA,7.90,7.60,7.60,7.80,,,7.30,7.90,7.60,7.90,7.40,
NOR,11.40,11.00,14.40,11.90,12.90,11.30,12.30,13.20,11.70,12.20,11.70,11.60
PRT,6.30,5.70,5.50,5.80,,,,5.70,5.40,5.60,5.10,5.30
SVK,10.70,10.60,9.70,9.10,9.90,9.70,10.00,9.10,9.60,9.50,9.40,
