Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
HUN,1546.00,1561.00,1670.00,1658.00,1683.00,1611.00,1692.00,1747.00,1794.00,1837.00,1848.00,1850.00
LUX,54.00,66.00,63.00,51.00,62.00,54.00,37.00,56.00,59.00,86.00,61.00,72.00
NOR,571.00,618.00,646.00,592.00,622.00,634.00,633.00,659.00,655.00,664.00,630.00,646.00
DEU,12116.00,12438.00,12819.00,12686.00,13008.00,13575.00,13942.00,14445.00,14835.00,15159.00,15488.00,15940.00
EST,170.00,184.00,180.00,204.00,184.00,169.00,224.00,208.00,229.00,242.00,215.00,258.00
ISL,25.00,25.00,33.00,30.00,27.00,31.00,33.00,39.00,28.00,29.00,,
NZL,312.00,285.00,303.00,306.00,355.00,353.00,355.00,428.00,373.00,413.00,,
SWE,1451.00,1420.00,1459.00,1424.00,1452.00,1491.00,1588.00,1536.00,1572.00,1543.00,1548.00,
KOR,2708.00,2837.00,2870.00,2980.00,3042.00,3373.00,3445.00,3569.00,3767.00,4058.00,4306.00,4379.00
PRT,879.00,972.00,949.00,958.00,,,,1089.00,1111.00,1200.00,1250.00,1292.00
SVK,576.00,593.00,538.00,588.00,555.00,667.00,675.00,700.00,703.00,712.00,736.00,
CHL,695.00,713.00,820.00,896.00,897.00,881.00,926.00,933.00,1033.00,1069.00,,
DNK,795.00,745.00,701.00,749.00,813.00,800.00,841.00,862.00,897.00,879.00,893.00,877.00
FRA,6836.00,7258.00,7426.00,7431.00,7748.00,8049.00,8263.00,8623.00,9031.00,9103.00,,
GRC,1139.00,1169.00,1203.00,1251.00,1274.00,1300.00,1331.00,1486.00,1469.00,1535.00,1459.00,
AUS,1748.00,1811.00,1839.00,1881.00,1998.00,,1975.00,2252.00,2289.00,2204.00,2434.00,2416.00
BEL,,,,1326.00,1305.00,1454.00,1417.00,1468.00,1516.00,1444.00,,
CZE,1566.00,1615.00,1613.00,1720.00,1711.00,1808.00,1841.00,1781.00,1763.00,1846.00,1881.00,2033.00
ESP,4000.00,4216.00,4283.00,4432.00,4549.00,4591.00,4860.00,4976.00,5233.00,5242.00,5716.00,5812.00
IRL,349.00,374.00,390.00,389.00,380.00,349.00,410.00,465.00,470.00,483.00,477.00,
ITA,8112.00,8334.00,8394.00,8777.00,,,9574.00,9834.00,9830.00,10024.00,10512.00,
NLD,1767.00,1873.00,1860.00,1833.00,1971.00,2176.00,2126.00,2209.00,2378.00,2379.00,2481.00,2529.00
POL,3764.00,3720.00,3809.00,4017.00,3923.00,4072.00,4201.00,4376.00,4522.00,4547.00,4530.00,4448.00
SVN,234.00,246.00,247.00,241.00,242.00,260.00,305.00,299.00,336.00,333.00,363.00,
CAN,3092.00,3193.00,3202.00,3441.00,3577.00,3459.00,3612.00,3785.00,3800.00,3981.00,,
FIN,721.00,747.00,755.00,835.00,908.00,829.00,885.00,962.00,992.00,948.00,995.00,1005.00
JPN,19094.00,19397.00,20137.00,21148.00,22260.00,22927.00,23366.00,24634.00,25976.00,26791.00,28017.00,28829.00
AUT,1264.00,1237.00,1244.00,1336.00,1317.00,1318.00,1300.00,1379.00,1426.00,1424.00,1488.00,1537.00
CHE,866.00,864.00,977.00,907.00,900.00,956.00,951.00,1026.00,1016.00,1095.00,1179.00,
GBR,,6773.00,6901.00,7047.00,7063.00,7255.00,7333.00,7759.00,7792.00,8042.00,7917.00,
ISR,534.00,628.00,681.00,651.00,645.00,673.00,756.00,657.00,726.00,766.00,810.00,
MEX,2669.00,2775.00,2935.00,2970.00,3135.00,3190.00,3252.00,3385.00,3601.00,3583.00,3565.00,
USA,29332.00,29803.00,30264.00,30777.00,31772.00,32760.00,33454.00,34118.00,35236.00,35636.00,36899.00,
