Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AUT,17.8,16,17.6,17.8,18.5,17.3,16.8,17.1,17.4,17.8,17.4,18.2
CAN,13.4,13.8,13.2,13.8,13.7,13,13.1,13.6,13.3,13.4,,
FRA,14.5,14.6,14.5,14.6,14.8,15,15,15.2,16.1,15.3,,
GRC,12.5,12.3,13,13.1,12.8,13.2,12.3,13.6,13.3,13.4,11.6,
LUX,18.6,20.5,15.2,13,21.4,14.8,11.2,16.9,14.7,21.6,14.3,18
NLD,13.7,15.4,13.4,13.4,14.7,15.4,14.2,15.8,15.5,15.5,15.5,14.9
PRT,10.6,11.3,10.4,11.4,,,,10.5,11.5,12.8,12.8,12.3
FIN,16.2,18,16.1,15.9,19.4,17.1,18.1,17.9,17.6,17.8,18.5,16.4
GBR,,12.4,12.7,12.7,12.5,12.5,12.8,13,13,13,12.7,
HUN,20.4,18.7,21.3,18.9,20.7,19.1,18.8,19.2,20.6,20.4,19.3,21
SWE,15.1,14.5,14.9,14.8,14.5,14.9,15.8,14.7,15.1,13.8,14.2,
DEU,16,15.9,16.1,15.6,16.1,16,16,16.2,16.7,16.6,16.4,16.6
JPN,17.2,16.8,16.8,17,17.5,17.4,17.4,17.6,17.9,17.9,18.1,18
MEX,7.2,7.3,7.5,7.2,7.4,7.3,7.1,7.1,7.4,7,6.7,
BEL,,,,13.2,14.2,14.7,13.7,14.2,14.8,13.3,,
DNK,16.4,13.7,13.9,15,16.4,15.1,17.3,14.9,15.3,14.9,16.1,15.7
ISR,17.2,17.7,20.6,16.4,17.4,17.1,18.4,16.5,16.5,16.9,16.9,
ITA,14.3,14.5,14.2,14.5,,,15.1,14.9,14.6,14.6,14.9,
POL,14.5,14.2,14.5,14.8,14.5,14.6,14.5,14.8,15.1,15.3,14.6,13.9
SVK,18.4,18,16.2,20,16.8,19.1,18.7,20,18.1,17.1,19.3,
SVN,16.5,16.5,16.2,16.5,14.8,11.8,17.8,17.6,17.3,18.9,17.3,
TUR,,,,,,,,,,,,
AUS,12.2,12.9,12.6,11.9,12.6,,12.3,14.1,13.2,12.4,12.9,12.3
CHE,12.9,14.1,14.7,14.2,13.1,13.1,12.6,13.6,13.8,14,14.3,
EST,17.5,18.3,15.8,20.7,18.7,17.1,22.2,19.3,20.2,19.6,20.7,22.4
NZL,12.5,9.9,10.4,10.2,11.6,11.6,9.9,13,10.6,12.1,,
IRL,14.8,15.7,15.5,13.8,13.3,12.8,13.3,16.4,15.6,15.2,15.1,
USA,14.2,14.1,14.1,14,14.4,14.4,14.5,14.7,14.3,14.2,14.6,
CHL,9.4,9,10.3,10.3,9.3,9.4,9.6,9.2,9.8,10.1,,
CZE,19.4,20.2,21.1,21.3,20.5,22.3,20.7,20.2,18.6,20.3,20.9,21.6
ESP,11.4,12.5,11.9,12.3,12.3,11.9,12.3,12.6,12.8,12.3,13.3,12.8
ISL,13.9,13.2,14.3,13,16.3,15.8,14.2,16.2,9.2,9.3,,
KOR,14.3,15,14.9,14.5,14.4,15,14.5,14.1,15.1,15,14.7,14.7
NOR,13.3,14.2,15.3,15.4,15,14.5,14.7,14.7,14.1,15.4,14,13.8
