Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AUS,3.5,3.8,3.5,3.7,3.5,,3.7,3.9,4.5,4.3,3.8,4.3
BEL,,,,5.1,4,4.9,4.9,4.4,5,4.6,,
CHL,1.8,3.3,3.6,3.7,4.2,4,3.9,4.3,4.1,4.5,,
IRL,3.9,3.7,3.7,4,3.2,4.5,3.9,3.8,3.9,5,5.9,
PRT,2.1,2.6,2.6,3.1,,,,2.9,3.4,3.3,3.3,3.1
LUX,6.3,6.5,5.9,7.8,5.9,8.6,9.2,5.8,5.9,2.9,3.3,4.9
MEX,1.6,1.4,1.8,1.9,1.9,2.3,2.1,1.9,2,1.8,2,
SVK,0.8,0.8,1.1,0.8,0.6,0.9,0.8,1.4,1,1.1,1.1,
JPN,1.8,1.8,1.8,1.8,1.8,1.9,1.9,2,2.1,2,2.1,2.3
NLD,4.3,4.8,5.7,5.8,5.3,5.2,5.1,4.7,5,4.8,5.1,5.2
TUR,,,,,,,,,,,,
FRA,4.4,4.6,4.5,5,3.9,4.5,4.2,4,4.3,4.1,,
USA,4.5,4.6,4.6,4.9,4.7,5,4.9,5,4.8,4.7,5,
CAN,4.3,4.6,4.8,4.5,4.3,4.7,4,4.3,4.2,3.9,,
GRC,1.8,1.2,1.2,1.1,1.5,1.4,1.7,2.5,3.1,3.3,3.2,
ITA,3.5,3.6,3.2,4,,,4,4.1,3.9,3.9,4,
POL,1.1,1.2,1,1.1,1.2,1.9,1.8,2.1,1.8,1.8,1.8,1.9
AUT,4.1,4.3,10,11.4,6.1,5.2,6,6,6.2,6.5,5.7,5.7
FIN,5,4.9,5.7,5.8,5.1,5.1,5,4.5,6.3,5.3,6.4,6.2
GBR,,4.7,4.8,5,4.4,4.6,4.4,4.7,5,5,5,
NOR,4.4,4.7,4.1,3.9,4.3,3.9,3.4,3.6,4.3,4.6,4.4,3.5
SWE,2.2,2.3,2.9,2.6,3,3.1,3.1,3.3,3.2,2.8,3.3,
CZE,1.7,1.7,1.5,1.9,2.1,1.9,1.8,0.7,0.7,0.7,0.6,1.4
DEU,3.9,3.9,4.4,4.6,4.2,4.1,4.3,3.8,4.2,4.4,4.7,4.7
ISL,4.2,6.4,6.3,10.1,9,10,12.2,5.4,3.9,5.8,,
ISR,5.7,5.3,5.8,4.3,4.4,5.3,4,4.5,3.4,3.2,3.9,
NZL,3.6,3.9,4.2,3.5,4.2,3.9,4.9,4.2,4.5,4.4,,
CHE,,,,,,,,,,,,
DNK,4,4.1,4.3,4.5,4,3.8,4,3.4,4,3.5,4.1,3.9
ESP,3.3,3.6,3.4,4,3.6,4.1,3.9,4.1,3.9,4.4,4.1,4.4
EST,1.5,2.3,1,1.1,2.1,1.7,2.3,2.4,3,2.8,2.6,2.7
HUN,1.9,1.5,1,1.2,1.3,2.1,2.1,2.2,2,2.2,2.5,1.8
KOR,2.2,2.6,3.9,3.7,3.9,3.9,3.9,4.4,4.9,4.6,5.3,5.9
SVN,1.9,2.2,2.9,2.7,1.6,1.9,1.9,1.7,2.2,3.6,2.6,
