Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
CZE,6,4,1,6,5,4,10,16,37,28,35,54
HUN,12,9,16,14,11,39,44,53,58,46,33,34
IRL,35,43,23,30,28,34,29,24,13,26,21,
NLD,120,124,98,109,87,118,85,99,118,108,139,106
NZL,23,17,21,19,27,16,21,24,33,28,,
SWE,36,59,45,55,48,41,44,58,59,56,42,
AUS,94,106,121,112,126,,129,148,181,133,146,189
ESP,302,317,312,317,330,344,357,370,359,391,368,392
EST,12,8,7,3,7,7,9,3,8,2,7,3
GBR,,396,500,543,569,643,632,639,633,669,693,
MEX,365,352,311,349,345,336,397,580,575,656,711,
USA,1301,1318,1439,1501,1540,1628,1517,1580,1600,1645,1701,
CHL,157,100,107,99,103,108,93,102,90,85,,
FIN,10,11,10,13,11,12,21,8,12,15,13,15
FRA,607,614,620,590,535,522,526,492,513,516,,
ISL,,,,1,1,,1,2,,,,
KOR,141,139,136,132,125,152,158,132,144,145,161,173
LUX,4,2,4,2,2,1,1,1,1,1,3,1
PRT,70,127,158,21,,,,19,11,14,10,32
AUT,8,10,9,10,11,13,13,22,17,18,19,18
CHE,25,38,25,20,24,23,33,26,21,48,32,
DNK,20,21,17,18,23,25,27,20,23,21,21,22
GRC,7,9,12,12,16,9,5,8,5,8,8,
NOR,21,22,22,24,30,21,32,21,26,32,30,40
POL,28,17,10,28,14,20,23,24,19,29,29,36
TUR,,,,,,,,,,,,
DEU,97,94,125,153,170,183,207,273,305,333,374,381
ITA,219,201,202,269,,,286,269,256,261,299,
SVK,1,,,,1,4,7,,,,,
SVN,8,5,4,12,9,8,1,13,13,7,6,
BEL,,,,110,101,92,78,69,80,86,,
CAN,118,116,111,126,118,131,108,140,138,144,,
ISR,107,176,189,154,151,178,200,196,206,206,157,
JPN,290,324,347,284,287,370,381,374,439,435,510,566
