Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
CAN,1.20,1.30,1.30,1.20,1.20,1.00,1.00,1.10,1.10,0.90,,
CZE,0.20,0.30,0.10,0.20,0.10,0.40,0.50,0.60,0.80,0.80,1.00,1.80
ISL,,,,0.80,0.70,0.70,,,,0.80,,
USA,1.60,1.60,1.60,1.70,1.70,1.60,1.40,1.40,1.40,1.40,1.30,
DEU,0.60,0.50,0.60,0.60,0.70,0.70,0.70,0.80,1.00,1.00,1.10,1.10
FIN,0.70,0.50,0.30,0.40,0.50,0.60,0.40,0.50,0.60,0.70,0.40,0.40
ITA,1.30,1.20,1.00,1.40,,,1.30,1.30,1.00,1.10,1.00,
KOR,2.20,2.80,2.70,2.40,2.20,2.00,2.50,2.00,1.80,1.70,1.90,1.60
MEX,3.30,2.90,2.90,3.10,2.90,3.30,3.10,3.30,3.40,3.60,3.50,
NLD,4.20,3.30,3.30,3.30,3.00,2.80,2.70,2.80,2.40,2.20,2.50,2.30
NZL,1.70,1.90,1.90,1.70,2.10,2.00,1.80,2.20,2.30,3.00,,
CHE,1.20,1.30,1.20,0.90,1.00,1.10,1.10,1.00,1.00,0.90,0.90,
SVN,1.10,1.70,1.40,2.70,1.90,0.90,0.20,1.80,2.30,3.10,2.50,
HUN,0.20,0.30,0.20,0.40,0.20,1.10,1.30,1.50,1.00,1.10,1.20,1.30
IRL,3.40,3.10,3.40,3.20,3.00,3.30,1.80,1.90,2.00,2.00,1.40,
ISR,10.30,10.30,11.80,9.80,10.10,10.60,10.80,10.90,9.40,8.50,7.10,
POL,0.20,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.20
AUT,0.30,0.40,0.70,0.40,0.50,0.70,0.70,0.90,0.80,0.70,0.70,0.60
CHL,5.40,3.50,3.50,3.20,3.30,3.70,3.30,2.70,3.20,2.50,,
SWE,1.40,1.40,1.70,1.50,1.20,1.10,1.20,1.20,1.20,1.10,1.40,
EST,0.70,0.90,1.20,0.70,1.30,1.00,1.30,1.50,0.90,0.40,1.00,0.50
LUX,3.70,2.00,0.90,1.60,1.60,1.90,0.30,0.70,1.10,1.00,1.30,1.60
PRT,2.50,3.50,3.60,0.60,,,,0.30,0.20,0.40,0.20,0.40
DNK,1.00,1.00,1.50,1.40,1.50,1.90,1.20,0.80,1.20,1.10,1.10,1.00
FRA,3.60,3.50,3.60,3.80,3.10,2.70,2.60,2.30,2.10,2.00,,
GBR,,2.50,2.80,3.10,3.10,3.10,3.20,3.10,3.30,3.20,3.00,
AUS,1.60,1.70,2.10,1.90,2.00,,1.70,1.80,1.80,2.10,2.00,1.90
BEL,,,,4.80,4.20,3.80,3.10,2.80,2.50,2.70,,
ESP,2.50,2.50,2.50,2.50,2.30,2.50,2.30,2.50,2.50,2.30,2.20,2.10
GRC,0.50,0.40,0.50,0.40,0.30,0.50,0.20,0.40,0.40,0.40,0.30,
JPN,0.70,0.60,0.60,0.50,0.50,0.60,0.50,0.50,0.60,0.60,0.60,0.60
NOR,1.80,1.80,1.70,1.60,1.20,1.60,1.50,1.70,1.50,1.60,1.50,1.40
SVK,0.10,0.10,,,,0.00,0.00,,,,,
