Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
BEL,,,,4.30,3.70,3.40,2.70,2.40,2.30,2.40,,
FRA,3.50,3.40,3.40,3.60,2.90,2.60,2.50,2.20,2.10,2.00,,
ISR,8.90,10.60,11.70,9.60,9.80,10.40,10.90,10.70,9.80,9.10,7.10,
SWE,1.30,1.40,1.50,1.50,1.20,1.10,1.10,1.30,1.20,1.20,1.20,
CHL,5.80,3.60,3.60,3.30,3.40,3.70,3.20,2.90,3.00,2.50,,
EST,1.30,1.00,1.20,0.70,1.30,1.20,1.50,1.20,1.10,0.50,1.20,0.60
FIN,0.60,0.60,0.40,0.50,0.50,0.60,0.60,0.50,0.60,0.70,0.40,0.50
IRL,3.50,3.60,2.90,3.00,2.80,3.10,2.10,2.00,1.70,2.00,1.40,
JPN,0.70,0.60,0.60,0.50,0.50,0.60,0.60,0.50,0.60,0.60,0.70,0.70
KOR,2.10,2.70,2.60,2.30,2.10,2.10,2.40,1.90,1.80,1.70,1.90,1.60
PRT,2.30,3.50,3.90,0.60,,,,0.40,0.20,0.40,0.20,0.50
SVN,1.30,1.50,1.20,2.60,1.90,1.10,0.20,1.80,2.20,2.50,2.10,
AUS,1.60,1.70,2.10,1.80,1.90,,1.80,1.90,2.00,1.90,1.90,2.00
DEU,0.50,0.50,0.50,0.60,0.70,0.70,0.70,0.80,0.90,1.00,1.10,1.10
GBR,,2.20,2.60,2.90,2.80,3.00,2.90,2.90,3.00,2.90,2.80,
LUX,3.60,1.90,1.70,1.70,1.60,1.40,0.40,0.70,1.10,1.00,1.50,1.20
NZL,1.90,1.70,1.90,1.70,2.20,1.70,1.70,2.00,2.30,2.50,,
USA,1.60,1.50,1.60,1.60,1.60,1.60,1.40,1.40,1.40,1.40,1.30,
AUT,0.30,0.30,0.60,0.40,0.40,0.60,0.60,0.90,0.70,0.60,0.60,0.50
CAN,1.30,1.30,1.20,1.20,1.20,1.10,1.00,1.10,1.10,1.00,,
CHE,1.10,1.30,1.10,0.80,0.90,1.00,1.10,1.00,0.90,1.10,0.90,
CZE,0.20,0.20,0.10,0.20,0.10,0.30,0.40,0.50,0.80,0.70,1.00,1.60
HUN,0.20,0.30,0.30,0.40,0.20,1.10,1.30,1.40,1.20,1.10,1.10,1.10
NLD,3.70,3.20,3.00,3.00,2.60,2.70,2.40,2.50,2.30,2.10,2.40,2.10
NOR,1.60,1.60,1.60,1.50,1.40,1.40,1.60,1.50,1.50,1.60,1.50,1.70
POL,0.20,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.20,0.20
DNK,1.00,1.00,1.30,1.30,1.30,1.60,1.30,0.90,1.20,1.00,1.00,1.00
ESP,2.30,2.40,2.40,2.30,2.20,2.30,2.20,2.30,2.30,2.20,2.00,2.00
GRC,0.30,0.30,0.40,0.30,0.30,0.30,0.20,0.30,0.30,0.30,0.20,
ISL,,,,1.00,0.90,0.50,0.40,0.80,,0.40,,
ITA,1.20,1.10,1.00,1.30,,,1.20,1.20,1.00,1.00,1.00,
MEX,3.10,2.80,2.60,2.80,2.60,2.80,2.90,3.20,3.20,3.50,3.40,
SVK,0.10,0.00,,,0.00,0.10,0.20,,,,,
