Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AUS,16.7,15.4,16.5,18.9,17.5,,12.9,11.9,8.2,7.6,10,9.7
CAN,15.3,16.3,15.4,15.7,17.2,16.1,14.6,14.9,13.7,13.7,,
GBR,,51.5,53.2,56.5,49.8,49.6,44.1,42.3,42.9,38.1,35.5,
HUN,9.3,6.8,7.9,7.7,7.4,7,5.3,5.9,5,5.2,5.4,5.6
JPN,47.4,44.1,42.8,44.8,42.8,45.4,43.8,42.5,42.6,39.2,40,40.3
NOR,39.6,41,46.6,30.4,23.7,31.1,27.1,28.3,24.2,26.4,23,22.7
CZE,26,23.5,24.3,28.2,22.4,29.4,29,25.4,23.9,25.5,24.9,17
DEU,17.2,16.1,18.1,20.7,17.9,19.8,17.5,17.4,17.3,17.1,14.5,13.9
IRL,90.1,77.2,76.4,74.7,62.6,63.4,63.9,35.2,42.5,40.3,32.5,
USA,23.1,21.9,22.5,21.6,19.3,19.8,17.4,16.2,16.4,14.9,14.1,
FIN,43.2,39.8,38.4,35,25.1,14.4,8.2,8.6,5.9,7,5.2,4.3
ISL,35.2,22,23,26,27.5,24.6,18.7,17.9,32.5,20.1,,
BEL,,,,34.6,28.6,31.8,29.2,25.3,26.7,23.6,,
GRC,7.3,6,6.4,6.7,6.4,5.1,6.8,7.3,6.5,6.4,6.4,
MEX,26.3,23.6,23.6,23.8,23.6,25.8,24.2,22.6,23.3,23.5,23.8,
POL,28.5,22.5,20.8,23.5,22.1,24.6,22.7,21.7,21.5,22.2,20.1,20.4
SVK,36.5,35.3,39.3,40.4,33.7,37,34.6,34.8,34.7,33.4,35.8,
SWE,21.6,18.8,19.3,18.4,15.7,16.9,14,14.6,14.5,13.4,8.7,
DNK,18.8,19.9,26.5,28.4,28.4,25.4,27.2,29,27.3,29.6,27.2,25.9
ESP,14.2,12.3,13.7,14,12,14.9,11.9,12.7,13,12.2,10.5,10.8
EST,11,11.9,8.6,11.1,9.2,6.3,6.1,3.6,5.7,6.6,5.7,5.9
ISR,15.9,10.2,13.3,13.5,14.3,17.8,14.8,18.5,17.1,15,14.3,
SVN,41.5,27.5,33.3,40.6,39.3,34.6,30.6,23.2,24.3,27.1,21.1,
TUR,,,,,,,,,,,,
AUT,14.4,12.8,11.6,17,14.6,15.5,13.5,12.7,11.1,9.4,9.4,8.6
CHL,53.4,44.7,38.2,36,37.7,33.2,30.3,37.6,29.4,29.8,,
KOR,15.3,10.6,11.2,11.3,13,15.6,16.8,15.8,17.7,19.6,21.4,23.9
LUX,14.4,19.9,31.9,33.8,20.3,17.8,17.1,15.4,18.2,16.1,17.9,14.9
NLD,41,36.6,31.7,32.8,29.6,31.9,30.8,26.8,28,27.6,24.4,24
NZL,10.9,13.8,14.6,12.6,13.8,11.3,13.7,12.3,12.9,11.3,,
CHE,20.7,15,16.8,16.5,15,16,13,12.5,11.3,12.4,9.8,
FRA,14,13,13.9,15.2,11.8,13.5,10.8,10.7,11,10.9,,
ITA,11.1,10,10.5,9.6,,,7.3,7.2,6.7,6.7,6.6,
PRT,38.5,30.2,27,29.2,,,,32.3,36,36.6,31.7,31
