Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
CZE,82,95,70,72,66,93,89,78,84,94,69,81
EST,71,86,49,63,56,59,41,38,37,47,53,50
ISL,3,6,5,3,2,8,2,1,4,2,,
TUR,,,,,,,,,,,,
CHE,12,19,8,16,7,15,57,56,68,49,49,
NOR,12,38,44,93,118,86,95,88,72,97,110,65
POL,249,290,268,245,306,330,350,285,282,297,262,225
FIN,125,146,118,144,171,196,217,198,217,191,180,166
HUN,31,45,37,64,38,48,43,34,30,30,44,29
ISR,11,4,9,7,16,1,,1,,,2,
CAN,281,285,321,271,273,316,341,419,504,488,,
CHL,29,30,45,27,47,32,59,64,52,63,,
ESP,152,174,124,136,170,196,158,137,181,182,183,221
KOR,156,151,106,81,82,94,101,57,54,46,52,60
MEX,266,273,252,261,264,259,243,254,250,252,210,
NZL,11,7,17,21,17,20,17,27,34,37,,
SVN,2,7,8,4,5,5,8,9,9,17,15,
AUS,248,208,192,216,221,,207,272,271,317,285,301
DNK,47,52,28,25,29,47,43,43,45,62,42,57
LUX,10,5,4,2,5,1,4,9,11,10,2,8
SWE,55,70,50,65,60,64,84,65,80,78,98,
GBR,,326,295,284,315,325,379,404,440,447,585,
NLD,25,28,31,29,38,38,30,31,37,40,35,39
SVK,32,37,28,33,29,32,,,30,33,31,
USA,3619,4193,5491,6281,7016,7734,9096,10202,10583,11183,11925,
AUT,26,23,14,12,10,9,18,14,5,10,8,9
BEL,,,,45,59,65,73,81,67,82,,
IRL,8,14,23,16,16,18,30,91,68,80,77,
ITA,102,131,139,96,,,103,122,131,110,129,
PRT,10,17,17,27,,,,10,7,13,19,10
DEU,148,276,216,209,187,187,188,189,227,200,179,167
FRA,576,488,449,497,457,457,527,508,619,746,,
GRC,56,76,52,52,61,58,70,37,32,51,34,
JPN,190,186,211,252,238,282,277,271,304,328,304,358
