Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AUS,2.60,2.10,1.90,2.20,2.20,,2.00,2.60,2.50,2.90,2.50,2.60
CAN,1.80,1.80,2.00,1.60,1.60,1.90,2.00,2.40,2.80,2.70,,
ESP,0.70,0.80,0.50,0.60,0.70,0.80,0.60,0.50,0.70,0.70,0.60,0.70
FRA,1.60,1.30,1.20,1.30,1.20,1.20,1.40,1.30,1.50,1.70,,
SVK,1.20,1.40,1.00,1.20,1.00,1.10,,,1.10,1.10,1.10,
USA,2.50,2.90,3.70,4.20,4.70,5.10,5.90,6.70,6.80,7.20,7.60,
CZE,1.50,1.70,1.30,1.30,1.20,1.70,1.60,1.40,1.50,1.70,1.20,1.50
DNK,1.70,1.90,1.00,0.90,1.00,1.70,1.50,1.50,1.60,2.20,1.50,2.00
GRC,1.00,1.30,0.90,0.90,1.10,1.00,1.20,0.70,0.60,0.90,0.60,
KOR,1.00,0.90,0.70,0.50,0.40,0.60,0.60,0.30,0.30,0.20,0.20,0.20
LUX,4.40,2.10,1.70,1.00,2.00,0.40,1.60,3.90,4.30,4.10,0.80,3.10
NZL,0.60,0.30,0.90,1.00,0.80,0.90,0.80,1.20,1.50,1.70,,
PRT,0.20,0.30,0.30,0.50,,,,0.10,0.10,0.20,0.30,0.10
BEL,,,,0.80,1.00,1.10,1.30,1.40,1.10,1.40,,
EST,9.70,11.50,6.60,8.30,7.60,8.00,5.30,5.10,4.90,6.20,7.00,6.80
ITA,0.30,0.40,0.40,0.30,,,0.30,0.40,0.40,0.30,0.30,
POL,1.30,1.50,1.40,1.20,1.50,1.70,1.70,1.40,1.40,1.40,1.30,1.10
SVN,0.10,0.70,0.80,0.40,0.40,0.50,0.70,0.90,0.90,1.50,1.30,
CHE,0.30,0.50,0.20,0.40,0.20,0.40,1.50,1.50,1.70,1.20,1.20,
CHL,0.40,0.40,0.70,0.40,0.70,0.40,0.80,0.90,0.70,0.80,,
DEU,0.30,0.60,0.50,0.50,0.40,0.40,0.40,0.40,0.50,0.40,0.40,0.40
IRL,0.40,0.70,1.20,0.80,0.90,0.90,1.50,4.40,3.20,3.80,3.60,
ISL,2.40,4.70,3.80,2.30,1.40,6.20,1.30,0.60,2.80,1.30,,
ISR,0.30,0.10,0.30,0.30,0.50,0.00,,0.00,,,0.10,
JPN,0.30,0.30,0.30,0.30,0.30,0.40,0.40,0.40,0.40,0.50,0.40,0.50
NOR,0.60,1.70,1.90,4.10,5.20,3.60,4.00,3.70,3.10,4.00,4.60,2.60
MEX,0.70,0.70,0.60,0.60,0.60,0.60,0.60,0.50,0.50,0.50,0.40,
SWE,1.20,1.50,1.10,1.40,1.20,1.40,1.70,1.40,1.70,1.60,2.00,
FIN,4.50,5.10,4.20,5.00,5.80,6.70,7.40,6.80,7.40,6.40,6.00,5.70
HUN,0.60,0.80,0.70,1.10,0.60,0.90,0.80,0.60,0.50,0.50,0.70,0.50
AUT,0.60,0.50,0.30,0.30,0.20,0.20,0.40,0.30,0.10,0.20,0.20,0.20
GBR,,1.10,1.00,0.90,1.00,1.00,1.20,1.30,1.40,1.40,1.80,
NLD,0.30,0.30,0.40,0.30,0.50,0.40,0.30,0.40,0.40,0.40,0.40,0.40
