Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
GBR,,75964.00,78901.00,84548.00,78155.00,81398.00,77809.00,78388.00,81322.00,76696.00,76065.00,
HUN,5168.00,4334.00,4701.00,5439.00,5215.00,6502.00,6287.00,6771.00,6231.00,6466.00,6254.00,6594.00
NLD,14677.00,13378.00,13511.00,14242.00,12755.00,14315.00,13731.00,13536.00,13789.00,13962.00,13016.00,13317.00
CZE,4959.00,4653.00,4713.00,5286.00,4755.00,6040.00,5669.00,5715.00,5736.00,6393.00,6151.00,5690.00
ESP,40983.00,37362.00,41427.00,43803.00,39149.00,47089.00,39510.00,44029.00,44200.00,43282.00,40266.00,42243.00
FIN,4293.00,3839.00,3865.00,3667.00,2971.00,2467.00,2126.00,2233.00,1980.00,2210.00,1988.00,2034.00
KOR,16056.00,15616.00,16544.00,14448.00,14168.00,14208.00,14210.00,14864.00,16018.00,17023.00,18528.00,19932.00
SVN,1470.00,1339.00,1406.00,1570.00,1460.00,1399.00,1238.00,1061.00,1142.00,1263.00,1119.00,
EST,609.00,579.00,578.00,617.00,574.00,473.00,496.00,477.00,489.00,447.00,425.00,417.00
FRA,35666.00,32081.00,33607.00,35973.00,30284.00,35056.00,30605.00,32022.00,32676.00,33932.00,,
ISL,170.00,142.00,144.00,146.00,141.00,181.00,150.00,157.00,184.00,175.00,,
LUX,286.00,285.00,357.00,381.00,284.00,270.00,257.00,282.00,272.00,304.00,266.00,306.00
GRC,7994.00,7021.00,7650.00,7430.00,7611.00,8209.00,8855.00,10229.00,10239.00,10770.00,10341.00,
ITA,37782.00,33826.00,35941.00,40852.00,,,35751.00,37812.00,37771.00,39949.00,38798.00,
NOR,4384.00,4332.00,4669.00,3941.00,3494.00,4081.00,3962.00,4242.00,4118.00,4122.00,3881.00,4026.00
NZL,2053.00,2431.00,2383.00,2358.00,2466.00,2151.00,2385.00,2341.00,2624.00,2562.00,,
BEL,,,,12757.00,11209.00,12153.00,11067.00,11333.00,11416.00,11278.00,,
CAN,17744.00,17585.00,17761.00,18472.00,19607.00,20485.00,19069.00,20518.00,20728.00,21296.00,,
DEU,51806.00,48535.00,53646.00,58014.00,52500.00,57742.00,54888.00,57956.00,59049.00,63304.00,60515.00,60019.00
JPN,134501.00,134005.00,136891.00,147848.00,149293.00,165999.00,162907.00,168078.00,175976.00,175028.00,187609.00,198395.00
AUS,10988.00,10622.00,11640.00,11828.00,11633.00,,10451.00,11623.00,11275.00,11045.00,11961.00,12529.00
CHL,8287.00,8531.00,7688.00,7430.00,8344.00,8005.00,7691.00,9103.00,8057.00,8933.00,,
DNK,5222.00,5339.00,5823.00,5859.00,5415.00,5221.00,5253.00,5658.00,5622.00,6045.00,5828.00,5723.00
MEX,38536.00,37280.00,39065.00,40137.00,40841.00,43307.00,42252.00,42622.00,45139.00,48789.00,49995.00,
POL,18310.00,15758.00,15537.00,17330.00,16870.00,18547.00,18467.00,19422.00,19297.00,20652.00,19333.00,19976.00
AUT,4087.00,3914.00,4090.00,5111.00,4490.00,4670.00,4401.00,4552.00,4130.00,4221.00,4216.00,4055.00
ISR,2910.00,2432.00,2666.00,2573.00,2637.00,2980.00,2956.00,3272.00,3200.00,2935.00,2907.00,
PRT,10279.00,8976.00,9250.00,9553.00,,,,10967.00,11580.00,12202.00,11792.00,11930.00
SWE,6719.00,6080.00,6578.00,6256.00,5746.00,6210.00,5645.00,5696.00,5848.00,5746.00,5057.00,
CHE,4625.00,3734.00,4062.00,4145.00,3848.00,4271.00,3686.00,3733.00,3641.00,4084.00,3726.00,
IRL,4863.00,4472.00,4344.00,4454.00,4079.00,4048.00,4078.00,3324.00,3522.00,3693.00,3180.00,
SVK,2909.00,2725.00,2907.00,3116.00,2953.00,3109.00,2954.00,3156.00,2977.00,3171.00,3309.00,
USA,231079.00,230009.00,234629.00,235924.00,227085.00,239674.00,226662.00,227320.00,245099.00,238684.00,237467.00,
