Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AUS,98.80,89.80,94.80,91.30,87.90,,77.60,78.40,73.70,69.90,72.00,73.00
AUT,74.50,72.20,75.20,92.60,81.70,80.20,72.70,73.20,63.50,62.70,60.60,57.90
EST,89.90,84.40,88.20,86.70,85.70,72.50,71.20,69.50,70.30,60.70,55.70,57.10
HUN,91.30,72.30,78.50,88.60,79.70,100.00,97.80,100.60,93.80,94.50,89.50,91.00
JPN,161.80,154.10,151.00,156.40,152.40,160.80,150.50,149.20,149.50,142.60,148.80,149.50
NLD,163.10,145.50,145.00,147.90,129.20,138.80,129.90,126.30,121.40,118.90,105.90,103.20
USA,123.20,117.60,116.50,113.80,107.90,109.40,102.20,102.30,103.70,98.50,97.40,
BEL,,,,179.40,157.30,157.90,138.00,138.50,132.80,127.00,,
FRA,83.40,76.10,78.10,83.00,68.90,75.00,64.40,64.10,63.90,62.70,,
GRC,100.60,88.70,89.80,85.50,86.70,91.00,90.90,99.70,97.60,98.60,89.20,
LUX,112.70,122.30,129.40,156.60,122.50,98.90,92.30,94.10,86.80,90.50,75.50,78.50
NZL,95.00,105.10,100.50,98.50,94.40,77.60,85.10,81.50,87.20,80.90,,
CHL,163.60,158.70,137.80,124.40,134.70,126.50,114.80,127.90,107.50,116.70,,
DEU,93.60,85.40,90.80,96.20,85.80,89.10,82.20,83.80,82.20,84.90,78.90,75.80
SVN,147.20,144.90,149.50,162.50,144.50,136.10,113.80,91.30,92.00,92.00,81.20,
CZE,81.30,79.50,80.00,86.40,80.40,96.50,89.20,86.60,85.00,91.10,85.40,80.10
IRL,240.20,217.80,210.50,207.10,182.70,165.50,168.50,136.40,136.00,145.10,113.10,
ISR,89.60,74.20,79.80,74.20,74.20,77.70,74.00,82.20,77.60,68.50,64.40,
ITA,93.90,82.90,83.80,92.80,,,75.40,75.90,72.30,73.80,69.50,
MEX,141.30,131.60,132.00,135.60,133.70,137.30,129.60,123.20,127.20,125.80,132.00,
NOR,119.90,120.80,122.80,107.20,94.50,109.40,101.80,106.40,105.80,98.70,92.10,94.10
POL,105.80,91.40,90.30,97.90,95.50,101.10,97.90,99.10,95.60,98.20,90.20,90.20
SVK,115.60,113.10,116.30,127.90,118.20,120.60,110.90,118.50,107.30,113.20,114.30,
ESP,154.90,140.90,149.90,151.40,133.50,150.90,123.10,131.80,127.60,120.70,110.30,110.20
GBR,,153.90,155.10,163.70,149.90,149.50,139.50,136.30,137.70,130.20,124.80,
ISL,73.30,79.60,78.10,79.60,63.40,90.10,72.00,67.20,75.00,64.10,,
PRT,150.10,131.30,135.50,136.20,,,,138.80,140.70,142.00,132.60,122.10
CAN,100.20,96.50,93.60,92.90,94.70,93.50,84.70,87.00,85.20,82.20,,
FIN,148.00,125.30,125.30,115.30,93.80,76.80,68.40,65.60,56.60,60.10,52.60,52.30
KOR,141.00,136.80,141.80,120.80,115.70,108.50,105.10,106.40,106.20,107.50,112.30,113.00
SWE,81.40,73.40,78.10,73.60,65.90,68.90,62.10,60.10,62.40,58.90,53.20,
CHE,91.00,73.70,75.40,76.70,70.70,74.80,64.50,63.10,58.50,62.50,57.50,
DNK,118.90,123.00,131.80,134.40,120.80,116.00,110.10,112.70,116.20,120.40,113.80,110.50
