Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AUT,38.00,52.00,69.00,62.00,51.00,85.00,64.00,78.00,101.00,91.00,106.00,105.00
FIN,34.00,46.00,43.00,39.00,39.00,29.00,33.00,35.00,31.00,22.00,29.00,25.00
IRL,56.00,56.00,58.00,38.00,41.00,58.00,43.00,53.00,32.00,44.00,38.00,
MEX,2036.00,2115.00,1992.00,2190.00,2241.00,2357.00,2165.00,2191.00,2372.00,2374.00,2499.00,
NOR,44.00,62.00,77.00,69.00,74.00,59.00,77.00,60.00,71.00,67.00,84.00,83.00
POL,305.00,312.00,344.00,307.00,329.00,326.00,249.00,285.00,241.00,251.00,222.00,179.00
SVK,33.00,33.00,35.00,39.00,33.00,25.00,36.00,47.00,38.00,33.00,23.00,
SWE,142.00,148.00,148.00,157.00,129.00,175.00,163.00,190.00,202.00,183.00,171.00,
CAN,449.00,475.00,489.00,540.00,481.00,528.00,426.00,514.00,546.00,505.00,,
GBR,,675.00,728.00,750.00,687.00,749.00,655.00,675.00,619.00,647.00,677.00,
ISR,168.00,141.00,132.00,229.00,131.00,143.00,128.00,151.00,182.00,197.00,172.00,
LUX,3.00,7.00,5.00,8.00,7.00,11.00,8.00,8.00,3.00,7.00,11.00,16.00
NZL,23.00,40.00,35.00,41.00,36.00,46.00,37.00,37.00,26.00,34.00,,
DNK,115.00,109.00,165.00,143.00,151.00,141.00,106.00,145.00,152.00,169.00,155.00,139.00
GRC,44.00,55.00,98.00,77.00,97.00,114.00,83.00,98.00,118.00,109.00,159.00,
JPN,2268.00,2210.00,2237.00,2163.00,2265.00,2301.00,2281.00,2310.00,2307.00,2278.00,2381.00,2396.00
PRT,106.00,114.00,115.00,139.00,,,,159.00,192.00,204.00,208.00,240.00
SVN,25.00,15.00,21.00,17.00,10.00,18.00,10.00,25.00,19.00,16.00,25.00,
HUN,74.00,69.00,83.00,63.00,82.00,107.00,109.00,126.00,145.00,159.00,144.00,123.00
CZE,52.00,49.00,38.00,57.00,37.00,68.00,49.00,67.00,85.00,72.00,73.00,93.00
ISL,1.00,2.00,2.00,2.00,4.00,2.00,4.00,3.00,2.00,4.00,,
NLD,213.00,274.00,319.00,317.00,296.00,318.00,286.00,291.00,271.00,267.00,253.00,274.00
AUS,218.00,226.00,253.00,255.00,265.00,,254.00,281.00,259.00,233.00,208.00,233.00
BEL,,,,201.00,213.00,201.00,177.00,200.00,229.00,212.00,,
ESP,702.00,676.00,740.00,734.00,743.00,758.00,724.00,755.00,786.00,878.00,875.00,894.00
EST,7.00,9.00,3.00,9.00,13.00,10.00,6.00,11.00,9.00,7.00,5.00,12.00
FRA,1292.00,1267.00,1211.00,1337.00,1140.00,1205.00,1238.00,1131.00,1216.00,1243.00,,
ITA,1345.00,1258.00,1364.00,1418.00,,,1548.00,1663.00,1567.00,1565.00,1659.00,
KOR,259.00,235.00,261.00,222.00,225.00,235.00,259.00,269.00,267.00,297.00,329.00,302.00
USA,5463.00,5597.00,5596.00,5500.00,5357.00,5486.00,5019.00,5506.00,5571.00,5393.00,5398.00,
CHE,80.00,91.00,91.00,103.00,104.00,101.00,97.00,88.00,98.00,88.00,100.00,
CHL,151.00,179.00,174.00,128.00,161.00,176.00,201.00,189.00,175.00,219.00,,
DEU,1075.00,1167.00,1152.00,1245.00,1230.00,1300.00,1216.00,1233.00,1472.00,1439.00,1522.00,1617.00
