Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
JPN,4057.00,3860.00,3944.00,3992.00,4066.00,4173.00,4180.00,4131.00,4059.00,4040.00,4314.00,4357.00
NZL,46.00,73.00,61.00,69.00,64.00,70.00,58.00,63.00,54.00,66.00,,
CAN,780.00,847.00,869.00,934.00,800.00,901.00,757.00,904.00,970.00,978.00,,
CHE,147.00,170.00,150.00,170.00,163.00,176.00,168.00,146.00,163.00,159.00,168.00,
ESP,1210.00,1118.00,1256.00,1244.00,1291.00,1316.00,1227.00,1289.00,1342.00,1468.00,1519.00,1528.00
FIN,49.00,64.00,61.00,64.00,54.00,47.00,57.00,59.00,50.00,37.00,57.00,54.00
FRA,2276.00,2247.00,2209.00,2282.00,2115.00,2147.00,2185.00,2136.00,2186.00,2240.00,,
SVK,56.00,66.00,68.00,60.00,65.00,55.00,63.00,74.00,72.00,58.00,41.00,
SVN,39.00,21.00,33.00,32.00,18.00,31.00,21.00,41.00,30.00,32.00,36.00,
ISL,4.00,2.00,2.00,2.00,5.00,5.00,5.00,6.00,2.00,5.00,,
DNK,197.00,196.00,246.00,245.00,258.00,215.00,188.00,242.00,266.00,276.00,284.00,265.00
ITA,2469.00,2305.00,2486.00,2376.00,,,2564.00,2726.00,2607.00,2664.00,2752.00,
AUS,406.00,410.00,437.00,444.00,484.00,,468.00,483.00,504.00,429.00,404.00,462.00
CHL,295.00,312.00,294.00,279.00,299.00,329.00,346.00,362.00,331.00,445.00,,
GRC,97.00,110.00,232.00,162.00,192.00,233.00,162.00,195.00,197.00,211.00,347.00,
HUN,139.00,123.00,138.00,123.00,133.00,211.00,200.00,204.00,233.00,260.00,231.00,211.00
IRL,95.00,89.00,103.00,78.00,78.00,100.00,84.00,95.00,77.00,79.00,78.00,
ISR,302.00,256.00,234.00,366.00,236.00,235.00,213.00,287.00,311.00,323.00,275.00,
KOR,480.00,454.00,453.00,423.00,443.00,442.00,459.00,502.00,483.00,571.00,615.00,572.00
LUX,8.00,11.00,13.00,12.00,12.00,13.00,10.00,12.00,5.00,8.00,18.00,21.00
SWE,252.00,247.00,267.00,262.00,230.00,307.00,274.00,322.00,336.00,297.00,292.00,
DEU,1815.00,1901.00,1872.00,2029.00,2054.00,2123.00,2044.00,2136.00,2454.00,2442.00,2574.00,2683.00
GBR,,1158.00,1239.00,1258.00,1167.00,1252.00,1162.00,1184.00,1079.00,1167.00,1127.00,
NOR,85.00,129.00,123.00,114.00,123.00,110.00,140.00,119.00,114.00,129.00,148.00,142.00
AUT,70.00,102.00,95.00,94.00,91.00,137.00,122.00,143.00,169.00,159.00,159.00,192.00
BEL,,,,329.00,344.00,344.00,316.00,343.00,362.00,369.00,,
MEX,3855.00,3975.00,3953.00,4143.00,4214.00,4455.00,4083.00,4226.00,4498.00,4606.00,4724.00,
NLD,367.00,411.00,515.00,489.00,511.00,507.00,474.00,485.00,441.00,466.00,432.00,443.00
PRT,192.00,223.00,224.00,255.00,,,,307.00,357.00,341.00,373.00,418.00
USA,9315.00,9535.00,9661.00,9584.00,9423.00,9590.00,8834.00,9745.00,9873.00,9646.00,9718.00,
CZE,94.00,80.00,79.00,99.00,62.00,106.00,92.00,111.00,137.00,139.00,130.00,155.00
EST,12.00,15.00,11.00,16.00,16.00,13.00,17.00,17.00,14.00,10.00,12.00,18.00
POL,549.00,572.00,584.00,544.00,577.00,583.00,463.00,488.00,435.00,426.00,398.00,325.00
