Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
BEL,,,,2.9,3.1,2.8,2.4,2.7,3,2.7,,
ITA,3.4,3,3.2,3.3,,,3.3,3.4,3.1,3,3.1,
LUX,1.2,3,1.9,3.3,2.7,4.3,2.9,3,1,2.3,3.7,5.1
AUS,2.3,2.4,2.5,2.5,2.6,,2.4,2.5,2.2,2,1.7,1.8
HUN,1.3,1.2,1.5,1,1.3,1.8,1.8,2,2.3,2.4,2.2,1.8
JPN,2.8,2.6,2.5,2.3,2.3,2.3,2.2,2.1,2,1.9,1.9,1.9
NOR,1.4,2.1,2.5,2.2,2.3,1.9,2.3,1.9,2.1,1.9,2.4,2.5
SVN,2.4,1.4,2.1,1.7,0.9,1.6,0.8,1.9,1.5,1.2,1.8,
SWE,2.1,2.1,2.1,2.2,1.8,2.4,2.1,2.6,2.6,2.5,2.2,
TUR,,,,,,,,,,,,
DEU,1.9,2,2,2.1,2.1,2.2,2,2,2.3,2.2,2.3,2.4
ESP,2.8,2.6,2.8,2.7,2.6,2.6,2.4,2.4,2.5,2.6,2.5,2.5
GBR,,1.8,1.9,2,1.8,1.9,1.7,1.7,1.6,1.6,1.7,
MEX,9.3,9.7,8.7,9.2,9.6,9.6,8.4,8.2,8.5,8.1,8.3,
NZL,1.3,2.1,1.8,2.1,1.8,2.2,1.8,1.7,1.2,1.5,,
FRA,3.2,3.1,3,3.3,2.8,2.9,2.8,2.4,2.6,2.5,,
ISR,7.3,5.8,5.4,9.5,5.1,5.4,4.6,5.4,6.2,6.2,5.3,
AUT,0.7,1.1,1.3,1.2,0.9,1.6,1.2,1.3,1.7,1.5,1.6,1.7
CAN,2.9,3,3,3.3,2.8,3,2.3,2.7,2.8,2.6,,
EST,0.9,1.3,0.4,1,1.6,1.2,0.6,1.3,0.9,0.9,0.5,1.2
FIN,1.1,1.4,1.3,1.2,1.2,0.8,0.9,1,0.8,0.5,0.7,0.7
IRL,3.5,3.4,3.5,2.2,2.3,3.2,2.3,2.8,1.7,2.2,1.9,
PRT,1.8,1.9,1.9,2.3,,,,2.4,2.7,2.9,2.7,2.9
USA,3.7,3.8,3.7,3.6,3.4,3.5,3.1,3.4,3.3,3.1,3.1,
DNK,3.3,3.1,4.7,4,4.3,3.9,2.9,3.9,4.1,4.5,4.1,3.6
GRC,0.8,0.9,1.6,1.3,1.6,1.9,1.3,1.4,1.7,1.5,2.2,
POL,1.7,1.7,1.9,1.6,1.7,1.7,1.2,1.4,1.1,1.2,1,0.8
CHE,1.7,1.9,1.9,2.1,2.1,2,1.8,1.6,1.8,1.6,1.7,
ISL,1.1,1.6,1.6,1.5,2.9,1.4,2.8,2.1,1.3,2.4,,
KOR,1.8,1.5,1.8,1.4,1.3,1.4,1.5,1.5,1.5,1.6,1.7,1.5
NLD,2.4,3,3.5,3.4,3.2,3.3,2.9,2.9,2.7,2.5,2.3,2.5
SVK,1.3,1.4,1.5,1.5,1.3,1,1.3,1.8,1.4,1.2,0.8,
CHL,3.3,3.8,3.5,2.5,3.1,3.4,3.7,3.3,2.9,3.6,,
CZE,0.9,0.9,0.7,1,0.7,1.2,0.9,1.1,1.3,1.2,1.2,1.4
