Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
BEL,,,,350,337,316,328,319,310,282,,
SVK,318,298,277,300,302,318,298,274,247,284,258,
AUT,592,555,547,533,540,501,491,415,436,406,378,406
ESP,2345,2349,2218,2321,2200,2132,2174,2233,2193,2163,2250,2205
IRL,140,142,133,133,109,138,145,118,126,125,142,
ISR,194,184,205,185,191,186,200,212,180,214,216,
ITA,4786,4566,4686,4643,,,4376,4437,4252,4322,4256,
TUR,,,,,,,,,,,,
EST,161,145,154,155,164,150,159,148,139,150,128,119
HUN,911,850,862,853,857,738,744,720,744,822,694,746
DEU,6223,5900,5776,5545,5197,5089,4937,4641,4581,4461,4400,4399
MEX,2249,2328,2367,2405,2447,2523,2499,2440,2536,2475,2559,
NOR,197,194,185,183,164,196,160,166,160,155,146,158
NZL,123,108,112,109,115,113,112,113,110,84,,
CAN,793,693,766,756,756,800,737,686,785,734,,
GRC,497,533,546,509,503,500,496,530,503,462,492,
KOR,4069,4034,4097,4122,3914,3789,3665,3688,3600,3454,3519,3398
LUX,11,14,15,12,16,12,18,12,10,13,12,14
NLD,688,643,627,629,648,566,593,573,550,620,524,553
SVN,165,149,140,145,134,147,129,142,154,130,153,
USA,5317,5128,5065,5055,4901,4762,4692,4631,4617,4522,4689,
CHE,232,238,210,218,219,227,236,221,209,181,174,
DNK,133,179,137,159,135,172,154,143,167,137,140,127
FRA,2011,1959,1978,1810,1832,1789,1715,1659,1743,1682,,
CZE,660,654,650,602,598,541,543,521,505,509,496,460
FIN,245,268,278,246,275,240,218,220,240,209,198,204
GBR,,2546,2414,2278,2281,2152,2006,1976,1994,1855,1862,
JPN,17852,17691,17425,17393,17711,17668,17670,17454,17187,17241,17193,17045
PRT,1040,1011,947,955,,,,941,916,969,945,938
SWE,359,378,356,355,357,284,285,300,268,257,284,
AUS,426,456,447,482,425,,433,426,428,425,375,425
CHL,1012,967,1053,1055,1025,1048,972,995,1048,1115,,
ISL,13,7,7,10,12,14,10,8,7,3,,
POL,2162,2187,2075,2094,2023,1955,1978,2027,2026,1871,1878,1761
