Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AUT,21.50,19.90,19.40,19.30,18.00,16.70,15.40,14.40,13.60,13.80,12.60,12.40
IRL,17.30,15.30,16.20,15.00,14.50,14.60,14.00,14.20,13.10,15.50,11.30,
LUX,14.00,14.00,14.20,17.90,16.10,12.10,7.70,9.80,11.70,11.20,15.80,12.90
NZL,13.90,14.20,13.60,14.30,12.10,9.40,10.30,11.40,10.20,9.50,,
USA,7.40,7.00,6.80,6.60,6.40,6.00,5.80,5.80,5.50,5.30,5.20,
AUS,10.90,10.50,10.40,8.90,9.20,,8.10,8.20,8.10,7.40,7.70,7.30
DEU,20.50,19.10,18.60,17.50,16.80,16.20,15.10,14.30,14.10,13.40,13.00,12.60
GBR,,15.60,15.30,14.30,13.50,13.00,11.80,11.70,11.10,10.90,10.40,
MEX,16.20,14.90,14.90,14.60,14.10,13.90,13.50,12.50,12.80,12.10,12.00,
NOR,13.80,16.30,13.30,14.40,12.50,12.10,9.40,10.60,9.80,7.90,9.10,9.10
SVN,35.00,32.90,35.40,28.60,29.90,28.70,26.80,26.90,26.60,25.70,28.50,
DNK,10.30,10.20,9.10,10.20,9.50,9.50,9.20,9.40,10.20,9.10,9.60,9.20
CAN,11.00,10.30,9.80,9.90,9.40,9.30,9.40,8.70,8.30,8.00,,
CHL,61.20,56.90,58.00,55.40,52.10,50.80,50.80,44.00,43.90,48.00,,
CZE,24.90,22.80,23.00,22.40,22.00,19.50,18.60,16.60,16.00,15.90,16.80,13.80
ESP,21.00,20.70,19.20,18.60,18.40,17.70,17.30,16.70,15.90,16.10,16.20,14.60
HUN,34.70,34.00,32.50,30.60,27.70,24.10,27.10,25.50,23.30,24.00,22.10,22.30
ISR,14.30,15.70,15.50,15.60,12.20,14.20,12.50,12.10,12.50,12.40,11.40,
ITA,24.40,23.80,22.40,22.50,,,20.30,19.40,18.40,18.00,17.30,
SVK,30.60,29.40,30.10,25.00,27.10,24.80,26.10,26.10,22.10,21.30,22.50,
JPN,56.10,53.50,51.10,50.10,49.80,47.70,46.40,45.50,43.90,42.50,41.80,40.40
NLD,17.90,16.30,15.50,15.60,14.20,14.70,12.80,12.30,12.50,12.00,12.20,11.30
POL,31.50,30.10,29.90,28.60,28.10,26.60,25.70,25.70,24.70,23.70,23.40,22.80
PRT,35.70,34.90,34.20,32.10,,,,28.60,31.60,27.70,26.10,26.80
BEL,,,,11.50,10.90,10.70,10.40,9.80,9.70,9.10,,
FIN,16.90,15.10,14.00,14.80,13.70,13.30,13.10,10.80,11.60,11.10,11.10,10.70
FRA,13.00,12.40,12.30,11.90,11.80,11.20,11.00,10.60,10.00,9.90,,
ISL,20.20,17.60,14.50,11.30,18.00,16.10,8.60,11.30,7.80,11.30,,
KOR,71.40,69.00,70.60,68.40,60.80,59.70,55.90,53.40,49.90,47.50,44.40,41.20
SWE,11.60,11.40,11.30,10.40,10.40,10.20,9.70,9.20,8.60,8.50,7.60,
CHE,11.50,11.90,11.30,10.20,9.60,9.40,8.50,9.20,8.60,8.20,8.00,
EST,41.40,37.00,36.90,39.10,35.30,30.20,41.40,36.70,28.60,27.30,31.90,31.00
GRC,16.50,17.20,15.80,16.00,15.20,14.10,14.30,13.80,13.70,13.60,12.00,
