Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
CHL,1.00,1.00,,1.00,1.00,3.00,,,,,,
FIN,6.00,5.00,5.00,,8.00,1.00,1.00,3.00,,3.00,4.00,4.00
ISL,,1.00,,,,,,,,,,
EST,1.00,1.00,,,,,,,,,,
FRA,18.00,35.00,23.00,30.00,22.00,28.00,24.00,26.00,30.00,30.00,,
ISR,2.00,2.00,2.00,1.00,3.00,,2.00,2.00,2.00,1.00,,
KOR,,1.00,1.00,,,,,,,,,
NZL,2.00,6.00,10.00,3.00,4.00,3.00,3.00,1.00,,,,
DEU,200.00,134.00,115.00,151.00,126.00,147.00,147.00,141.00,161.00,155.00,159.00,143.00
DNK,12.00,18.00,12.00,18.00,11.00,12.00,11.00,11.00,9.00,13.00,10.00,9.00
HUN,2.00,2.00,1.00,2.00,,,3.00,,,,1.00,1.00
NOR,62.00,66.00,57.00,7.00,11.00,6.00,8.00,8.00,6.00,4.00,6.00,5.00
AUS,118.00,36.00,19.00,38.00,15.00,,6.00,10.00,11.00,4.00,17.00,12.00
AUT,,,18.00,38.00,38.00,45.00,49.00,49.00,50.00,46.00,44.00,56.00
BEL,,,,16.00,12.00,12.00,11.00,2.00,5.00,16.00,,
ITA,,,,52.00,,,34.00,24.00,18.00,19.00,15.00,
JPN,1.00,2.00,3.00,2.00,1.00,1.00,,,1.00,,,1.00
POL,,7.00,7.00,5.00,11.00,6.00,3.00,4.00,5.00,,,
SWE,18.00,2.00,8.00,6.00,3.00,6.00,,6.00,4.00,6.00,1.00,
CZE,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,2.00,1.00,1.00
GBR,,171.00,160.00,165.00,165.00,167.00,158.00,152.00,214.00,198.00,164.00,
LUX,,,,1.00,,,,,,,,
MEX,20.00,23.00,10.00,14.00,37.00,22.00,13.00,7.00,12.00,7.00,5.00,
PRT,,,2.00,1.00,,,,,,2.00,,1.00
CAN,24.00,29.00,26.00,48.00,45.00,53.00,41.00,51.00,49.00,42.00,,
USA,547.00,544.00,630.00,653.00,714.00,772.00,839.00,625.00,599.00,559.00,573.00,
ESP,4.00,6.00,17.00,17.00,19.00,20.00,10.00,5.00,5.00,7.00,10.00,8.00
NLD,5.00,3.00,7.00,5.00,4.00,5.00,4.00,2.00,4.00,2.00,3.00,7.00
SVK,,,3.00,,,,,,,,,
SVN,1.00,,3.00,,,,,,1.00,,,
