Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
CHE,,,,,,,,,,,,
ESP,0,0,0.1,0.1,0.1,0.1,0,0,0,0,0,0
MEX,0.1,0.1,0,0,0.1,0.1,0,0,0,0,0,
POL,,0,0,0,0.1,0,0,0,0,,,
CAN,0.2,0.2,0.2,0.3,0.3,0.3,0.2,0.3,0.3,0.2,,
DEU,0.5,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.3
DNK,0.4,0.7,0.4,0.6,0.4,0.4,0.4,0.4,0.3,0.5,0.3,0.3
FRA,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,
ITA,,,,0.2,,,0.1,0.1,0.1,0.1,0,
JPN,0,0,0,0,0,0,,,0,,,0
SVN,0.1,,0.3,,,,,,0.1,,,
AUT,,,0.4,0.9,1,1.1,1.2,1.2,1.2,1.1,1.1,1.3
BEL,,,,0.3,0.2,0.2,0.2,0,0.1,0.3,,
SVK,,,0.1,,,,,,,,,
USA,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.4,0.4,0.4,0.4,
HUN,0,0,0,0,,,0,,,,0,0
CHL,0,0,,0,0,0,,,,,,
IRL,,,,,,,,,,,,
ISR,0.1,0.1,0.1,0,0.1,,0.1,0.1,0.1,0,,
KOR,,0,0,,,,,,,,,
PRT,,,0,0,,,,,,0,,0
EST,0.1,0.1,,,,,,,,,,
FIN,0.2,0.2,0.2,,0.3,0,0,0.1,,0.1,0.2,0.2
AUS,1.2,0.3,0.2,0.4,0.1,,0.1,0.1,0.1,0,0.1,0.1
CZE,0,0,0,0,0,0,0,,,0,0,0
GBR,,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.7,0.7,0.5,
GRC,,,,,,,,,,,,
LUX,,,,0.4,,,,,,,,
NLD,0.1,0,0.1,0.1,0,0.1,0,0,0,0,0,0.1
NZL,0.1,0.3,0.5,0.2,0.2,0.1,0.1,0.1,,,,
SWE,0.4,0,0.2,0.1,0.1,0.1,,0.1,0.1,0.1,0,
ISL,,0.9,,,,,,,,,,
NOR,2.8,3,2.6,0.3,0.5,0.3,0.3,0.3,0.3,0.2,0.2,0.2
TUR,,,,,,,,,,,,
