Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
BEL,,,,0.7,0.4,0.5,0.3,0.3,0.6,0.4,,
DEU,1.3,0.9,0.8,0.9,0.8,0.9,0.8,0.9,1,1,0.9,0.9
HUN,0,0,0,0,,0,0,,,0,0,0.1
IRL,,,,,,,,,,,,
MEX,0.2,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.1,
TUR,,,,,,,,,,,,
AUS,2.5,0.6,0.5,0.5,0.3,,0.1,0.1,0.1,0.2,0.2,0.2
CHE,,,,,,,,,,,,
CHL,0,0,0.1,0.1,0,0.1,,,0,0,,
DNK,0.5,0.6,0.7,0.9,0.9,0.7,0.7,0.6,0.6,0.9,0.8,0.8
ESP,0.1,0.1,0.3,0.3,0.4,0.3,0.2,0.1,0.1,0.1,0.1,0.1
FRA,0.2,0.3,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,,
ISR,0.5,0.5,0.5,0.3,0.7,0.4,0.3,0.4,0.4,0.3,0.2,
CZE,0.1,0,0,0,0,0,0,0,0,0,0,0
FIN,0.9,0.4,0.4,0.3,0.6,0.3,0.1,0.4,0.3,0.3,0.3,0.3
GRC,,,,,,,,,,,,
JPN,0,0,0,0,0,0,0,0,0,0,0,0
NOR,7.6,8.1,6,0.8,0.8,0.6,0.5,0.5,0.4,0.5,0.5,0.6
POL,0,0.1,0,0.1,0.1,0,0,0,0,0,0,0
PRT,,,0.2,0.1,,,,0.1,0.1,0.2,0.2,0.1
SVK,0.1,0,0.1,,0,,,,,,,
AUT,,,1,2.3,2.3,2.4,2.5,2.2,2.7,2.7,2.5,2.8
KOR,,0,0,0,0,,0,0,,0,0,
NZL,0.3,0.4,0.6,0.3,0.3,0.2,0.2,0.1,,0,,
SVN,0.4,0.4,0.4,0,0.2,0,0.1,0,0,,,
USA,0.7,0.7,0.7,0.8,0.8,0.9,0.9,0.7,0.6,0.5,0.6,
CAN,0.2,0.2,0.3,0.3,0.3,0.4,0.3,0.4,0.3,0.3,,
GBR,,1.9,1.9,1.7,1.7,1.7,1.7,1.8,2.1,1.8,1.6,
ISL,0.3,0.5,1.1,,,0.3,0.3,,,0.3,,
ITA,,,,0.7,,,0.5,0.4,0.2,0.2,0.2,
NLD,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1
EST,0.1,0.2,,,0.1,0.1,,,,0.1,,0.1
LUX,0.5,,0.3,0.6,,0.4,0.2,,,,,
SWE,1.3,0.3,0.4,0.3,0.5,0.2,0.2,0.2,0.3,0.3,0.3,
