Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
CAN,1345,1495,1521,1474,1293,1230,1445,1326,1171,1188,,
CHE,1001,1080,1301,1446,1341,1230,1102,883,1011,1138,1122,
AUT,634,684,617,500,455,489,604,539,508,930,978,1045
BEL,,,,1691,1479,1503,1531,1554,1593,1741,,
DEU,12440,11533,10600,11301,10633,10273,9814,10716,11849,11419,10961,10206
ESP,5355,5424,5758,6352,5919,6162,5804,6332,6505,5811,5248,5265
TUR,,,,,,,,,,,,
ISL,4,5,5,3,5,5,6,6,2,6,,
ISR,653,668,778,696,697,895,879,903,787,731,816,
POL,12303,11515,10703,10841,10640,10548,9755,10408,10653,10630,11202,10909
PRT,6410,5983,5441,5927,,,,5914,5642,5060,5127,4884
SVN,329,383,357,360,287,246,135,82,72,89,103,
SWE,1646,1578,1825,1689,1644,1880,1805,1863,1855,2001,2407,
USA,16015,16547,15706,16859,16412,17350,17750,19220,21719,22059,22304,
GBR,,10655,10513,10367,9185,8984,8599,8641,8812,7159,7738,
FIN,78,95,117,120,112,117,101,105,113,129,109,115
HUN,90,89,71,56,56,64,72,64,74,65,68,83
LUX,63,66,83,122,56,57,54,59,51,61,70,66
EST,534,473,457,433,369,397,397,429,202,181,171,158
FRA,18432,19508,20132,21928,18028,19400,18618,19242,20351,21078,,
GRC,4516,3878,4333,4740,4768,4866,4160,4878,4245,4699,5928,
ITA,3849,3655,3640,6448,,,5546,5801,5664,5450,5588,
KOR,21239,18595,16029,17504,19804,20383,20096,17336,16224,14746,14504,13761
MEX,4352,4576,4646,5043,4708,4758,4775,4837,5095,5390,5959,
SVK,219,192,237,273,277,240,239,225,219,258,225,
CZE,287,306,341,300,362,411,365,584,716,720,678,438
DNK,1534,1603,1589,1603,1458,1281,1434,2114,2195,2550,2285,2512
NLD,4180,4396,4297,3894,3355,3090,3139,2914,2948,2879,2877,2618
NZL,54,55,53,53,56,62,47,41,63,86,,
AUS,304,261,363,403,418,,642,495,448,404,426,568
CHL,1734,1529,1277,1257,1221,1195,1051,1296,1249,1284,,
IRL,119,149,153,192,119,81,49,55,41,34,38,
JPN,17450,18318,18909,19894,20901,23152,25104,27654,32273,34519,40612,46166
NOR,1083,1097,1198,1122,934,971,937,1050,1073,1131,1200,1090
