Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
JPN,9098.00,9344.00,9549.00,9893.00,10254.00,11302.00,12555.00,13591.00,15748.00,16672.00,19734.00,21871.00
MEX,4281.00,4597.00,4694.00,4854.00,4727.00,4713.00,4671.00,5079.00,5145.00,5634.00,6030.00,
CAN,1392.00,1569.00,1552.00,1605.00,1392.00,1231.00,1647.00,1138.00,1140.00,1042.00,,
DEU,11349.00,10800.00,9960.00,10438.00,10049.00,9920.00,10164.00,10975.00,12067.00,12285.00,12655.00,12321.00
ESP,4288.00,4439.00,4414.00,4662.00,4589.00,4807.00,4744.00,5032.00,4998.00,5275.00,5524.00,5347.00
FIN,100.00,117.00,140.00,151.00,162.00,168.00,186.00,194.00,203.00,180.00,170.00,161.00
PRT,6741.00,6001.00,4605.00,4968.00,,,,5713.00,5413.00,4854.00,4930.00,4908.00
FRA,14088.00,15466.00,15708.00,16653.00,14613.00,15480.00,14956.00,15671.00,16490.00,17175.00,,
GBR,,3208.00,3119.00,3046.00,2951.00,2936.00,2846.00,2957.00,2964.00,2700.00,2753.00,
IRL,100.00,101.00,109.00,124.00,95.00,67.00,53.00,47.00,52.00,50.00,41.00,
NLD,3564.00,3800.00,3589.00,3230.00,2813.00,2625.00,2584.00,2396.00,2393.00,2340.00,2349.00,2348.00
POL,13757.00,13009.00,12854.00,12959.00,13281.00,13807.00,13942.00,14685.00,13772.00,13246.00,13294.00,13043.00
SVN,318.00,362.00,385.00,462.00,334.00,275.00,214.00,155.00,109.00,162.00,172.00,
AUS,337.00,267.00,368.00,483.00,542.00,,788.00,521.00,405.00,329.00,421.00,575.00
HUN,70.00,74.00,69.00,74.00,67.00,80.00,60.00,87.00,71.00,84.00,85.00,83.00
LUX,46.00,54.00,53.00,55.00,49.00,51.00,47.00,50.00,44.00,38.00,42.00,43.00
NZL,64.00,59.00,43.00,57.00,36.00,28.00,44.00,49.00,55.00,54.00,,
SVK,373.00,288.00,316.00,400.00,369.00,472.00,454.00,442.00,448.00,478.00,405.00,
AUT,246.00,270.00,243.00,162.00,169.00,191.00,226.00,230.00,199.00,946.00,951.00,967.00
DNK,1020.00,1070.00,1268.00,1153.00,1171.00,850.00,1032.00,1775.00,1803.00,2122.00,1856.00,1844.00
CHL,1369.00,1343.00,1162.00,1124.00,1221.00,1184.00,1009.00,1261.00,1148.00,1119.00,,
NOR,913.00,845.00,995.00,902.00,790.00,809.00,801.00,842.00,992.00,903.00,992.00,1005.00
SWE,891.00,855.00,872.00,853.00,925.00,1018.00,1052.00,1129.00,1082.00,1283.00,1826.00,
USA,15863.00,15779.00,14269.00,14584.00,13711.00,14644.00,13982.00,14283.00,16803.00,17786.00,16063.00,
BEL,,,,1048.00,1057.00,1039.00,1113.00,1090.00,1073.00,1229.00,,
CHE,1002.00,992.00,1214.00,1343.00,1312.00,1159.00,1048.00,876.00,769.00,1014.00,1026.00,
CZE,286.00,369.00,424.00,429.00,408.00,529.00,570.00,725.00,821.00,986.00,974.00,716.00
GRC,3918.00,3383.00,3601.00,3732.00,3765.00,3785.00,3225.00,3646.00,3207.00,3462.00,4486.00,
ISR,941.00,959.00,1026.00,1001.00,1066.00,1235.00,1268.00,1236.00,1129.00,1116.00,1116.00,
ITA,3370.00,3016.00,3052.00,4320.00,,,3855.00,3993.00,3759.00,3761.00,3632.00,
KOR,12503.00,10393.00,8329.00,9565.00,10649.00,11551.00,11592.00,10934.00,11485.00,11062.00,11346.00,11237.00
EST,288.00,256.00,314.00,272.00,241.00,227.00,223.00,254.00,124.00,115.00,145.00,175.00
ISL,12.00,5.00,6.00,6.00,5.00,7.00,10.00,9.00,9.00,10.00,,
