Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
CAN,11.80,12.90,12.50,12.90,10.50,9.40,11.70,8.20,8.00,7.10,,
DEU,33.30,30.80,28.20,29.40,27.80,26.60,26.20,27.50,29.60,29.30,29.30,27.70
FIN,4.20,5.20,5.80,6.20,6.50,6.70,7.30,7.70,7.70,6.80,6.50,5.80
IRL,9.50,8.40,9.60,10.80,7.20,4.70,3.10,3.10,2.90,2.70,2.00,
ISL,10.70,5.00,4.70,5.80,3.80,4.90,8.00,6.60,7.20,7.80,,
PRT,168.20,149.00,118.90,122.50,,,,124.80,116.30,102.50,100.20,93.50
USA,14.40,13.80,12.40,12.50,11.70,12.10,11.50,11.90,13.40,13.90,12.80,
AUT,10.80,12.20,10.90,7.40,7.90,7.80,9.10,8.40,6.80,25.40,24.20,24.20
BEL,,,,26.90,26.50,25.00,25.80,23.70,22.80,25.20,,
CHL,52.80,46.80,38.20,34.20,35.20,31.60,26.20,30.20,26.00,25.70,,
ESP,27.40,27.80,27.10,27.70,26.30,26.40,25.10,25.50,24.60,24.90,25.10,23.40
LUX,33.20,39.10,38.10,40.10,31.70,32.80,29.90,34.00,27.20,24.90,23.80,25.10
POL,128.10,118.10,111.20,113.90,113.30,111.00,103.40,106.50,101.40,95.00,92.70,88.90
SWE,22.60,21.50,21.40,20.90,22.10,23.70,23.70,24.90,23.50,27.20,37.70,
AUS,4.20,3.40,4.50,5.50,6.40,,8.90,6.00,4.30,3.40,4.30,5.70
CZE,8.20,10.70,12.00,11.30,10.60,13.00,13.70,16.80,19.20,22.80,21.60,14.80
HUN,2.40,2.10,2.10,2.10,1.70,2.00,1.60,2.50,1.90,2.10,2.30,2.00
ISR,49.60,49.10,51.20,48.20,51.70,56.00,56.30,54.00,47.40,44.20,43.30,
JPN,21.50,21.00,20.60,20.60,20.50,21.40,22.50,23.30,25.90,26.10,29.70,31.20
KOR,259.00,206.80,169.80,179.40,196.30,198.00,183.80,155.00,143.00,123.70,115.70,104.80
CHE,34.10,33.30,38.90,43.40,41.50,36.10,31.60,25.80,22.00,28.50,27.90,
DNK,50.00,51.50,58.90,53.50,53.60,39.50,46.40,75.00,75.10,86.90,76.00,75.00
NLD,65.80,68.90,63.00,56.70,47.80,43.80,41.90,37.60,36.00,34.10,32.90,32.50
NZL,3.70,3.50,2.60,3.00,1.90,1.60,2.40,2.50,3.00,2.90,,
EST,87.20,75.90,89.40,81.40,66.40,69.90,64.30,67.50,26.70,24.20,30.70,35.50
ITA,13.80,12.10,12.20,17.90,,,14.70,14.70,13.30,12.90,12.00,
NOR,50.20,46.60,53.70,47.60,41.20,41.20,40.00,41.30,48.00,42.70,45.80,44.60
GRC,97.80,83.00,86.10,87.00,86.60,82.50,66.70,71.90,60.90,62.30,76.60,
SVK,18.80,14.40,16.20,22.20,18.20,22.10,20.40,19.90,18.30,19.30,17.00,
FRA,60.00,65.30,66.30,70.00,59.50,61.60,56.80,57.60,59.70,59.50,,
GBR,,16.10,15.30,14.90,13.80,13.00,11.90,11.90,11.50,10.10,10.00,
SVN,50.00,55.40,58.60,62.90,46.00,39.50,23.40,17.00,13.50,16.80,17.90,
MEX,31.90,32.40,32.80,32.90,30.60,30.50,28.30,28.00,28.30,29.60,31.40,
