Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AUS,21.00,33.00,34.00,27.00,29.00,,21.00,20.00,33.00,20.00,22.00,27.00
DEU,211.00,210.00,180.00,192.00,150.00,189.00,157.00,171.00,140.00,135.00,125.00,154.00
EST,22.00,21.00,13.00,20.00,16.00,9.00,17.00,13.00,16.00,17.00,6.00,6.00
GBR,,224.00,198.00,213.00,200.00,195.00,199.00,144.00,188.00,166.00,175.00,
ISL,1.00,1.00,1.00,4.00,2.00,2.00,1.00,5.00,1.00,5.00,,
LUX,1.00,4.00,2.00,,,,,,,,,2.00
POL,288.00,250.00,234.00,206.00,176.00,182.00,170.00,172.00,195.00,157.00,124.00,138.00
PRT,62.00,54.00,74.00,80.00,,,,84.00,76.00,77.00,62.00,58.00
SVN,12.00,10.00,3.00,9.00,3.00,9.00,11.00,13.00,17.00,13.00,9.00,
CHL,179.00,187.00,223.00,195.00,228.00,216.00,214.00,185.00,145.00,174.00,,
DNK,15.00,22.00,17.00,12.00,19.00,8.00,8.00,7.00,5.00,8.00,12.00,5.00
NLD,42.00,36.00,25.00,39.00,31.00,24.00,33.00,27.00,22.00,23.00,18.00,17.00
NOR,24.00,22.00,14.00,18.00,27.00,22.00,23.00,22.00,13.00,10.00,17.00,11.00
SVK,16.00,20.00,19.00,20.00,12.00,12.00,10.00,14.00,13.00,11.00,8.00,
HUN,111.00,100.00,80.00,92.00,75.00,71.00,37.00,49.00,49.00,53.00,42.00,41.00
KOR,1014.00,956.00,986.00,1039.00,893.00,955.00,899.00,804.00,821.00,841.00,917.00,944.00
CHE,11.00,5.00,12.00,4.00,7.00,7.00,8.00,5.00,9.00,0.00,9.00,
IRL,14.00,9.00,12.00,7.00,11.00,9.00,10.00,19.00,10.00,16.00,17.00,
ITA,182.00,156.00,154.00,209.00,,,185.00,154.00,163.00,171.00,155.00,
BEL,,,,31.00,26.00,26.00,13.00,37.00,28.00,20.00,,
FIN,65.00,46.00,46.00,45.00,35.00,36.00,33.00,26.00,35.00,26.00,26.00,33.00
GRC,21.00,35.00,25.00,26.00,20.00,38.00,23.00,30.00,23.00,18.00,21.00,
ISR,25.00,22.00,18.00,19.00,16.00,22.00,16.00,12.00,11.00,12.00,9.00,
MEX,1233.00,1168.00,1146.00,1141.00,912.00,922.00,798.00,748.00,781.00,742.00,819.00,
FRA,480.00,509.00,457.00,434.00,396.00,415.00,336.00,312.00,305.00,293.00,,
USA,367.00,375.00,384.00,331.00,292.00,287.00,248.00,238.00,246.00,229.00,240.00,
AUT,24.00,22.00,26.00,15.00,17.00,24.00,24.00,21.00,21.00,17.00,17.00,20.00
CAN,56.00,67.00,82.00,63.00,44.00,59.00,65.00,62.00,66.00,28.00,,
CZE,34.00,37.00,34.00,24.00,28.00,20.00,23.00,29.00,14.00,13.00,11.00,19.00
ESP,183.00,155.00,168.00,169.00,145.00,142.00,120.00,142.00,120.00,143.00,130.00,96.00
JPN,1549.00,1502.00,1475.00,1396.00,1490.00,1460.00,1451.00,1421.00,1413.00,1416.00,1449.00,1419.00
NZL,12.00,5.00,11.00,15.00,12.00,11.00,11.00,6.00,10.00,8.00,,
SWE,33.00,51.00,53.00,25.00,31.00,34.00,33.00,34.00,41.00,30.00,18.00,
