Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AUT,47,33,40,30,28,30,32,26,28,30,21,34
FIN,64,51,51,37,33,41,27,30,25,28,22,28
ISR,51,30,38,28,24,24,18,26,16,11,18,
ITA,278,259,259,289,,,222,240,227,237,218,
NZL,13,6,5,12,18,10,11,10,6,8,,
PRT,198,188,271,269,,,,174,161,174,143,153
AUS,33,53,33,26,34,,34,32,31,37,33,27
CHL,349,427,378,421,426,383,377,353,293,299,,
FRA,610,540,490,508,428,435,391,355,337,340,,
KOR,2483,2383,2505,2444,2174,2132,2026,1825,1751,1695,1739,1712
TUR,,,,,,,,,,,,
DEU,396,326,327,320,291,261,276,275,223,210,225,188
CZE,91,57,49,57,41,49,38,41,39,38,28,36
ESP,337,335,323,304,300,333,276,267,229,251,262,192
GBR,,270,305,296,247,257,277,242,245,232,189,
IRL,22,18,15,15,14,7,11,34,22,20,18,
SVN,9,16,19,19,9,9,7,16,18,12,11,
USA,534,500,508,460,447,432,446,383,396,347,369,
HUN,280,277,245,208,225,185,151,171,145,117,112,84
SVK,38,37,45,46,40,35,37,21,29,31,27,
BEL,,,,61,46,62,46,47,48,38,,
GRC,62,70,61,81,55,52,58,66,57,69,50,
POL,828,811,706,737,674,652,589,603,632,601,462,511
SWE,36,35,43,32,18,24,31,27,21,29,16,
EST,84,78,75,75,84,42,50,50,39,32,35,39
ISL,,2,2,2,1,,1,,,2,,
JPN,3402,3145,2877,2845,2718,2751,2622,2514,2424,2204,2190,2090
LUX,2,1,1,2,,1,1,2,,,1,
MEX,2235,2284,2131,2143,1731,1816,1727,1537,1730,1603,1700,
NLD,49,51,47,33,47,46,43,27,29,39,36,19
CAN,82,78,61,66,58,70,60,65,65,56,,
CHE,22,19,12,13,9,14,16,11,11,14,10,
DNK,23,16,18,14,19,18,13,18,11,18,21,10
NOR,29,28,19,34,17,20,15,12,12,17,10,17
