Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
CAN,0.8,0.7,0.5,0.6,0.5,0.6,0.5,0.5,0.5,0.4,,
DNK,1,0.7,0.8,0.6,0.8,0.8,0.6,0.7,0.4,0.7,0.8,0.4
IRL,2.1,1.4,1.1,1.1,1,0.5,0.8,2.7,1.7,1.5,1.1,
JPN,6.5,5.8,5.2,4.9,4.6,4.5,4.1,3.8,3.6,3.1,3.1,2.8
TUR,,,,,,,,,,,,
CZE,2.3,1.4,1.3,1.5,1.1,1.2,0.9,0.9,0.9,0.8,0.6,0.7
ESP,1.9,1.9,1.8,1.6,1.6,1.6,1.4,1.3,1.1,1.2,1.2,0.8
GBR,,1,1.2,1.1,0.9,0.9,1,0.9,0.9,0.8,0.6,
POL,6.1,5.9,5,5.1,4.6,4.4,3.8,3.7,3.8,3.7,2.7,3
FRA,2.7,2.3,2.1,2.1,1.7,1.7,1.5,1.3,1.2,1.2,,
SVN,0.9,2,2.5,2.3,0.9,0.9,0.9,2.5,2.1,1.4,1.4,
HUN,7,6.9,5.9,4.8,5.3,4.4,3.4,3.9,3.3,2.6,2.5,1.8
NZL,0.9,0.4,0.4,0.8,1.3,0.6,0.8,0.7,0.4,0.5,,
BEL,,,,1.5,1,1.2,1,0.9,1,0.8,,
CHE,0.9,0.7,0.4,0.5,0.3,0.4,0.5,0.3,0.3,0.4,0.3,
EST,14.1,14.2,12.5,12.5,15.4,8.1,8.1,8.8,6.3,6,6.1,7
ISR,2.8,1.8,2.1,1.6,1.3,1.2,0.9,1.3,0.8,0.5,0.8,
KOR,27.4,24.9,27.4,25.1,21.2,19.7,18.2,15.7,15.5,13.5,14.2,13.2
NOR,1.6,1.4,1,1.9,0.9,1,0.8,0.6,0.6,0.9,0.5,0.8
SVK,2.4,2,2.4,2.6,2.2,1.8,1.6,0.9,1.2,1.4,1.1,
USA,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,
NLD,0.9,0.9,0.8,0.6,0.8,0.8,0.7,0.4,0.5,0.5,0.5,0.3
PRT,4.5,4,5.9,5.6,,,,3.6,3.2,3.5,2.8,2.8
AUT,1.4,1.1,1.4,0.9,0.8,0.9,1,0.7,0.8,0.8,0.5,0.8
CHL,9.7,11.8,9.8,10.3,11,9.5,8.8,8.1,6.2,6.1,,
FIN,3.8,2.8,2.8,1.9,1.8,2,1.4,1.3,1.3,1.3,1,1.3
ITA,1,1,1,1,,,0.7,0.8,0.7,0.8,0.7,
AUS,0.5,0.8,0.5,0.4,0.5,,0.4,0.4,0.3,0.4,0.4,0.3
DEU,1.2,0.9,1,0.9,0.8,0.7,0.7,0.7,0.6,0.5,0.5,0.5
GRC,1.3,1.5,1.2,1.7,1.1,0.9,1.1,1.1,1,1.2,0.8,
ISL,,2.6,1.9,2.4,1.4,,1.2,,,1.7,,
LUX,1,0.9,0.5,1,,0.4,0.5,0.9,,,0.4,
MEX,10.3,10.5,9.9,9.2,7,7.1,6.5,5.5,6,5.4,5.6,
SWE,0.8,0.8,1,0.7,0.4,0.6,0.7,0.6,0.5,0.6,0.3,
