Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AUT,0.90,0.70,0.80,0.50,0.50,0.60,0.60,0.50,0.50,0.50,0.40,0.50
CAN,0.50,0.60,0.50,0.50,0.40,0.40,0.40,0.40,0.40,0.30,,
CHL,6.30,7.10,6.80,6.60,7.10,6.30,5.90,5.30,4.10,4.30,,
ESP,1.20,1.10,1.10,1.10,1.00,1.00,0.80,0.80,0.70,0.80,0.70,0.50
USA,0.40,0.40,0.40,0.30,0.30,0.30,0.30,0.20,0.20,0.20,0.20,
DNK,0.70,0.70,0.60,0.50,0.70,0.50,0.40,0.40,0.30,0.50,0.60,0.20
ISR,1.80,1.30,1.30,1.10,0.90,1.00,0.70,0.80,0.50,0.40,0.50,
NLD,0.60,0.60,0.50,0.50,0.50,0.50,0.50,0.30,0.30,0.40,0.30,0.20
NOR,1.10,1.10,0.70,1.00,0.90,0.80,0.70,0.60,0.50,0.50,0.50,0.50
HUN,4.10,3.90,3.20,2.90,2.90,2.50,1.80,2.10,1.80,1.60,1.40,1.20
CZE,1.30,1.00,0.90,0.90,0.70,0.70,0.60,0.70,0.50,0.50,0.40,0.50
GBR,,0.80,0.80,0.80,0.70,0.70,0.70,0.60,0.60,0.60,0.50,
SVK,1.30,1.40,1.50,1.50,1.10,1.00,1.00,0.70,0.80,0.80,0.70,
SWE,0.60,0.80,0.90,0.50,0.40,0.50,0.60,0.50,0.50,0.50,0.30,
AUS,0.30,0.50,0.40,0.30,0.40,,0.30,0.30,0.30,0.30,0.30,0.20
CHE,0.40,0.30,0.30,0.20,0.20,0.30,0.30,0.20,0.20,0.20,0.20,
EST,7.80,7.30,6.40,6.90,7.40,3.80,4.80,4.50,3.90,3.50,2.90,3.10
IRL,1.30,0.90,0.90,0.70,0.80,0.50,0.60,1.70,1.00,1.10,1.00,
ITA,0.70,0.60,0.60,0.70,,,0.50,0.50,0.50,0.50,0.50,
KOR,14.70,13.60,14.20,13.50,11.50,11.20,10.20,8.80,8.50,7.90,8.20,7.90
MEX,7.20,7.10,6.60,6.30,4.80,4.90,4.30,3.70,4.00,3.60,3.80,
DEU,0.70,0.60,0.60,0.60,0.50,0.50,0.40,0.40,0.40,0.30,0.30,0.30
LUX,0.70,1.30,0.80,0.50,,0.20,0.20,0.40,,,0.20,0.40
SVN,1.10,1.40,1.10,1.40,0.60,0.90,0.90,1.50,1.70,1.10,0.90,
BEL,,,,0.80,0.60,0.70,0.50,0.70,0.60,0.50,,
GRC,0.80,1.00,0.80,1.00,0.70,0.70,0.70,0.80,0.70,0.70,0.50,
JPN,3.60,3.20,2.90,2.80,2.60,2.50,2.40,2.20,2.10,1.90,1.80,1.70
NZL,0.80,0.30,0.50,0.80,0.90,0.60,0.60,0.40,0.40,0.40,,
POL,3.50,3.30,2.80,2.80,2.40,2.40,2.10,2.10,2.20,2.00,1.50,1.70
FIN,2.60,1.90,1.80,1.60,1.30,1.40,1.10,0.90,1.00,0.90,0.80,0.90
FRA,1.80,1.70,1.50,1.40,1.20,1.20,1.00,0.90,0.90,0.80,,
ISL,0.40,1.50,1.30,2.70,1.30,0.80,0.90,1.90,0.40,2.70,,
PRT,2.50,2.30,3.20,3.10,,,,2.30,2.00,2.10,1.60,1.60
