Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
ESP,6.9,6.4,6.1,6,5.3,4.4,4.2,3.6,3.3,2.5,2.2,2
DEU,5,4.6,4.6,4.1,3.7,3.4,3.1,3.1,2.9,2.5,2.4,2.4
ISL,7.8,5.1,10.8,4.4,4.6,4.4,8.1,0.6,2.9,0.6,,
POL,7.9,7.6,7.5,7.1,7,6.6,6.2,6.9,6.9,5.6,4.8,4.9
SVN,7.5,5.3,6.3,5.3,5.4,7,4.7,5.9,3.9,3.8,3,
TUR,,,,,,,,,,,,
USA,10.3,10.1,10.2,10,9.9,9.6,9.5,8.8,7.7,7.3,7.1,
CHL,6.3,5.7,5.1,6,5.8,5.8,6.7,5.4,6.4,5.7,,
FIN,5.2,5.5,4.7,4.9,4.9,3.7,3.6,4.3,3.1,2.9,2.7,2.7
GRC,8.9,8,7.2,6,7.7,7.8,5.5,6.4,5.6,5.1,4.8,
BEL,,,,5.9,5,5.3,4.9,4.4,4.2,4.2,,
CAN,6.1,5.6,6,5.6,5.3,5.9,5.8,5,4.7,4.2,,
CZE,7.3,7.1,7.2,6.7,6.2,5.8,4.8,5.5,5.3,4.8,3.6,4
AUS,5.9,5.4,5.2,4.8,4.5,,3.6,4.2,3.9,4,3.5,3.7
FRA,6.5,6.7,6,4.7,4.2,4.2,3.5,3.4,3.1,3.2,,
IRL,5.5,4.7,4.9,3.5,4.8,4.3,3.8,3.6,3.2,3,2.2,
ISR,4.3,4.9,5,4.3,5.1,4.5,3.9,3.5,3,2.8,3.1,
HUN,6.9,6.9,7.9,6.6,6.8,6.8,6.2,6.5,5.4,4.7,4.2,4.3
KOR,18.2,14.7,14.2,13.3,11.7,10.7,10.5,9.5,8.8,8.4,7.9,6.9
LUX,4.6,6.3,4.5,5.6,4.9,7.3,4.2,1.9,2.6,3.3,2.7,3.5
MEX,8.3,8.1,8.3,8.2,8.1,8.3,8.3,7.3,7.8,8,7.4,
NOR,4.8,4,3.5,3.6,3.7,3.5,3,2.8,2.4,2.2,2.4,2.6
SWE,3,3.5,3,2.9,2.6,2.7,2.7,2.8,2.4,1.8,1.6,
AUT,5.3,5.6,5.8,6.1,4.6,4.4,4.3,3.8,3.7,3.1,3.1,3.1
CHE,4.2,3.4,3.3,3.6,2.8,2.3,2.4,2.1,2.1,2,1.8,
DNK,5.8,4.6,4.6,4.6,3.6,3,3.3,3.5,3.5,3.3,3.2,1.8
EST,8.5,7.6,7.5,5.2,6.5,7.1,7.5,6.5,5.9,4,3.1,3.9
NZL,8.8,8.4,7.8,8.8,7.5,6.5,6.4,7.5,6.6,6.5,,
SVK,6.3,6.4,6.4,7,5.6,6,,,4.9,4.1,4.1,
GBR,,2.8,2.8,3,2.8,2.6,2.6,2.5,2.4,1.8,1.8,
ITA,5.6,5.5,5,4.5,,,4,3.5,3.3,3.1,2.8,
JPN,5.1,4.9,4.7,4.3,4,3.7,3.4,3.2,2.7,2.6,2.6,2.4
NLD,3.7,3.3,3.4,3.5,3.1,2.6,2.7,2.8,2.3,2.4,2.3,2.3
PRT,5.4,8.4,8.5,7.7,,,,4.4,4.4,3.9,3.9,3.8
