Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AUT,11.6,11.4,11.6,11.6,10.5,9.5,8.7,8.4,7.9,7.4,6.6,6.2
ITA,12.7,12.9,12.4,11.4,,,10.1,9.6,8.7,7.9,7.3,
SVN,16.5,15.6,14.4,13.8,14.8,13.5,14.1,15.3,11.8,10,7.9,
FIN,10,10.8,10.3,9.9,9.3,9.2,8.5,9.1,8,6.8,6.4,6.3
FRA,13.1,13,12.4,10.2,8.9,8.9,7.8,7.6,7.1,7.1,,
KOR,32.6,27.4,25.2,24.5,22.1,20.6,19.9,18.6,17.2,16.5,15.3,13.8
LUX,13.9,12.5,12.4,11.3,9.3,7.9,6.6,6.3,5.9,7,5.1,5.6
PRT,13.7,18.3,20.7,18.4,,,,10.8,9.7,9.6,9,8.7
SVK,16.3,15.6,14.5,15.9,14.1,14,,,13.8,9.6,9.3,
TUR,,,,,,,,,,,,
AUS,10.9,10.7,10,9.1,8.6,,7.6,8.3,7.6,7.7,7,6.8
BEL,,,,12,11.5,11,10.4,10.8,9.5,9.4,,
CHE,8.7,7.6,6.8,7.7,6.9,5.3,5.3,5.4,5.1,4.9,4.4,
EST,18.3,17.2,18.1,14.1,14.9,14.8,17.5,15.3,11.8,8.5,7,8.8
GRC,20.1,17.6,16.2,15.6,17.2,17.1,15.5,15.4,14.7,14.2,12.3,
USA,17,16.9,17.1,16.8,16.6,16.6,16.4,15.7,14.1,12.8,12.4,
HUN,14.9,14.9,16.9,15.4,15.6,15,15.4,14.8,12.4,10.7,9.4,8.7
ISL,14.3,13.3,11.9,9.6,8.5,6.9,13.4,6,5.5,4.2,,
JPN,9.7,9.2,8.7,7.9,7.5,7.1,6.3,5.7,5.1,4.9,4.8,4.5
NOR,9.8,7.5,8.6,8,7.9,6.4,6,5.8,6.4,5.5,5.4,4.7
NZL,15.5,14.6,14.2,15.4,13.2,12.1,11.5,11.7,11.3,11.5,,
SWE,7,7.2,6.4,6.3,5.9,5.5,5.7,5.4,4.9,4.1,3.2,
IRL,11,10.5,9.8,7.9,8.2,8.3,7.2,7.4,6,6.2,4.3,
CZE,14.9,14.1,14.1,13.8,12.4,12,10.3,11.7,10.8,9.5,8.4,8.2
DNK,9.9,9.1,8.9,8.6,7.3,6.9,6.2,7.2,7.2,5.8,5.1,4
ISR,9.4,9.9,9.4,8.3,8.9,8.1,7.3,6.9,6.6,5.8,5.9,
MEX,19.6,18.8,18.9,18.9,18.8,19.5,19.8,17,19,19.1,17.5,
NLD,7.3,6.7,6.9,7.1,5.7,5.2,5.1,5.1,4.7,4.5,4.3,4.3
POL,19.1,16.6,17.1,16.3,16.6,15.3,14.2,15.5,15.3,12.8,11.4,12.2
CAN,10.4,10,10.2,9.9,9.7,10.2,9.6,9.4,8.7,7.8,,
CHL,17,15.4,15.1,17,16.4,16.2,16,14.9,15.7,14.4,,
DEU,9.6,8.8,8.7,8.3,7.3,6.7,6.4,6.1,5.7,5.3,4.7,5.1
ESP,15.3,14.3,13.6,13.5,11.9,10.9,9.9,9,7.5,6,5.4,4.9
GBR,,6.1,6.3,6.3,6,5.8,5.8,5.5,5,4.3,3.6,
