Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
CHE,1386.00,1581.00,1713.00,1783.00,1749.00,2041.00,1852.00,2072.00,2294.00,2551.00,2850.00,
CHL,574.00,1141.00,1213.00,1315.00,1372.00,1382.00,1345.00,1556.00,1499.00,1488.00,,
DEU,3003.00,2850.00,2816.00,3230.00,4088.00,5177.00,7397.00,8250.00,10364.00,13014.00,14702.00,16117.00
IRL,252.00,228.00,219.00,239.00,283.00,272.00,359.00,300.00,271.00,371.00,414.00,
LUX,49.00,62.00,23.00,56.00,42.00,44.00,43.00,44.00,49.00,29.00,56.00,61.00
SVK,11.00,,5.00,4.00,7.00,2.00,2.00,2.00,,1.00,,
AUS,1726.00,1622.00,1914.00,2007.00,2179.00,,3145.00,3601.00,4022.00,4122.00,4524.00,4865.00
AUT,95.00,110.00,102.00,108.00,145.00,186.00,180.00,201.00,274.00,259.00,281.00,334.00
GBR,,11150.00,11352.00,12101.00,11609.00,11619.00,11894.00,13319.00,14830.00,14438.00,16002.00,
NOR,613.00,658.00,721.00,793.00,820.00,989.00,1041.00,1037.00,1164.00,1203.00,1283.00,1302.00
NZL,336.00,438.00,473.00,509.00,524.00,485.00,524.00,558.00,619.00,598.00,,
GRC,48.00,78.00,85.00,115.00,91.00,84.00,51.00,67.00,61.00,70.00,41.00,
HUN,292.00,315.00,377.00,417.00,299.00,407.00,1136.00,1286.00,1431.00,1532.00,1699.00,1640.00
ISL,40.00,35.00,38.00,29.00,26.00,39.00,45.00,43.00,42.00,32.00,,
ITA,6012.00,6334.00,6635.00,6072.00,,,5775.00,6143.00,9356.00,9825.00,9799.00,
NLD,3669.00,4075.00,4588.00,4645.00,4659.00,4523.00,4912.00,4574.00,5031.00,4980.00,5351.00,5347.00
POL,246.00,262.00,254.00,314.00,291.00,295.00,264.00,325.00,331.00,267.00,258.00,290.00
DNK,863.00,1030.00,1234.00,1122.00,1137.00,1365.00,1494.00,1563.00,1694.00,1756.00,1747.00,1700.00
FRA,10314.00,10443.00,10652.00,11396.00,9293.00,9863.00,9508.00,9610.00,9887.00,10068.00,,
SWE,2547.00,2739.00,3072.00,2605.00,2921.00,3035.00,3011.00,3329.00,3272.00,3189.00,3331.00,
FIN,2088.00,2045.00,2272.00,2163.00,1965.00,1869.00,1854.00,1746.00,1614.00,1583.00,1557.00,1369.00
JPN,2365.00,2572.00,2482.00,2489.00,2682.00,2910.00,3335.00,3835.00,4354.00,4720.00,5417.00,6423.00
KOR,3674.00,3743.00,3289.00,2660.00,2829.00,2563.00,2422.00,2398.00,3181.00,2892.00,2861.00,2963.00
SVN,64.00,58.00,68.00,84.00,66.00,68.00,61.00,14.00,28.00,20.00,28.00,
CAN,3672.00,3933.00,4101.00,4181.00,4264.00,4797.00,6166.00,6510.00,7272.00,7433.00,,
ESP,7385.00,7532.00,7750.00,8744.00,7812.00,8383.00,7934.00,8099.00,8624.00,9541.00,9763.00,10056.00
EST,5.00,21.00,13.00,46.00,31.00,55.00,49.00,63.00,60.00,56.00,40.00,41.00
BEL,,,,2119.00,2003.00,2022.00,2139.00,2188.00,2350.00,2507.00,,
ISR,361.00,322.00,335.00,382.00,315.00,237.00,231.00,345.00,572.00,569.00,697.00,
MEX,585.00,570.00,569.00,607.00,554.00,671.00,621.00,831.00,916.00,933.00,1072.00,
CZE,26.00,33.00,21.00,34.00,41.00,67.00,49.00,37.00,52.00,45.00,82.00,526.00
PRT,201.00,234.00,341.00,320.00,,,,33.00,33.00,48.00,42.00,41.00
USA,28343.00,31468.00,34788.00,37635.00,38142.00,44947.00,58090.00,58405.00,68406.00,69020.00,78324.00,
