Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
SVK,0.4,0.3,0.4,0.4,0.3,0.4,,0.1,0,0.1,,
NOR,33.4,33.9,29.6,25.7,24.9,30.1,29,32,29,31.1,35.2,35.2
PRT,4,5.8,8.1,6,,,,2.8,3.3,3,3.4,2.6
USA,19.1,20.4,21.3,22.3,22.6,25,30.9,30.5,33,33.2,37.5,
AUS,20.5,17.3,19.6,19,18.9,,26.4,28.5,30.6,30,30.1,31.8
IRL,18.6,18,17.4,16.3,18.7,16.9,21.4,15.3,13.7,17.3,19.4,
ISL,28.3,25.2,28.2,30.8,30.6,30.3,30,23.8,19.4,22.3,,
ESP,26.4,25.9,25.8,27.4,24.7,24.2,23.4,22.7,22.8,24.6,24.4,24.1
FIN,65.9,62.8,64,60.9,53.3,52,48.3,43.9,39.6,37.7,38.7,32.3
FRA,30.5,31.4,31.2,32.7,27.9,28.8,26.4,26.7,27.3,26.1,,
HUN,14.9,13.6,13.2,13.5,13,15.9,27.2,26.8,28.8,28.4,29.9,29.5
CZE,1.7,1.6,1.7,2.6,2.8,4.2,2.6,2.5,2.8,2.1,2.8,10.5
DNK,33.7,36.1,45.7,41.1,45.9,50.9,52,53.6,55.8,53.2,55.2,52.4
EST,3.5,7.2,8.4,17.6,17.6,23.6,20.8,34.6,22.9,14.6,15.9,13.8
LUX,32.4,30.9,11.7,30.3,22.7,22.6,23.5,33.8,12.5,14,21.3,20.1
NLD,32.7,35,40.5,41.7,39.7,39,40.3,35.5,38.8,36.6,38.5,36.8
POL,7.7,7.9,7.2,8.2,8.7,8.6,9.5,10.1,9.5,8.1,7.1,8
SWE,39.7,37.5,41.2,34.6,38.6,37.8,37.4,37.7,36.8,37.4,37.3,
AUT,7.9,9.2,8.4,11.5,13.1,13,11.7,11.9,13.5,15.2,14,14.5
BEL,,,,32.7,28.8,27.5,28.9,28.8,31.7,30.6,,
GBR,,26.3,26.1,25.6,24.6,24.1,23.8,25.9,27.7,26.8,27.9,
GRC,0.8,1.3,1.2,1.1,1.4,1.1,0.8,1.1,1,0.7,0.9,
CAN,25.2,24.5,24.9,24.2,24.4,27.5,33,33,35.5,35.7,,
CHE,33.3,33.3,36.1,35.5,33.5,36.5,31,33.5,36,39,41.9,
DEU,14.5,12.6,13.1,13.4,14,16.1,17.9,18.9,22.2,24.8,26.2,27.1
ITA,15,15.2,14.6,13.3,,,11.2,11.5,16.1,16.5,16,
MEX,18.6,17.7,17,16.3,14.5,14.6,11.3,11.4,11.4,11.2,11.3,
TUR,,,,,,,,,,,,
CHL,26.1,36.4,40.8,41,37.4,34.5,29.2,33.1,30.6,28.8,,
ISR,18.1,14,14.4,15.2,15.4,10.6,8.5,10.9,19.2,17.6,20.3,
JPN,3.2,3.2,3,3.1,2.9,2.9,3,3.1,3.5,3.5,3.8,4.3
KOR,37.2,34.2,28.7,22.9,21,20.5,19.3,18.2,23.9,21.2,19.7,20.6
NZL,19.3,22.9,22.9,22.8,26.8,20.4,24.4,20.1,20.4,21.2,,
SVN,15.6,15.2,16.9,15.5,11.8,13.1,10.1,6.5,9.9,9.3,10.5,
