Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
DEU,9.9,8.9,9,9.7,10.8,12.6,15.2,16.2,19.2,22.4,24.1,25.3
NZL,19.1,23.4,24.3,24.9,26.7,22.7,24.8,23.9,25,24.3,,
PRT,3.7,4.8,6.9,5.7,,,,1.5,1.8,1.8,1.9,1.5
SVK,0.5,0.1,0.3,0.2,0.3,0.2,0,0.1,0,0.1,,
CHE,30.7,33,34.8,35.4,34.1,38.2,32.7,35.3,37.9,41.1,44.6,
CHL,19.6,32.2,33.9,34.6,33.1,31.6,28.1,31.4,28.9,27.5,,
CZE,1,1.1,1,1.6,1.7,2.6,1.7,1.5,1.8,1.4,2.1,9.3
GRC,0.8,1.4,1.4,1.6,1.5,1.3,0.8,1.1,1,0.9,0.7,
HUN,9.5,8.9,9.5,10.2,8.7,10.8,22.4,23.3,25,25.5,27.3,26.2
IRL,17.4,16.1,15.2,15.4,17.6,16.1,20.7,15.9,13.7,18.3,20.1,
ISL,31.4,27.5,29.9,25.8,24.3,29.3,31.7,27.5,24.7,21.2,,
ISR,17.2,14.2,14.6,16.1,14.3,10.2,8.9,12.1,19.9,18.2,21,
TUR,,,,,,,,,,,,
BEL,,,,32.2,29.6,28.7,29.2,28.9,30.7,30.8,,
DNK,29.3,33.2,40.8,37,39.4,44.8,47.4,48.6,51.2,50.8,51.6,48.9
ESP,27.9,27.7,27.7,30,26.3,26.7,24.8,24.3,24.8,26.4,26.1,25.9
FRA,27.6,28.2,28.6,30.4,25.3,26,23.7,23.4,23.6,22.7,,
AUS,19.8,17.2,19.5,19.4,20.2,,28,29.9,32.3,31.9,33.1,34.6
KOR,37.1,35.7,30.4,23.8,23.7,21.2,19.5,18.2,23,19.8,18.6,18.6
AUT,4.9,5.6,5.2,6.7,7.7,8.1,7.6,7.7,9.3,9.8,9.2,10
CAN,24.7,25.3,25.6,25.1,25.1,27.3,33.2,33.5,36,35.7,,
GBR,,27.4,27.6,28.6,27.5,26.9,26.5,28.9,31.4,30.2,32.2,
LUX,23.6,27.3,11.1,25.9,20.3,20.4,20,22,15.6,11.2,19.7,20
POL,4.3,4.5,4.1,4.7,4.9,4.9,5.1,5.6,5.3,4.5,4,4.5
SVN,10.8,10.2,11.2,12.1,9,9,7.4,3.6,5.9,5,6.1,
USA,19.1,20.5,21.8,23.1,23.1,26,32.4,32,35.7,35.4,39.7,
ITA,15.1,15.2,14.9,13.7,,,11.8,12,17.1,17.3,16.7,
NLD,38.7,42.1,47.2,47.6,46.5,44.6,46.8,42.1,45.2,43.4,45.3,43.9
NOR,27.4,28.6,27.4,25.6,25.6,30.3,30.5,30.8,32,32.9,36,35.9
SWE,38.4,38.4,42.4,36,39.8,39.7,38.8,40.9,40,39.3,40.1,
EST,1.8,4.7,4.5,11.1,10.3,14,12,19,13.8,10.5,9.1,8.7
FIN,67.3,64,68.3,64.1,57.2,53.4,50.3,45.9,41.2,39.2,38,32.2
JPN,3,3.1,2.9,2.9,2.8,2.9,3.1,3.3,3.6,3.7,4,4.5
MEX,10.2,9.7,9.3,9,8,8.4,6.7,7.2,7.3,7.2,7.5,
