Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AUT,18749,18487,18623,19231,19245,19124,19056,18966,19780,19642,19757,19992
DNK,15478,15451,14968,14928,15209,15293,15626,15094,15145,14886,15329,15237
FRA,143646,144691,146420,147140,146470,148883,149100,149664,151572,153220,,
GRC,23763,24402,24380,24789,25438,25884,25660,26862,27379,27328,27159,
ITA,153431,157476,156866,159017,,,160945,163806,164847,166830,167253,
SVK,11871,11815,11445,11558,11581,11794,11649,11867,11891,11831,12074,
BEL,,,,25964,25782,26261,26152,26594,27241,27018,,
CHL,18262,18394,19146,19699,19900,20480,20781,20685,21052,22637,,
FIN,10234,10326,10221,10426,10497,10593,10777,10848,10961,10996,11580,11583
GBR,,155073,155714,154852,153640,153734,154523,155909,157032,156467,157583,
IRL,7666,7632,7503,7603,7828,7749,8066,7917,8199,8396,7971,
CAN,62672,63774,65103,65990,66947,67343,67807,69595,70558,71125,,
EST,3365,3301,3426,3351,3463,3479,3533,3525,3543,3529,3550,3624
MEX,54993,55867,58311,59858,61034,62976,63774,63764,66658,67089,68957,
NZL,7620,7810,7800,7932,8026,7864,7996,8417,8454,8342,,
PRT,21461,21960,22273,22711,,,,23431,24033,24397,24982,25593
SWE,21153,21615,21324,21631,21862,21867,21996,21840,21751,21717,21646,
TUR,,,,,,,,,,,,
AUS,35825,36709,37458,37445,38018,,37022,39364,41350,41004,42347,42673
ISL,495,485,509,491,512,511,493,572,559,562,,
KOR,57725,58857,62598,63352,64315,65117,65519,67561,68912,69779,72048,71579
USA,553091,553768,557271,556902,553888,559312,559896,562894,565469,567710,574866,
DEU,210738,207619,210043,209255,209328,211396,211523,211765,216010,216128,218899,221591
ISR,8878,9134,9351,9527,9280,9537,9625,9839,9983,9923,10380,
LUX,976,923,904,951,894,889,907,994,932,1020,1020,1042
POL,84556,86431,87731,88300,89813,90396,91632,92932,93060,93297,92613,92198
CHE,15509,15401,15217,15429,15429,15420,15661,16020,15953,16056,16271,
HUN,33280,33319,33013,33530,33502,30615,31283,31686,32111,32536,32462,32670
NOR,10447,10563,10633,10509,10489,10567,10440,10695,10632,10544,10925,10839
CZE,28539,28294,28709,29195,29168,28033,27895,27359,27571,27680,27836,27171
ESP,91846,94363,94507,96466,97140,96739,98301,99994,100675,101517,103307,105432
JPN,295484,300658,304568,309543,320358,325941,329314,336468,342963,344105,353506,357312
NLD,37746,37643,38087,38206,38824,39346,39494,39785,40750,41322,42363,42868
SVN,4752,4813,4978,5058,5056,5106,5273,5536,5679,5743,5843,
