Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
CAN,302.3,302.2,297.2,290.6,285.9,280.6,273.2,270.6,266.5,260.5,,
ISR,249.2,252.4,251.9,250.9,239.2,239,229.2,230.8,226.6,216.8,219.3,
JPN,303.4,297.9,293.2,289.2,290,285.8,279.8,277.7,274.6,267.3,268.1,263.2
AUS,291,286.8,283,273.6,274.6,,262.7,260.8,266.6,257.1,258.1,251.3
FIN,268.5,272.8,261.7,257.7,257.6,248.3,251.9,242.1,233.1,232.2,236.9,230.3
GBR,,315.1,312,306.5,300.7,294.2,292,287.5,284.4,279.8,275.2,
HUN,491.5,465.4,458.4,459,453.3,403.8,412.4,413.1,413.8,417.4,411.1,404.8
NOR,291.1,293.2,295.6,288.8,284.3,280.3,270.2,275.9,271.2,264,267,262.1
PRT,291.6,289.9,290.5,290.2,,,,281.9,285.5,282.9,286.1,275.2
CHE,285.8,283.4,264,268.2,259.2,258.5,253.2,252.9,248,240,240.3,
CHL,287.9,273.4,276.4,275.3,267.9,268.6,262.9,250.3,245.2,258.8,,
ISL,249.9,282,264.1,231.3,254.7,266,241.5,253.9,234.5,257.9,,
MEX,152,148.8,151.2,152.2,148.9,150.7,144.7,139.4,142.3,137.4,138.1,
USA,289.9,283.5,277.8,271.5,264.9,262,256.4,254.8,244,239.6,238,
AUT,308,301.3,299.9,305.5,298.9,288.6,283.7,271.4,283.6,272.6,265.5,262.3
BEL,,,,321.9,314.2,315.7,303.6,298.3,300.4,289.7,,
EST,369.6,364.7,377.6,371.8,387.9,390.2,385.9,381.4,373.7,373.5,380.8,370.9
FRA,348.2,344.6,340.8,336,326.5,324,314.9,310.1,306.7,299.8,,
TUR,,,,,,,,,,,,
KOR,348.3,344.4,361.2,351.2,342,334,326.7,324.3,319.5,304.1,303.8,290
DEU,315.9,304.4,301.5,297.3,289.5,284.8,278.1,273.1,272.4,267.2,263.8,261.1
ESP,323.5,328,319.9,319.1,314,304.9,299.6,298.3,292,288.3,287.1,278.5
LUX,349.7,299.9,300.2,319.1,308.9,281.2,271.9,307.2,260.9,281.8,293.4,270.5
NLD,353.6,342.9,338.7,334.5,329.2,327.3,318.5,316.6,310,309.5,309.5,298.8
CZE,415.9,403.8,416.8,414.4,408,383.4,369.3,354.9,349.2,345,342.4,321.3
DNK,345.6,338,325.7,322.7,334.2,324,331.1,298.4,296.8,290.9,294.9,292
ITA,326.9,328.5,318,317.5,,,299.9,295.8,290.5,286.7,281.6,
NZL,312.5,312.2,300.8,298,286.7,276,263.6,282,273.7,256.6,,
POL,379.5,384.4,386,379.6,382.2,374.4,371.8,369.4,362.5,357,343.4,336.1
SVK,406.7,402.4,387.3,382.4,374,381,367.5,367.8,362.9,349,360.3,
SWE,253.8,253.4,249,255.9,249.8,249.9,245.8,237.5,235.4,232.6,227.4,
GRC,293.3,297,285.6,289.5,290.8,289.8,275.4,280.2,279,274.8,261.2,
IRL,332.7,329.5,319.9,311.2,318.5,296.5,307.3,297.1,295.5,308.2,270.2,
SVN,384.8,381.9,384.4,381.6,367.2,358,365.8,381.1,368.2,370.1,361.8,
