Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
CHE,3.1,3.1,2.9,3,3,2.5,2.1,2.3,2,1.9,2,1.5
CHL,3.3,3.4,3.3,3.4,3.2,3,2.5,3.6,4.2,5.3,4.2,6
DEU,1,0.9,0.9,0.8,0.9,0.8,0.8,0.7,0.7,0.7,0.5,0.3
PRT,10.4,10.2,10.3,9.3,8.2,7.9,6.8,5.8,5.7,4.4,4.5,2.8
USA,14.2,13.7,13.5,13.7,13.1,12.4,11.8,11.4,11,10.7,10.8,
AUT,1.8,1.5,1.4,1.3,1.3,1.4,1.4,1.6,1.3,1.2,1.1,0.8
DNK,1.1,1.3,0.8,0.7,1.1,0.8,0.9,0.6,0.7,0.7,0.8,1.1
EST,0.2,0.1,0.4,0.7,2.1,2.2,2.4,4.2,4.5,2.8,1.9,2.8
FRA,2.9,2.8,2.7,2.4,2.3,2.2,1.9,1.6,1.6,1.4,1.5,0.8
ISR,1.1,1.1,1.3,1.1,0.6,0.8,1,0.7,0.7,0.7,0.5,0.7
JPN,0.3,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4
MEX,8.6,8.4,8.2,8.1,8,8.1,8.1,7.1,6.5,6.3,6.2,6.1
NOR,0.8,0.7,0.8,1.2,0.8,0.7,0.7,0.2,0.4,0.4,0.5,0.4
NZL,0.7,0.8,0.5,0.9,1.1,0.9,0.6,0.7,0.8,0.5,0.7,0.5
TUR,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1
BEL,1.4,1.4,1.4,1.3,1.2,1.5,1,0.9,1.1,1.1,0.8,0.5
LUX,2.8,2.1,1.1,1.3,3.3,2.4,1.9,2.1,1.7,0.6,1.6,2
POL,0.3,0.3,0.3,0.4,0.5,0.4,0.4,0.4,0.5,0.3,0.4,0.4
SWE,0.7,0.6,0.7,0.6,0.7,0.5,0.6,0.7,,,,
IRL,0.3,0.7,0.9,1,1.1,1,1,0.8,0.8,0.8,0.9,1
ITA,3.4,3.2,3.1,3,2.8,2.6,2.5,2.4,2.2,2,1.8,1.3
NLD,1.6,1.7,1.8,1.9,1.8,2.1,1.8,1.8,1.6,1.6,1.6,1.1
ESP,7.2,6.2,5.7,5.5,4.9,4.3,3.9,3.6,3.3,3,2.4,1.8
ISL,0.4,0.4,0,0.3,1,0.3,1,0,0.6,0,0.3,0.6
CAN,1.7,1.4,1.4,1.3,1.1,1.2,1.1,1,1,0.8,0.7,0.4
CZE,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.2,0.2,0.2
GRC,1.2,0.9,0.9,0.9,0.8,0.9,0.8,0.8,0.9,0.9,0.9,0.7
AUS,1.4,1.1,1.3,1.2,1,1.1,1.1,0.8,,,,
FIN,0.3,0.4,0.4,0.5,0.4,0.5,0.5,0.6,0.5,0.4,0.6,0.5
KOR,0.1,0.1,0.2,0.1,0.2,0.1,0.2,0.2,0.1,0.4,0.4,0.6
SVK,0.1,0.1,0,0,0,0.1,0.1,0.1,0,0.1,0,0.1
SVN,0.4,0.3,0.2,0.3,0.5,0.5,0.2,0.4,0.5,0.9,0.3,0.7
GBR,1.5,1.3,1.7,1.7,1.6,1.6,1.4,1.3,1.3,1,1.1,0.7
HUN,0.3,0.2,0.3,0.3,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.3
