Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
DEU,,7.30,5.60,0.90,0.10,0.90,2.80,0.70,1.10,0.70,1.00,2.00
PRT,,0.30,,0.10,,0.10,0.00,0.00,0.00,0.00,0.00,
SVN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,
CHE,0.30,0.90,0.70,8.30,0.50,0.90,1.00,14.60,29.20,14.00,1.10,8.40
FIN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.10,
FRA,18.00,12.00,12.00,16.00,7.00,7.00,0.00,0.10,0.90,2.40,7.90,23.20
GRC,0.50,0.10,0.00,0.10,0.00,1.10,4.70,0.00,0.00,,1.30,
HUN,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10
IRL,42.30,6.30,6.20,14.40,8.20,2.20,2.00,1.20,1.20,3.60,8.80,5.80
LUX,0.00,1.60,0.00,0.20,0.00,0.00,1.70,0.00,0.00,0.00,0.00,1.20
USA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,
ISR,0.60,0.30,0.00,1.80,1.70,0.00,0.10,7.50,12.80,0.10,0.30,0.90
AUS,0.60,0.70,0.20,0.50,0.20,0.00,0.60,0.10,0.30,0.50,0.30,0.90
BEL,,,,0.40,0.60,0.20,0.10,0.60,0.90,0.30,0.40,5.30
CZE,0.10,0.10,0.00,0.30,0.20,0.00,0.10,0.00,0.00,0.00,0.00,0.20
ITA,2.50,1.40,31.60,20.90,1.20,0.40,1.00,1.00,8.90,1.30,6.10,6.70
JPN,,,62.20,43.30,9.50,4.70,3.10,18.80,8.60,0.60,0.40,0.40
CHL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
DNK,,,,,0.00,0.00,0.50,0.00,0.30,0.10,0.10,1.50
KOR,68.70,48.20,0.10,0.10,0.00,0.00,0.10,0.40,0.00,0.00,0.20,0.10
SVK,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SWE,0.70,0.10,0.10,0.00,0.10,0.10,0.20,0.00,0.30,0.00,0.10,0.30
CAN,0.70,0.10,0.00,0.10,0.00,0.00,0.00,0.30,0.20,0.00,0.30,2.20
GBR,0.20,0.10,0.50,0.80,0.30,0.10,1.30,1.70,2.40,2.00,0.70,1.80
NZL,1.70,2.10,0.50,1.60,0.80,0.40,0.40,0.60,0.30,5.70,1.10,13.50
POL,,,,,,0.00,,,,,,
TUR,23.60,44.20,11.10,7.80,12.30,1.70,0.10,0.00,0.00,0.00,0.00,0.10
AUT,0.00,,,,,0.10,0.30,0.20,5.30,0.60,0.60,0.80
ESP,0.40,0.10,0.20,0.60,0.10,0.80,0.80,0.50,0.70,0.10,0.70,7.50
EST,0.70,0.00,0.00,0.00,0.00,0.10,2.00,0.10,0.00,0.00,0.00,0.50
ISL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MEX,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.10,0.10,0.10,0.10,0.10
NLD,6.40,0.10,0.00,0.00,0.10,0.00,0.00,0.00,0.70,0.10,0.10,0.30
NOR,0.00,0.10,0.10,0.20,0.20,0.00,0.00,0.40,0.10,0.00,0.10,0.80
