Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
CHE,5,5,4.7,4.6,4.5,4.7,4.4,4.4,4.3,4.2,4.3,4.2
DEU,5.4,5.3,5.1,5,4.9,4.8,4.8,4.8,4.6,4.6,4.5,4.4
ESP,6.1,6.2,6.1,5.9,6,6,6,6,5.7,5.8,5.8,5.7
FRA,6.8,6.6,6.5,6.2,6.4,6.4,6.5,6.5,6.3,6.3,6.3,6.3
SWE,4,4.1,3.9,4.1,4,3.9,3.8,3.6,3.6,3.6,3.6,3.5
AUT,5.3,5.2,5.1,4.9,5,5,4.9,5,4.9,5.1,5.1,4.9
CHL,5.3,5.3,5.4,5.2,5.1,4.9,4.9,4.7,4.9,5.1,5.1,4.3
CZE,6,5.8,5.9,5.8,5.8,5.6,5.7,5.6,5.8,5.7,5.7,5.7
FIN,6.1,6.1,5.8,5.9,6.2,6.2,6.3,6.3,5.9,6,5.8,5.7
IRL,4.3,4.5,4.5,4.1,4.3,3.9,4.1,4.1,4,4.2,3.8,3.7
GBR,4.1,4,3.9,3.8,3.8,3.6,3.7,3.6,3.5,3.7,3.5,3.4
ISL,2.3,4.2,3.7,2.8,4.1,3.4,2.9,3.2,2.7,3.5,3.8,2.8
NOR,4.6,4.5,4.4,4.3,4.3,4.3,3.9,4.1,4.2,3.9,3.8,3.8
GRC,4.2,4.1,4,3.9,4,4,3.9,3.9,3.8,4,3.7,3.9
HUN,7.8,7.6,7.7,7.6,7.6,7.8,7.8,7.7,7.6,7.7,7.4,7.1
ISR,3.3,3.2,3.2,3.6,3.6,3.3,3.2,3.2,3.3,3.2,3.3,3.3
JPN,6.4,6.4,6.5,6.6,6.5,6.5,6.4,6.4,6.4,6.5,6.4,6.2
KOR,6.7,6.6,6.5,6.4,6.4,6.4,6.2,6.3,6.4,6.5,6.5,6.4
SVK,7.3,7.2,7.2,7.2,6.8,7.1,7,7.1,7.1,6.9,6.8,6.7
SVN,6.9,7,6.9,6.9,6.6,6.2,6.7,6.6,6.3,6.2,6.3,5.9
EST,9.2,9.7,9.3,9.2,9.5,9.5,9.4,9.8,9.3,9.1,8.6,8.9
LUX,5.7,5,5.6,5.3,5.6,5.1,4.7,5,4.6,4.7,5.2,4.8
AUS,4.6,4.5,4.3,4.3,4.2,4.2,4.1,4,3.9,3.9,3.9,3.8
CAN,4.7,4.5,4.4,4.4,4.3,4.1,4.1,4,4,4,,
NZL,4,3.9,3.8,3.7,3.6,3.5,3.4,3.3,3.3,3.2,3.1,3
TUR,2.9,2.9,2.9,3,2.9,3,3,3.1,3.1,3.3,3.3,3.5
MEX,3.6,3.6,3.6,3.5,3.6,3.6,3.5,3.6,3.6,3.5,3.6,3.5
NLD,4.7,4.5,4.3,4.3,4.2,4.2,4,4.1,3.8,3.9,3.7,3.5
PRT,5.5,5.5,5.6,5.4,5.5,5.4,5.8,5.6,5.5,5.5,5.6,5.8
USA,4.4,4.2,4.2,4.2,4.1,4.1,4.1,4.1,4,4,3.9,3.9
BEL,5.6,5.5,5.3,5,5.1,5,5.1,4.8,5,4.9,4.8,NaN
DNK,4,4,3.9,4.1,4.1,3.9,4,3.8,3.8,3.8,3.8,3.8
ITA,5.3,5.3,5.2,4.9,5.3,4.9,5.1,4.9,4.8,4.7,4.8,4.7
POL,6.8,7,7,7.3,7.1,7.4,7.4,7.6,7.5,7.5,7.1,7.1
