Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
ESP,20.8,21.1,21,20.8,21.5,21.3,22,22,22.1,22.4,22.7,22.8
GRC,18.4,18.7,18.7,18.7,18.9,19.2,19.4,19.4,19.8,20.2,20.4,20.6
POL,17.5,17.7,18,18,18.3,18.5,18.8,18.9,19.1,19.2,19.5,19.9
SVK,16.7,16.8,16.9,16.9,17.1,17.1,17.3,17.5,17.8,18,18,18.4
CHE,20.9,21.3,21.3,21.1,21.6,21.7,22.1,22.2,22.3,22.2,22.5,22.6
DEU,19.6,19.8,19.6,19.5,20.1,20.1,20.5,20.7,20.7,20.8,20.9,21.2
IRL,18,18.5,18.9,19.1,19.6,19.8,20.2,20.1,20.3,20.8,21.1,20.7
AUT,19.6,20,19.8,19.7,20.2,20.3,20.7,21,21.1,21.2,21.4,21.7
BEL,19.7,19.9,19.7,19.6,20.2,20.2,20.6,21,20.9,21.1,21.3,21.5
CHL,19.3,19.3,19.8,19.6,19.5,19.7,20.2,19.5,20.4,20.6,20.8,19.6
GBR,19,19.2,19.2,19.1,19.6,19.7,20.1,20.2,20.3,20.8,20.9,21.2
HUN,16.7,17,17,16.9,17.3,17.2,17.7,17.8,18.1,18.2,18.2,18.3
NOR,19.9,19.9,19.8,20.3,20.7,20.9,20.8,20.8,21,21.1,21.2,21.4
CAN,20.2,20.4,20.5,20.6,20.8,20.9,21.1,21.3,21.5,21.6,,
KOR,18.2,18.4,18.7,19,19.4,19.9,20.1,20.5,21,21.5,21.6,21.9
LUX,20.1,19.7,20,18.9,20.5,20.4,20.3,20.3,21,21.4,21.6,21.6
NLD,19.3,19.4,19.3,19.5,19.9,20.1,20.3,20.7,20.7,21,21,21.2
PRT,18.9,19.1,19.2,19,19.7,19.4,20.2,20.2,20.3,20.5,20.6,21.8
TUR,15.1,15.2,15.3,15.4,15.5,15.6,15.7,15.7,15.8,15.9,16,16.1
FIN,19.5,19.8,19.8,20,20.7,21,21.2,21.2,21.3,21.5,21.5,21.7
MEX,18.4,18.4,18.4,18.4,18.4,18.4,18.5,18.5,18.5,18.5,18.5,18.5
NZL,19.8,20,20.1,20.2,20.4,20.5,20.6,20.7,20.8,21.1,21.2,21.3
SVN,18.7,19,19,18.7,19.4,19.3,20,20.2,20.5,20.5,21,21.1
SWE,20.2,20.2,20.1,20.4,20.7,20.7,20.9,20.8,20.9,21.2,21.2,21.3
AUS,20.4,20.7,20.8,21,21.1,21.4,21.5,21.6,21.6,21.8,21.8,22
CZE,17.3,17.3,17.3,17.2,17.6,17.7,18.3,18.5,18.8,18.8,19,19.2
FRA,21.4,21.5,21.4,21.1,22.1,22,22.7,23,23,23.2,23.4,23.8
ISR,19,19.3,19.7,19.9,20.3,20.2,20.4,20.2,20.7,21,21.2,21.2
USA,19,19,19.1,19.2,19.5,19.5,19.7,19.9,20,20.3,20.3,20.4
ISL,19.8,21.2,20.8,20.2,21.1,21,20.7,21,20.6,21,21.5,21.5
ITA,20.7,21,21,20.6,21.5,21.3,21.8,21.8,22,22.1,22.4,22.6
JPN,22.4,22.7,23,23,23.3,23.2,23.4,23.6,23.6,24,23.8,23.7
DNK,18.3,18.3,18.2,18.5,19,19.1,19.2,19.2,19.5,19.5,19.7,
EST,17,17.3,17.3,17.4,17.8,18,18.3,18.5,18.9,19.2,19.4,20
