Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
EST,6.1,6.1,6.2,6,6.2,6.3,6.3,6.6,6.7,6.9,6.8,7.2
NOR,6.9,6.9,6.9,7.2,7.4,7.5,7.7,7.5,7.6,7.9,7.9,8
POL,6.4,6.4,6.5,6.4,6.6,6.7,7,7,7.1,7,7.4,7.5
BEL,6.8,6.9,6.8,6.7,7.1,7.2,7.5,7.8,7.7,7.9,8,8.1
CHE,7.5,7.8,7.9,7.7,8.2,8,8.3,8.4,8.5,8.6,8.6,8.7
DNK,6.9,6.8,6.8,6.8,7,7.1,7,7.3,7.4,7.4,7.5,7.8
GRC,6.8,7,7.1,7.2,7.3,7.5,7.7,7.8,8.1,8.3,8.7,8.8
HUN,6.3,6.4,6.3,6.2,6.5,6.3,6.7,6.7,6.9,6.9,7,7.2
GBR,7.2,7.2,7.3,7.2,7.6,7.7,8,8.1,8.2,8.4,8.6,8.8
ISR,8,8.5,8.8,8.4,8.5,8.6,8.9,8.7,8.7,8.7,8.8,8.8
KOR,6.5,6.4,6.6,6.7,6.9,7,7.1,7.1,7.3,7.6,7.6,7.7
MEX,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.7
NZL,7.3,7.4,7.5,7.6,7.8,7.9,8,8.1,8.3,8.4,8.6,8.7
USA,7.3,7.4,7.4,7.5,7.7,7.7,7.8,7.9,8,8.2,8.2,8.2
AUT,7.2,7.2,7.1,7.1,7.3,7.4,7.6,7.9,7.9,8,8.1,8.3
CAN,7.4,7.7,7.8,7.9,8,8.1,8.3,8.4,8.5,8.6,,
CHL,7,7.2,7.4,7.4,7.4,7.7,8.1,7.6,8.4,8.2,8.2,7.6
CZE,6.2,6.2,6,5.9,6.1,6.3,6.5,6.8,6.9,6.8,7,7.1
DEU,7.2,7.4,7.3,7.2,7.7,7.7,8,8.2,8.2,8.2,8.4,8.6
FIN,6.7,6.8,6.9,7.1,7.4,7.6,7.6,7.7,8,7.9,7.9,8.1
IRL,6.2,6.4,6.5,6.8,7,7.3,7.3,7.5,7.2,7.7,8.2,7.9
ITA,7.6,7.7,7.6,7.3,7.9,7.7,8,8,8.1,8.2,8.4,8.5
SWE,7.2,7.3,7.2,7.4,7.6,7.6,7.7,7.8,7.9,8,8,8.1
TUR,6,6,6,6.1,6.1,6.1,6.2,6.2,6.2,6.2,6.2,6.2
ESP,7.6,7.7,7.7,7.5,7.9,7.8,8.3,8.2,8.4,8.5,8.6,8.7
ISL,8,7.8,8,7.7,7.8,7.9,8.2,8,8.5,8.2,7.8,8.6
JPN,8,8.1,8.3,8.3,8.4,8.2,8.5,8.5,8.5,8.7,8.4,8.4
LUX,6.6,7,7.1,6.3,6.8,7.3,7.7,6.9,7.6,7.5,7.4,7.8
NLD,6.6,6.7,6.7,6.6,7,7.1,7.3,7.5,7.6,7.8,7.9,8.1
AUS,7.6,7.8,7.8,7.9,8,8.2,8.2,8.3,8.3,8.4,8.5,8.6
FRA,7.7,7.7,7.7,7.5,8.1,8.1,8.5,8.6,8.7,8.8,8.9,9.2
PRT,6.7,6.8,6.8,6.7,7.1,6.8,7.2,7.3,7.3,7.4,7.3,8.4
SVK,6.2,6,6.1,6,6.1,5.9,6.1,6.2,6.3,6.5,6.3,6.8
SVN,6.6,6.6,6.3,6.1,6.7,6.7,7.2,7.3,7.4,7.6,7.6,7.8
