Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
GRC,78.1,78.5,78.7,78.9,79,79.2,79.6,79.5,80,80.3,80.6,80.8
ISR,78.8,79.3,79.5,79.7,80.2,80.2,80.6,80.6,81,81.5,81.7,81.8
LUX,78,77.9,78.1,77.8,79.2,79.5,79.3,79.5,80.6,80.7,80.7,81.1
POL,73.8,74.2,74.6,74.7,74.9,75.1,75.3,75.4,75.7,75.8,76.4,76.9
GBR,77.9,78.2,78.3,78.4,79,79.2,79.5,79.7,79.9,80.4,80.7,81.1
IRL,76.6,77.2,77.9,78.3,78.9,79.4,79.7,79.7,80.1,80.2,81,80.6
JPN,81.2,81.5,81.8,81.8,82.1,82,82.4,82.6,82.7,83,82.9,82.7
SVN,76.1,76.4,76.6,76.4,77.2,77.4,78.3,78.3,79.1,79.3,79.8,80.1
ESP,79.4,79.9,79.9,79.8,80.5,80.4,81.2,81.2,81.5,81.8,82.2,82.4
MEX,73.3,73.5,73.6,73.8,73.9,74,74.1,74.2,74.1,74,74.1,74.2
NZL,78.4,78.7,79,79.3,79.5,79.8,80.1,80.2,80.4,80.8,81,81.2
PRT,76.7,77,77.2,77.4,78.3,78.1,78.9,79.1,79.3,79.6,79.8,80.8
SVK,73.4,73.6,73.8,73.8,74.2,74.2,74.4,74.5,74.9,75.3,75.5,76.1
AUS,79.3,79.7,80,80.3,80.6,80.9,81.1,81.4,81.5,81.6,81.8,82
AUT,78.2,78.6,78.7,78.7,79.2,79.4,79.9,80.2,80.5,80.4,80.7,81.1
CHE,79.9,80.4,80.6,80.6,81.2,81.4,81.7,82,82.2,82.3,82.6,82.8
CZE,75.1,75.4,75.4,75.3,75.9,76.1,76.7,77,77.3,77.4,77.7,78
NLD,78.2,78.3,78.4,78.7,79.2,79.5,79.9,80.3,80.5,80.8,81,81.3
HUN,71.9,72.5,72.5,72.6,73,73,73.5,73.6,74.2,74.4,74.7,75
ISL,79.7,80.8,80.6,81,81.1,81.6,81.2,81.5,81.7,81.8,82,82.4
KOR,75.9,76.4,76.9,77.3,77.9,78.5,79.1,79.4,79.9,80.4,80.6,81.1
TUR,71.1,71.5,71.9,72.3,72.7,73.1,73.4,73.7,73.9,74.1,74.3,74.6
BEL,77.8,78.1,78.2,78.2,79,79.1,79.5,79.9,79.8,80.1,80.3,80.5
CAN,79,79.3,79.5,79.7,79.9,80.1,80.4,80.7,80.8,81,,
DNK,76.9,77,77.1,77.4,77.8,78.3,78.4,78.4,78.7,79,79.3,79.9
NOR,78.8,78.9,79,79.6,80.1,80.3,80.6,80.6,80.8,81,81.2,81.4
DEU,78.2,78.5,78.5,78.6,79.2,79.4,79.8,80,80.1,80.3,80.5,80.8
FRA,79.2,79.3,79.4,79.2,80.3,80.3,80.9,81.2,81.3,81.5,81.8,82.2
ITA,79.9,80.1,80.3,80,80.9,80.8,81.4,81.5,81.8,82,82.4,82.7
SWE,79.7,79.9,79.9,80.3,80.6,80.7,81,81.1,81.3,81.5,81.6,81.9
USA,76.7,76.8,76.9,77.1,77.4,77.4,77.7,77.9,78.1,78.5,78.7,78.7
CHL,76.8,76.8,77.4,77.4,77.4,77.9,78.4,77.8,77.8,78.8,79,78.3
EST,70.7,70.6,71.1,71.6,72.1,72.7,73,73,74.1,75,75.7,76.3
FIN,77.7,78.1,78.3,78.5,78.9,79.1,79.5,79.6,79.9,80.1,80.2,80.6
