Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
IRL,6.20,5.70,5.10,5.10,4.80,4.00,3.60,3.30,3.40,3.30,3.80,3.50
MEX,20.80,20.00,19.10,18.30,17.60,16.90,16.30,15.70,15.10,14.60,14.10,13.60
SVN,4.90,4.20,3.80,4.00,3.70,4.10,3.40,2.80,2.40,2.40,2.50,2.90
AUT,4.80,4.80,4.10,4.50,4.50,4.20,3.60,3.70,3.70,3.80,3.90,3.60
CAN,5.30,5.20,5.40,5.30,5.30,5.40,5.00,5.10,5.10,4.90,,
CHE,4.90,5.00,4.50,4.30,4.20,4.20,4.40,3.90,4.00,4.30,3.80,3.80
LUX,5.10,5.90,5.10,4.90,3.90,2.60,2.50,1.80,1.80,2.50,3.40,4.30
AUS,5.20,5.30,5.00,4.80,4.70,5.00,4.70,4.20,4.10,4.30,4.10,3.80
JPN,3.20,3.10,3.00,3.00,2.80,2.80,2.60,2.60,2.60,2.40,2.30,2.30
SVK,8.60,6.20,7.60,7.90,6.80,7.20,6.60,6.10,5.90,5.70,5.70,4.90
SWE,3.40,3.70,3.30,3.10,3.10,2.40,2.80,2.50,2.50,2.50,2.50,2.10
USA,6.90,6.90,7.00,6.80,6.80,6.90,6.70,6.80,6.60,6.40,6.20,6.10
CHL,8.90,8.30,7.80,7.80,8.40,7.90,7.60,8.30,7.80,7.90,7.40,
CZE,4.10,4.00,4.10,3.90,3.70,3.40,3.30,3.10,2.80,2.90,2.70,2.70
DNK,5.30,4.90,4.40,4.40,4.40,4.40,3.50,4.00,4.00,3.10,3.40,3.60
GRC,5.90,5.10,5.10,4.00,4.10,3.80,3.70,3.50,2.70,3.10,3.80,3.40
ITA,4.30,4.40,4.10,3.90,3.90,3.80,3.60,3.50,3.30,3.90,3.40,
EST,8.40,8.80,5.70,7.00,6.40,5.40,4.40,5.00,5.00,3.60,3.30,2.50
HUN,9.20,8.10,7.20,7.30,6.60,6.20,5.70,5.90,5.60,5.10,5.30,4.90
NZL,6.30,5.60,6.20,5.40,5.90,5.00,5.10,4.80,5.00,5.20,5.50,
FIN,3.80,3.20,3.00,3.10,3.30,3.00,2.80,2.70,2.60,2.60,2.30,2.40
ISL,3.00,2.70,2.20,2.40,2.80,2.30,1.40,2.00,2.50,1.80,2.20,0.90
KOR,,,5.30,,,4.70,4.10,3.60,3.50,3.20,3.20,3.00
NOR,3.80,3.90,3.50,3.30,3.20,3.10,3.20,3.10,2.70,3.10,2.80,2.40
PRT,5.50,5.00,5.00,4.10,3.80,3.50,3.30,3.40,3.30,3.60,2.50,3.10
BEL,4.80,4.60,4.50,4.10,3.90,3.70,4.00,3.90,3.80,3.50,3.60,3.30
FRA,4.50,4.60,4.20,4.20,4.00,3.80,3.80,3.80,3.80,3.90,3.60,3.50
DEU,4.40,4.30,4.20,4.20,4.10,3.90,3.80,3.90,3.50,3.50,3.40,3.60
ESP,4.30,4.00,4.10,3.90,3.90,3.70,3.50,3.40,3.30,3.20,3.20,3.20
GBR,5.60,5.50,5.20,5.20,5.10,5.10,5.00,4.80,4.70,4.60,4.20,4.30
ISR,5.50,5.10,5.40,4.90,4.60,4.40,4.00,3.90,3.80,3.80,3.70,3.50
NLD,5.10,5.40,5.00,4.80,4.40,4.90,4.40,4.10,3.80,3.80,3.80,3.60
POL,8.10,7.70,7.50,7.00,6.80,6.40,6.00,6.00,5.60,5.60,5.00,4.70
TUR,31.60,28.30,31.50,29.00,26.00,21.40,16.50,13.90,12.10,10.20,7.80,7.70
