Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
ESP,2.80,2.70,2.70,2.50,2.60,2.40,2.30,2.30,2.10,2.10,2.10,2.10
GRC,4.20,3.60,3.50,2.70,2.60,2.60,2.50,2.30,1.80,2.00,2.50,2.20
ISL,2.50,1.70,1.20,1.90,1.40,1.60,0.90,1.30,1.70,1.00,1.20,0.70
AUS,3.50,3.70,3.40,3.30,3.20,3.60,3.20,3.00,2.90,3.00,2.80,2.70
AUT,3.30,3.30,2.80,3.10,3.10,2.90,2.50,2.50,2.70,2.50,2.70,2.40
CZE,2.50,2.30,2.70,2.40,2.30,2.00,2.30,2.10,1.80,1.60,1.70,1.70
ITA,3.20,3.40,3.20,2.80,2.80,2.70,2.60,2.40,2.30,2.50,2.20,
MEX,12.70,12.30,11.80,11.40,10.90,10.50,10.20,9.70,9.60,9.40,8.70,8.60
SWE,2.30,2.50,2.20,2.20,2.20,1.50,1.80,1.70,1.70,1.60,1.60,1.40
CAN,3.60,3.80,3.90,3.90,4.00,4.10,3.70,3.80,3.70,3.70,,
ISR,3.50,3.30,3.60,3.10,3.10,2.70,2.40,2.40,2.40,2.60,2.50,2.20
NOR,2.60,2.80,2.50,,1.90,1.80,2.00,1.80,1.60,1.80,1.60,1.40
TUR,,,16.60,15.90,15.20,14.10,12.50,11.20,9.40,7.70,6.50,4.60
CHL,5.60,5.00,5.00,4.90,5.40,5.20,5.10,5.60,5.50,5.40,5.10,
FIN,2.50,2.20,2.20,2.10,2.40,2.10,2.00,1.90,1.90,2.00,1.50,1.60
HUN,6.20,5.30,5.20,4.70,4.40,4.10,3.70,3.90,3.80,3.40,3.50,3.10
JPN,1.80,1.60,1.70,1.70,1.50,1.40,1.30,1.30,1.20,1.20,1.10,1.10
EST,5.80,5.00,3.60,4.00,4.20,3.30,2.70,2.90,3.20,2.20,1.90,1.60
FRA,2.90,3.00,2.70,2.80,2.70,2.50,2.50,2.50,2.60,2.60,2.50,2.30
IRL,4.30,4.00,3.50,3.80,3.50,2.90,2.60,2.10,2.70,,,2.50
LUX,3.80,3.30,3.60,2.60,2.20,1.50,1.50,1.30,0.90,1.40,2.20,2.80
CHE,3.60,3.60,3.60,3.30,3.20,3.20,3.40,3.10,3.20,3.50,3.10,2.90
GBR,3.90,3.60,3.50,3.60,3.50,3.50,3.50,3.30,3.20,3.20,2.90,3.00
KOR,,,3.30,,,2.80,2.50,2.10,2.00,1.70,1.80,1.70
NLD,,3.90,,3.60,3.40,3.70,3.30,,2.80,,2.80,2.70
NZL,3.80,3.00,4.10,3.30,3.40,3.10,2.70,2.50,2.90,3.10,3.60,
PRT,3.40,2.90,3.40,2.70,2.60,2.20,2.10,2.10,2.10,2.50,1.70,2.40
SVK,5.10,4.10,4.70,4.50,3.90,4.10,3.50,3.40,4.70,3.10,3.60,4.70
BEL,2.90,2.90,2.60,2.90,2.50,2.60,,2.50,2.60,2.30,2.20,
DEU,2.70,2.70,,2.70,2.70,2.50,2.60,2.70,2.40,2.30,2.30,2.40
DNK,4.00,3.50,3.40,3.20,3.40,3.30,3.20,3.00,3.10,2.30,2.60,2.80
POL,5.60,5.40,5.30,5.00,4.90,4.50,4.30,4.30,3.90,4.00,3.50,3.20
SVN,3.60,3.00,3.10,3.10,2.50,3.00,2.50,2.00,1.90,1.60,1.80,2.30
USA,4.60,4.50,4.70,4.60,4.50,4.50,4.50,4.40,4.30,4.20,4.00,4.00
