Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
DNK,497.8,466.9,427.8,417.4,391.9,392.9,395.1,383.6,395.8,338.3,304.7,277.5
IRL,533,541.6,499.2,383,392.2,433.9,379.2,514.4,470,494.6,387.2,
ISR,415.1,421.8,409.6,377.4,378.3,309.3,301.2,274.6,256.2,207.1,226.8,
POL,858.6,811.2,840.2,807,790,794.5,764.2,781.5,762.3,682.3,650,653.3
AUT,639.1,541.7,492.5,509.7,456.8,454.3,406.1,408.4,366.9,352.4,307.4,275.1
CAN,507.9,498.1,502.4,479.1,458.2,487.1,479,480.7,459.7,423,,
CHE,,,,,,,,,,,,
NOR,481.7,417.2,464.3,563.5,668.8,521.4,492.2,479.9,497.5,478.6,444.6,381.5
PRT,511.4,709.9,815.2,716.6,,,,387.7,344.4,342,317.5,292
SVK,852.8,847.8,796.3,806.4,780,781.3,,,758.5,640.4,621.6,
TUR,,,,,,,,,,,,
CHL,733.9,737.4,690.4,686.2,661.5,645.1,656.2,616.7,642.8,613,,
FIN,720.3,731.2,717.9,704.7,830.8,771.8,763.8,793.9,723.4,672.6,645.9,602.3
GBR,,343.6,335.6,334.5,321.6,318.2,334.2,362.7,366.9,345.8,315.9,
LUX,776.9,718,597.8,539.6,426.1,462.5,452.8,509.7,401.6,481.4,338.2,350.4
BEL,,,,526.6,533.4,504.6,518,529.6,471.3,453.7,,
DEU,433.3,406.5,395.8,377.9,331.1,313.6,296.4,280.8,267.3,251.1,235,236.9
HUN,757.8,716.9,774.3,737.6,720.9,701.2,712.6,667.3,567.6,518.4,487.9,410.1
FRA,648.5,651.2,588.8,526.9,481.9,471.8,442.8,435.5,419,418.6,,
ISL,528.3,678.6,525,380.5,340.5,295.9,539,255,217.9,238,,
ITA,482.7,497,492,464.3,,,425.7,418.2,377.9,349.7,309.8,
SWE,341.5,395.7,339.6,356.5,511.7,320.5,319.1,334.1,311.1,292,254.8,
AUS,626,541.1,526.1,507.4,514.7,,482.8,444.7,430.8,458,405.1,383.3
JPN,366.5,360.1,337.6,312.3,302.9,302.5,271,250.1,237.9,227.6,227.6,400.4
NZL,647.8,622.5,656.5,655.9,601.2,581.8,502.3,618.2,615.5,592.7,,
SVN,636,688,671.5,621.1,584.7,588.8,618.5,723.4,595.7,510.3,444.7,
CZE,778.5,726.7,755.8,731.3,668.7,661.9,599.6,631.4,580.9,536.1,517.6,479.9
ESP,681,620.3,584.7,591,536.5,511.1,465,445.7,391.7,318.7,286.4,256.2
GRC,821.6,830.4,735.5,724.7,756.8,804.3,721.5,767.8,660.5,669.8,589.1,
KOR,914.8,790.6,686.8,673.5,573.2,526.1,493.1,461.9,434.8,392.6,384.9,346.7
NLD,313,292.7,282.6,286.3,245.9,227.6,202.9,211.7,200.8,203.7,178.5,167.7
EST,2146.4,2466.1,2289,1879.7,1970.6,1765.4,1754.1,1703.3,1407,1349.4,1175.8,1277.7
MEX,975.6,934.1,916.8,888.6,858,862.6,881,897.5,896.4,874.9,831.3,
USA,795.5,802.9,834.4,837.6,848.5,874.4,909.1,897.3,843,791.9,787.4,
