Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
CZE,245.9,204.7,220.8,217.2,210,212.8,192.6,178.2,185.4,153.1,130.9,153.5
DNK,246.2,217.9,222.1,228.3,252.5,250.3,204.8,169.9,188.8,115,122.9,152.8
GRC,250.5,245,233.7,182.1,176,179.6,163.4,147.7,147,130.3,145.6,
ISR,266,239,255,236.1,194,177.3,172.7,167.1,166.1,164.4,169.8,
TUR,,,,,,,,,,,,
CHE,220.2,225.1,217.2,189.6,215.9,218,191.9,215.3,174.6,265.4,201.7,
HUN,541,486.2,408.9,432.1,426.2,367.3,308.4,324,359.1,305.4,300.1,267.1
ITA,233.7,244.5,246.7,210.7,,,205.4,193.7,195.4,202.8,192.3,
SVN,271,185.4,216.1,187,159,259.5,216.8,114.5,166.3,133.7,155.6,
LUX,152.9,167.2,226.2,257.2,95,127.2,190.6,95.7,63.2,30.7,182,147.8
SVK,408.5,277.5,254.4,317.2,300.9,291.1,292.3,253.8,261.8,249.1,244.3,
IRL,254.2,218.8,198.3,196.8,195.2,107.3,207.2,121.3,181.5,143.7,161,
JPN,91.7,85.1,83.1,87.2,76.8,76,67.5,70.2,64.6,65.7,60.9,53.9
AUT,207.3,287.2,250.7,270.3,260.5,206.7,246,230.7,192.8,182.2,220.2,187.4
CHL,390,358.2,325.6,299,337.8,310.8,337.7,375.1,327.6,343.6,,
FRA,189.2,208.6,197.7,190.9,184.9,175.1,184.4,176.3,173.5,164.1,,
GBR,,286.7,300.1,288.5,286.4,289.8,275.8,257.2,255.9,244.1,227.3,
MEX,942.3,859.4,850.2,760.1,702.8,683,643.7,630.6,639.4,660.6,663,
NLD,248,248.5,266.5,241.6,225.1,266,224.9,239.2,207.4,202.9,188.8,191.2
NOR,166.5,170.6,127.6,212.2,135.7,151.4,202.1,145.2,160.3,182.6,132.2,138.2
SWE,129.2,167.2,163.5,181.5,110.8,112.1,116.1,109.2,92.5,109.1,104.2,
BEL,,,,216,157.7,186.3,186.8,202.3,201.8,153.4,,
CAN,261.4,280.9,277.1,290.2,278.8,294.2,272.7,297,277,257.1,,
DEU,186.1,195.5,204.4,195.5,192.3,184.9,194.3,211.4,171.2,169,171.2,176.8
EST,439.8,308.8,285.9,310.8,311.1,207.3,199.3,202.7,196.6,175.6,176.4,113.4
FIN,158.3,166.2,135.1,134.7,189.5,123.8,128.8,144.5,132.1,112.3,108.6,94.7
ISL,284,82.4,42.7,128.7,154.6,83.5,39,153,144.1,107,,
NZL,262.3,213.9,313.5,258.7,228.2,243.6,199.8,187.9,248.3,209.9,,
AUS,245.5,267.7,235.2,237.7,223.1,,218.4,206.4,203.9,215,220.1,203.4
ESP,208.3,204.8,220.9,198.1,220,206.5,194.1,189.1,189,175.5,150.2,156.4
KOR,205.1,278.1,248.3,274,248.1,188.5,197.3,194.7,161.8,161.1,196.9,170.2
POL,389.1,384.3,379,357.6,361.1,329.4,340.4,316.8,311,294.6,241.1,244.4
PRT,228,219.4,267.6,194.7,,,,155.5,179.1,221.4,128.3,195.6
USA,362.8,338.2,346,357.5,346.5,347.6,340.2,331.2,316.7,296.4,276.7,
