Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
CAN,34.4,37.8,35.8,35.4,34.5,33.4,28.2,26.3,27.2,30.2,,
POL,119.1,119.8,108.9,116.3,132.9,127.6,141.2,150.6,144.4,115.2,101.8,113.4
DNK,167.2,171.2,227.1,192.9,254.4,246.2,247.7,256.3,243.1,200.7,205.6,180.8
EST,51,128.6,120.8,321.6,320.2,373.8,263.3,491.9,281.1,189.1,190.6,170.7
GBR,,41.2,38.5,35.4,41.3,43.7,28.7,26.2,30.4,28.7,31.1,
ITA,5.7,6.4,5.2,7.8,,,6.5,7.4,7.1,6.1,6.4,
NZL,13.6,10.1,8,6.6,6.9,13.9,13.6,4.2,1,1.2,,
SVN,120.8,143.6,143.8,107.1,111.8,72.7,60.5,56.5,77.6,73.7,96.1,
AUT,78.4,89.3,81.9,89.4,77.4,71,78.3,80.9,81.1,94.1,70.9,74.9
CHE,,,,,,,,,,,,
DEU,137,125.2,122.8,124.3,119.9,120.5,106.5,103.6,105.2,103,104,97.8
FRA,118.6,121.2,119.2,117.5,112.4,116.9,106.1,106.6,109.7,103.3,,
HUN,141.4,96,84.3,105.8,112,134.6,121,94.6,84.4,76.8,87.2,70.1
SVK,,,0.8,,0.6,,,,,1.3,,
CHL,84.9,87.5,124.3,116,96.6,84.7,50.8,49.4,36.5,39.7,,
ESP,15.5,17.9,15.7,16.4,15.5,14.5,12.4,10.9,8.5,9.8,10.2,8.7
FIN,160.8,118,115.4,100.7,118.5,67,60.5,58,45.3,46.2,50.9,41.7
MEX,205.3,196.6,180.3,171.6,149.1,140.1,101.7,102.4,93.5,88.5,86.4,
TUR,,,,,,,,,,,,
AUS,29.7,22.7,24.7,22.9,16.5,,17.1,22.3,22.7,17.7,19.2,19.7
CZE,21.3,24.1,29.1,40.5,36.4,56,34.4,29.7,31.6,29.1,27.9,25.3
ISR,23.3,27.8,17.4,26.8,24.1,19.5,14.4,12.2,10.6,10.7,11.1,
KOR,88.7,82,69.3,61.9,61.3,59.9,59.9,49.2,46.5,35.8,38.6,31.9
NOR,90.6,90.6,80,64.1,58.8,64.1,61.8,38.7,51.2,48.4,56.1,54
SWE,107,67.6,71.8,75.8,86.2,62.1,51.5,52,46.8,41.1,39.3,
USA,61.9,62.9,64.1,64.6,64.3,63.9,55,45.9,43.4,41.9,46,
BEL,,,,53.7,55.6,55.6,47.4,53.1,61.7,53.3,,
IRL,46.9,63.6,54.6,36.6,46.5,39,45.2,,,,,
LUX,143.6,103.3,73.5,101.2,104.7,81.1,61.5,71.5,,,29.8,40.3
ISL,31.2,11.2,0,2.3,52.3,14.9,31,21.1,22,10.7,,
JPN,7.4,8.7,8.9,8.8,8.4,7.3,5.1,4.1,4.6,3.5,3.7,4
PRT,8.8,23.8,40.1,26.8,,,,24.4,31.7,30.6,29.5,23.7
GRC,3.7,2,5.3,4.2,4.5,5.2,5.1,8.3,8.1,4.7,5.7,
NLD,33.3,39.7,29.6,19.1,20.9,22.8,20.4,19.5,17.9,19.8,14.3,15.2
