Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AUT,5461.20,5249.50,5054.10,4954.60,4845.20,4679.60,4440.80,4364.50,4208.60,4308.80,4261.40,4030.30
DNK,5257.30,5051.50,5146.60,5078.80,4933.60,4634.80,4653.20,4639.00,4451.60,4151.70,4000.00,3778.20
IRL,5632.20,5364.50,5210.80,4769.20,4633.20,4366.00,4319.10,4203.40,4160.80,4383.10,3742.80,
SVK,9439.30,8960.50,8854.00,8842.10,8311.70,8427.70,8299.20,8198.80,8137.90,7659.90,7254.30,
CAN,4603.50,4563.40,4436.10,4439.80,4307.20,4349.20,4181.50,4170.00,4065.40,3926.00,,
CHE,4521.10,4347.00,4129.60,3989.00,3895.70,3758.80,3597.90,3430.00,3347.00,3376.00,3029.20,
CHL,6704.80,6825.80,6458.00,6304.00,6206.90,5930.40,5771.30,5755.70,5660.10,5855.30,,
CZE,7160.60,6838.70,6847.40,6810.10,6552.80,6313.20,6030.60,5956.50,5750.50,5535.50,5425.70,5277.50
POL,9507.90,9181.50,8971.50,8723.80,8778.10,8726.10,8687.60,8690.40,8498.10,8149.60,7646.20,7484.90
ESP,5398.20,5168.80,5087.10,5016.10,4789.80,4657.90,4418.60,4297.30,4118.80,3839.50,3657.10,3518.20
EST,14486.80,15201.30,14789.30,13437.60,13259.40,12132.50,12033.10,12250.90,10665.10,9665.00,8720.40,8569.10
FRA,5945.60,5922.40,5725.10,5589.20,5214.10,5145.50,5012.90,4889.80,4787.60,4752.80,,
GBR,,4940.20,4888.00,4766.30,4581.10,4505.40,4476.50,4393.30,4331.00,4176.30,3992.20,
PRT,7331.00,7195.80,6842.50,6364.70,,,,5380.10,5154.50,5066.00,4841.00,4810.60
BEL,,,,5184.30,4926.10,4851.20,4670.60,4705.50,4643.70,4442.70,,
HUN,11831.00,10888.10,10757.90,10581.30,10370.00,10349.40,9967.60,9741.60,9192.80,8851.70,8390.10,7921.60
ISL,4559.40,3743.10,3544.40,2866.10,3279.50,3065.50,3354.90,3209.30,2864.50,3178.30,,
ITA,4539.00,4477.60,4337.10,4190.60,,,3757.10,3663.80,3541.00,3439.40,3256.80,
KOR,6928.60,6484.70,6161.70,6027.80,5626.40,5229.70,4907.30,4727.20,4549.40,4488.80,4420.10,4205.90
GRC,5252.40,5139.30,4872.50,4764.00,4819.20,4776.30,4535.40,4764.70,4450.80,4561.90,4339.80,
NZL,5212.40,5059.10,4941.60,4800.80,4571.00,4564.20,4363.40,4413.90,4337.00,4252.00,,
USA,6687.50,6648.70,6628.10,6603.20,6424.30,6481.30,6430.40,6312.90,6152.20,5998.20,5814.10,
LUX,5009.20,4891.90,5072.40,4851.70,4547.80,3904.40,4178.40,3758.00,3291.10,3342.50,3273.70,3295.50
SVN,7079.80,7213.00,6837.60,6781.50,6265.80,5929.20,5939.10,5699.30,5161.50,4913.60,4583.80,
SWE,3840.90,3846.10,3666.90,3605.20,3683.70,3397.30,3352.60,3313.10,3243.30,3213.90,3072.80,
JPN,4161.50,4052.80,3952.60,3956.00,3841.50,3851.80,3713.70,3627.20,3560.90,3509.10,3432.50,3525.40
MEX,9247.20,8851.10,8837.10,8592.00,8293.00,8335.80,8170.60,8121.40,8571.40,8854.40,8979.90,
NOR,4854.60,4634.20,4426.70,4259.70,4099.70,3867.80,3843.10,3577.30,3659.70,3647.90,3411.10,3462.00
AUS,4664.30,4431.20,4253.70,4154.70,4023.50,,3643.00,3773.30,3757.10,3699.80,3632.10,3442.80
DEU,5305.20,5104.20,4984.50,4942.30,4665.70,4530.10,4350.90,4292.00,4169.00,4112.20,4030.10,3921.40
FIN,6064.70,5827.40,5546.90,5582.30,5773.90,5510.30,5379.60,5448.40,5271.20,5045.10,4903.30,4656.00
ISR,4835.20,4655.90,4677.80,4311.70,4161.40,4065.10,3909.40,3778.50,3727.10,3419.90,3399.70,
NLD,4462.60,4375.60,4243.70,4158.20,3894.80,3713.90,3576.60,3423.30,3352.80,3266.20,3192.70,3104.60
