Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
DNK,2.5,2.1,2.9,1.9,2.3,3.2,3.5,3.7,3.4,2.8,1.6,2.4
ESP,3.4,3.7,3.9,3.7,3.1,3,3.1,3.4,3.2,2.9,2.8,2.8
GBR,,2.4,2.7,2.1,2.7,2.3,2.7,2.6,2.8,2.1,2.1,
GRC,,,,,,,,,,,,
ITA,,,,3.5,,,2.9,2.3,2.5,2.8,2.7,
KOR,0.1,0.4,1,2.2,1.5,0.9,1.2,1.5,1.4,1.1,1.3,1.2
AUT,,,3.1,2.3,1.6,1.1,3.8,1.3,1.2,2,1.6,1.4
CAN,3.2,4,3.9,2.9,2.4,2.9,2.7,2.7,3,3.1,,
CHE,3.6,1.9,3.7,3.1,1.7,2.7,1.4,3.5,1.8,3,2.4,
IRL,,,,,,,,4.1,2.7,1.7,3.5,
ISL,2.2,0,0,4.7,2.3,0,6.3,12.8,24.1,6,,
JPN,0.5,0.7,0.5,0.3,0.5,0.6,0.7,0.6,0.7,0.7,0.6,0.7
SVK,3.1,2.5,4.1,3.4,6.1,2.2,2.3,5.4,1.8,2.6,1.1,
SVN,1.6,1.3,2.1,0.7,2.9,0.8,0.2,1.1,1.3,2,1.4,
CZE,5.2,4.6,4.8,5.8,5.5,5.2,4.4,1.4,1.3,2,1.7,3.6
NOR,4.2,5.1,4.5,3.8,1.8,2.4,3.8,5.1,3.9,1.1,2.3,4.1
FRA,3.1,3,3.2,3.1,2.9,2.6,2.3,1.8,2.2,2.3,,
NLD,1.5,1,1,1.4,1.5,1.3,1.1,2.7,1.2,1.5,1.9,2.2
POL,3.5,3.4,3.3,3.5,2.7,3,2.6,2.6,1.9,2.8,2.4,2.3
PRT,,,5.2,6.3,,,,4.5,5.2,2.9,2.7,2.5
SWE,1.5,2.8,3.9,1.3,4.9,3.3,4.9,3,2.8,2.9,2.8,
BEL,,,,4.1,1.8,4,2,3.3,5.3,3.6,,
HUN,2.8,4,2.6,2.7,3.2,2.8,2,3.6,2.2,1.9,3.2,2.6
AUS,1.8,2.6,2.3,1.9,1.3,,2.6,1.8,1.5,2.6,1.9,2
EST,0.4,1.2,4,4.5,1.1,3.2,1.9,0.4,1.5,0.4,1.3,0.9
FIN,4.2,7.8,5.5,4.6,5.4,5.5,5.8,6.7,5.9,4.4,8,5.5
MEX,1,1.2,0.9,1.2,1.3,1.4,1.3,1.3,1.8,1.5,1.4,
USA,3.5,3.5,3.4,3.5,3.4,3.6,4,3.8,3.9,3.8,3.5,
DEU,2.6,2.3,1.9,2.3,2.2,1.8,2.5,1.9,1.5,1.2,1.7,1.6
ISR,1.1,0.8,1.2,1.3,2.5,0.9,2.2,2,0.5,1.2,2.4,
LUX,0,0,0,0,12.7,0,2.3,2.3,3.4,0,7.5,2.1
NZL,4.4,1.8,1.4,0.2,3,1.8,3,2.1,4.9,2.7,,
TUR,,,,,,,,,,,,
CHL,1.4,2,2.3,3,2.7,3.8,3.1,2.9,2.6,2,,
