Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
DEU,19.90,16.80,17.40,13.00,11.80,12.10,10.00,10.00,7.60,8.30,6.60,7.90
EST,22.40,11.50,13.60,10.60,7.40,17.30,21.40,11.60,10.70,8.90,18.00,10.10
POL,22.10,14.30,15.80,10.70,10.10,9.60,7.80,8.60,8.80,6.90,5.00,6.10
USA,20.50,17.70,19.90,18.50,17.10,15.70,15.80,16.20,14.90,15.60,16.20,
CAN,7.80,8.60,5.40,7.30,6.20,4.30,5.30,5.70,5.10,5.20,,
DNK,15.50,16.70,12.50,13.10,10.00,9.50,8.40,8.10,9.90,4.80,5.30,8.30
ISL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,,
NOR,10.50,15.40,16.70,8.90,8.10,4.90,6.60,8.70,7.90,15.20,3.30,6.10
PRT,,,12.20,8.60,,,,4.40,5.80,3.70,3.70,3.00
ESP,5.30,8.70,9.00,8.00,6.50,4.90,4.80,5.90,6.50,4.90,3.50,3.70
HUN,13.50,9.20,18.90,14.90,12.70,13.40,14.70,11.10,7.30,6.10,5.10,5.50
CHL,5.10,5.70,5.40,4.20,7.80,7.60,7.40,3.00,5.40,5.80,,
GBR,,17.60,23.30,17.20,19.50,14.70,15.50,14.40,14.00,10.50,8.70,
IRL,,,,,,,,11.00,15.00,9.90,3.90,
JPN,18.10,15.10,12.80,13.70,12.20,10.30,9.30,7.80,7.00,6.30,5.60,4.20
NLD,7.90,4.20,4.20,5.90,6.50,2.20,2.80,5.70,4.10,3.30,2.30,3.50
SVN,11.00,6.70,8.90,6.30,10.10,8.30,5.60,0.00,,0.00,0.00,
AUT,,,19.50,12.60,8.90,7.70,4.90,6.90,10.60,14.50,4.30,2.90
BEL,,,,13.20,10.20,15.20,9.70,11.90,10.10,7.20,,
ITA,,,,4.10,,,2.30,2.90,3.00,2.60,3.40,
KOR,32.20,36.30,35.30,25.70,21.10,17.60,16.10,9.60,9.50,7.20,6.20,4.60
FRA,16.30,17.90,14.60,10.50,9.80,10.80,9.90,9.40,8.40,7.40,,
ISR,17.00,12.20,15.00,10.80,15.60,11.00,12.20,8.20,8.00,6.90,5.00,
MEX,22.10,21.10,23.00,22.80,16.60,17.70,16.00,15.20,17.70,15.70,16.50,
NZL,26.20,20.40,18.40,24.10,12.60,11.60,27.60,24.30,15.20,20.50,,
AUS,22.80,24.60,16.90,13.60,14.10,,9.90,13.90,16.40,12.20,16.60,10.10
SVK,11.20,12.00,8.50,7.90,11.50,5.90,4.00,5.00,5.00,2.60,6.00,
CZE,14.80,10.10,13.60,8.30,4.20,5.40,6.50,6.50,7.50,4.90,8.50,5.10
FIN,8.80,7.00,7.50,3.90,4.00,4.00,2.90,6.30,1.40,5.30,5.30,4.40
LUX,19.50,4.10,17.70,7.80,21.60,19.10,3.80,8.80,5.10,8.30,,3.10
SWE,5.30,5.60,8.50,2.30,6.80,3.70,3.50,3.10,5.80,2.50,2.10,
