Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AUS,53,45.5,45.6,42,35.7,,27.2,35.5,37.3,33.5,35.2,37.6
AUT,78.7,64.5,62.3,64.7,59.3,60.4,68.4,73.3,61.5,54.4,54.3,57.4
CHL,43.8,55,41.6,47.1,46.6,47.7,40.2,40.9,28.8,38.3,,
EST,57.5,65.7,60.3,56.6,63.8,39.2,55.6,68.8,62.1,46.9,54.2,47.9
IRL,93.7,75.9,61.5,77.7,53.8,49.9,50.9,33,36.4,34.4,32.5,
ISL,41.3,42.1,31.4,14.7,51.8,29.2,19.5,22.3,15.9,25.4,,
GBR,,68,63.2,72,65.9,67,65.4,65.1,65.7,57.2,58,
USA,89.9,89.6,88.6,89.6,84.8,90.3,84.7,87.7,91.5,89.4,84.8,
CAN,37.9,37.1,37.2,33.9,33.4,34.9,32.7,34.9,35.8,33.9,,
CHE,,,,,,,,,,,,
FRA,28.5,26.1,25.7,25.9,23.4,23.3,22.8,23.3,24.3,23.1,,
SWE,28.3,23.5,25.8,26.6,24.5,28.7,25.8,28.8,24.9,19.5,20.7,
DEU,57.2,53.1,56.1,59.8,53.4,51.5,50.7,52.2,50,55.7,56.1,57.6
LUX,71.6,59.9,77.4,71.6,77.8,81.1,58.4,46.8,22.9,60.2,16.7,47
MEX,69.9,72.2,69.4,69.4,72,67.8,65.6,63,62.4,69.1,62.3,
SVK,77.7,58,72.3,70.5,71.8,74.4,64.6,65.8,59.8,60.8,55.4,
TUR,,,,,,,,,,,,
FIN,46.6,39,45.3,45,45.9,41.1,44.4,36.4,39.4,39.9,33.7,39.7
GRC,26.4,20.1,24.4,21,26.5,17.5,18.5,19.5,24.5,25.9,26.7,
ISR,52.5,35.6,44.2,40.4,37.5,34.1,45.5,33.6,33.2,35.8,36.9,
ITA,41.7,31.3,32.3,30.8,,,22.6,22.6,22.3,23,22.1,
PRT,62.1,64,63.2,57.3,,,,34.8,32.2,34.2,31.6,35.8
SVN,84.6,56.3,55.3,44.7,37.3,42.8,30.8,34,36,25.6,28.3,
BEL,,,,85.3,75.4,88.3,73,72.5,79.4,77,,
JPN,8.6,8.4,8,8.2,7,7.9,6.9,6.8,7.2,7.8,8.3,7.7
KOR,36.9,34,37.6,33.9,33.1,25.8,24.8,23.8,19.6,17.8,19.1,14.9
NZL,65.1,83.5,72.1,52.2,59.6,51,54.2,40.9,56.7,49.8,,
POL,69.7,60.6,56.8,64.1,63.8,63.8,61.6,71.2,61.8,62.1,49.9,52.1
CZE,69.6,72.2,70.1,67.3,68.2,69.9,66.3,69.2,70.9,79.3,60.7,73.1
ESP,60.6,54.8,57.5,56.7,48.8,54.3,41.6,45.1,41.7,45.7,37.9,38.2
NLD,55.7,56.4,47.5,46,39.9,38.9,38.8,44,42.3,34.3,34.8,40.9
NOR,41.8,38.3,48.5,42.1,47.6,35,48.5,43.3,45.9,50.9,39.7,50.5
DNK,75.7,85,70.6,79.9,61.3,59.5,65,60.7,59.7,76.4,64.6,77.8
HUN,182.2,152.3,157.9,174.8,173.6,233.2,250.2,240.7,219.1,200.4,202.9,203.5
